Source_ID,E_peak,Beta,Sigma_det,Beta_Rel,log_E_peak,log_Beta,log_Sigma_det,log_Beta_Rel,Prob_Run1,Prob_Run2,Prob_Run3,Std_Run1,Std_Run2,Std_Run3,Mean_Prob_Consensus,Std_Prob_Consensus,Min_Prob_Consensus,Max_Prob_Consensus,Mean_Uncertainty_Consensus
379,0.041064,0.0211,5.2336,5.890995260663507,-1.3865387487472938,-1.6757175447023074,0.7188005267809064,0.7701886733439521,0.1788828612332959,0.1805391481904358,0.180029238701556,0.2396557731475148,0.2634281015472108,0.1924604752311039,0.17981708270842922,0.0008482801690259194,0.1788828612332959,0.1805391481904358,0.23184811664194316
482,0.020714,0.0733,5.1112,1.6193724420190996,-1.6837360280893103,-1.134896025358872,0.7085228751240835,0.2093467443134632,0.1788426796573957,0.1805179553537886,0.1797200537422137,0.2782742765055215,0.2626882165551351,0.1685617720903089,0.17969356291779934,0.000837951960177185,0.1788426796573957,0.1805179553537886,0.23650808838365514
1089,6.4558,0.0759,6.0214,1.3662714097496709,0.8099500675253822,-1.1197582241045196,0.7796974782323298,0.1355369804935606,0.1786573679213463,0.1804884335363531,0.1795828358955713,0.2181294488364591,0.1977256220072477,0.1300439163729204,0.17957621245109023,0.000915550776378715,0.1786573679213463,0.1804884335363531,0.18196632907220903
865,0.90207,0.6015,7.7244,0.3825436408977556,-0.0447597602028813,-0.2207643683241364,0.887864755176594,-0.4173190130072201,0.1779616025150482,0.18027568151321,0.17932431162791,0.2613306139606158,0.2131928478521991,0.2650238532849151,0.17918719855205603,0.0011631166747626716,0.1779616025150482,0.18027568151321,0.24651577169924335
872,0.78739,0.6172,7.3971,0.1753078418664938,-0.1038101051317646,-0.2095740826088893,0.869061489886798,-0.75619865662056,0.1772720023162164,0.1797706671639905,0.1793123210876838,0.2717934120218832,0.3089220713562723,0.1812623719640234,0.17878499685596358,0.0013301821827836238,0.1772720023162164,0.1797706671639905,0.25399261844739296
717,1.8353,0.2588,4.0967,0.2928902627511592,0.2637070646074314,-0.5870357280033373,0.6124341618748067,-0.5332950663646091,0.1771648401113379,0.1794834397081775,0.1792172666198857,0.1963237868217962,0.1463075872479903,0.2878759412168989,0.1786218488131337,0.0012688056573266946,0.1771648401113379,0.1794834397081775,0.21016910509556178
511,0.54769,0.0831,4.3634,1.1889290012033695,-0.2614651885663154,-1.080398976215889,0.6398250272957867,0.0751559208035171,0.177112460078698,0.1792045146946274,0.1792126230052005,0.1895250444228042,0.238799463755663,0.1917423878683619,0.17850986592617527,0.0012101957540406026,0.177112460078698,0.1792126230052005,0.20668896534894307
411,1.2036,0.5526,9.2373,0.4500542888165038,0.0804821790680429,-0.2575891194195074,0.9655450484435664,-0.3467350953105565,0.1770772760248725,0.1788650477384121,0.1788836881915194,0.1108997697946087,0.2849836267245654,0.1779480633546529,0.17827533731826803,0.0010375933758811251,0.1770772760248725,0.1788836881915194,0.19127715329127568
129,0.2142,0.2125,5.1338,0.6103529411764707,-0.6691805335041632,-0.6726410656136697,0.7104389456388407,-0.2144189583022502,0.1768595797009012,0.1788258717815431,0.1788276568909268,0.2189919944589676,0.1910362961723256,0.1250108753077661,0.17817103612445703,0.0011357549294712724,0.1768595797009012,0.1788276568909268,0.1783463886463531
59,1.8193,0.5178,20.9039,0.2217072228659714,0.2599043195152694,-0.2858379539011467,1.320227319147892,-0.6542201580368986,0.1768333532320066,0.1786501407858893,0.1782491231834669,0.1838015240407916,0.2655777686321168,0.1980235563184429,0.17791087240045425,0.0009544576722632926,0.1768333532320066,0.1786501407858893,0.21580094966378374
484,0.30027,0.1487,11.7469,0.472763954270343,-0.5224880560304275,-0.8276890314780458,1.0699232716695537,-0.3253556435021302,0.1768126381166306,0.1785353937793216,0.1779680657528522,0.2464757935416676,0.3793234537159597,0.1626725021266513,0.17777203254960147,0.0008779484785088711,0.1768126381166306,0.1785353937793216,0.26282391646142617
543,0.90093,0.5149,7.2964,0.2052825791415808,-0.0453089513014346,-0.2882771081727653,0.8631086346721875,-0.6876479045198084,0.1766909578255477,0.1785085751931228,0.1771019412152549,0.1941040210037016,0.204461328647151,0.2381057908607808,0.17743382474464178,0.0009531753414437379,0.1766909578255477,0.1785085751931228,0.2122237135038778
1030,1.0247,0.4005,12.5249,0.3707865168539325,0.0105967362065251,-0.3973974795797435,1.0977742671044282,-0.4308760667670253,0.1765396802270244,0.1783918651811515,0.1768786873717533,0.2134787753258499,0.1800445088578206,0.1946990365017709,0.17727007759330973,0.000986172908379249,0.1765396802270244,0.1783918651811515,0.19607410689514715
1097,0.15787,0.2837,5.8911,2.4839619316179062,-0.8017003910323132,-0.5471406642041478,0.7701963948425263,0.395144935701416,0.1754413168915875,0.1779259415683132,0.176140021540798,0.2736384793201706,0.2622910658529283,0.2127202324624875,0.17650242666689955,0.0012813442365801192,0.1754413168915875,0.1779259415683132,0.24954992587852878
483,0.00067041,0.0601,6.4387,1.3610648918469217,-3.1736595162864485,-1.2211255279972604,0.8087981903693718,0.1338788316685834,0.1749843863517103,0.1779084176916952,0.1754241958553012,0.1621310956798649,0.2251219195603843,0.3630645190922267,0.17610566663290225,0.0015766393483757084,0.1749843863517103,0.1779084176916952,0.250105844777492
882,0.95388,0.2697,6.472,0.575083426028921,-0.0205062569686485,-0.5691190535471088,0.8110385086042159,-0.2402691486392862,0.17497906981995,0.1778717337324772,0.1753177898813967,0.2277302472981911,0.2328428101834032,0.2973934061790494,0.17605619781127466,0.0015813952165379863,0.17497906981995,0.1778717337324772,0.25265548788688125
1038,1.8871,0.719,16.2465,0.2443671766342142,0.275794914631003,-0.1432711096171174,1.210759814889922,-0.6119571288875876,0.1749573778010006,0.1774579893190728,0.1750864714810105,0.2026883344339347,0.1697186675954979,0.2011451410091341,0.1758339462003613,0.0014079429438476076,0.1749573778010006,0.1774579893190728,0.1911840476795222
140,0.0054752,0.0166,12.1572,3.86144578313253,-2.261600012138994,-1.779891911959945,1.0848335614026987,0.5867499414787624,0.1746020828213647,0.1774401018489962,0.1744791511360565,0.1742677297942488,0.1914367532385237,0.1274475225977383,0.17550711193547244,0.0016751464276747714,0.1744791511360565,0.1774401018489962,0.1643840018768369
