Source_ID,E_peak,Beta,Sigma_det,Beta_Rel,log_E_peak,log_Beta,log_Sigma_det,log_Beta_Rel,Prob_Run1,Prob_Run2,Prob_Run3,Std_Run1,Std_Run2,Std_Run3,Mean_Prob_Consensus,Std_Prob_Consensus,Min_Prob_Consensus,Max_Prob_Consensus,Mean_Uncertainty_Consensus
371,13.855,0.2306,5.0215,0.9991326973113616,1.1416065301182503,-0.6371406970413198,0.7008334670285428,-0.0003768282075057,0.7747697530636202,0.772963804661446,0.8061314660003156,0.3998076668085442,0.4165982273763495,0.3728900418878206,0.7846216745751272,0.01864989833146976,0.772963804661446,0.8061314660003156,0.3964319786909048
821,1.5437,0.6922,9.8576,0.3111817393816816,0.1885629041579057,-0.159768405041891,0.9937711914493343,-0.5069858959961462,0.7157433298182001,0.7120765317146411,0.8025013376024648,0.3317925518322484,0.3342422970111983,0.3988668648713421,0.7434403997117687,0.05118112093809165,0.7120765317146411,0.8025013376024648,0.35496723790492957
596,1.2712,0.4036,19.3727,0.2309217046580773,0.1042138841993231,-0.394048842435127,1.2871901531602177,-0.6365352452108916,0.6495076903895736,0.7118885987673429,0.6531774602481754,0.4077595298461128,0.3840054601943872,0.2921655674568377,0.6715245831350306,0.0350043871704382,0.6495076903895736,0.7118885987673429,0.3613101858324459
556,0.07633,0.0593,4.2719,1.4873524451939293,-1.1173047376184029,-1.2269453066357374,0.6306210778321802,0.1724138917675571,0.6372541296994834,0.6979273571740036,0.6516696670378851,0.248562238816112,0.2063013056950386,0.1936336038103523,0.6622837179704573,0.031698638629176906,0.6372541296994834,0.6979273571740036,0.21616571610716764
106,13.893,0.1439,11.8161,0.6108408617095206,1.1427960357135558,-0.8419392060633948,1.0724741577663524,-0.2140719188628332,0.5925018653221626,0.6535793294426411,0.6275481960657214,0.2290776061840846,0.2632662861518806,0.2973313113613917,0.6245431302768417,0.030649420404694507,0.5925018653221626,0.6535793294426411,0.263225067899119
172,0.13411,0.2563,5.5749,1.1498244245025362,-0.8725388374884626,-0.5912513938157561,0.7462370816147819,0.0606315296656811,0.5924315211851747,0.6428733971828834,0.6142387498373438,0.3233068093173711,0.4205478676913081,0.4711116679814675,0.6165145560684674,0.02529782963108238,0.5924315211851747,0.6428733971828834,0.4049887816633822
29,6.1427,0.7739,5.4138,0.3990179609768704,0.788359305564385,-0.111315153340301,0.7335022077513035,-0.3990075549960003,0.582610651680176,0.5970806809158582,0.6108832805412542,0.1262665038086948,0.4681323536519106,0.1688809783171827,0.5968582043790961,0.014137627365867473,0.582610651680176,0.6108832805412542,0.25442661192592936
560,1.4393,0.3499,13.1306,0.3046584738496713,0.1581513253927027,-0.4560560575170935,1.1182845715377316,-0.516186737792353,0.5790696542147024,0.5847280010847503,0.5923131722657191,0.4885437042650929,0.231962796081398,0.0733554116720915,0.5853702758550573,0.0066450794015069,0.5790696542147024,0.5923131722657191,0.26462063733952745
781,1.0893,0.5408,6.4758,0.4262204142011835,0.0371475036325547,-0.2669633170664205,0.8112934274442682,-0.3703657532079125,0.577087992214478,0.5701950870160266,0.589358304805141,0.2261418024271189,0.3348634277668373,0.4243104462250796,0.5788804613452152,0.009706541000621245,0.5701950870160266,0.589358304805141,0.32843855880634526
622,0.33105,0.237,4.4419,0.8616033755274262,-0.4801064077826637,-0.6252516539898961,0.6475687770992071,-0.0646926082592124,0.5655047406903764,0.5687056248180741,0.5857069716789299,0.2699647594542563,0.290241363454475,0.3191963315114229,0.5733057790624602,0.010858342347376312,0.5655047406903764,0.5857069716789299,0.29313415147338473
110,0.34322,0.3537,4.2845,0.5552728300819904,-0.4644274130244902,-0.4513649401852484,0.6319001471668083,-0.2554935763638207,0.565066514770689,0.5562475351186695,0.5791358868736788,0.4609173742012437,0.4621119604313062,0.2621001390218408,0.5668166455876791,0.01154410585202217,0.5562475351186695,0.5791358868736788,0.3950431578847969
798,0.19689,0.1259,4.1117,1.0738681493248607,-0.7057763410234144,-0.8999742698921374,0.6140214199226428,0.0309509614977544,0.5586233439086461,0.5388264568916342,0.5758210798405371,0.2648038655665641,0.284879587336583,0.4210166384025672,0.5577569602136059,0.01851252271607375,0.5388264568916342,0.5758210798405371,0.3235666971019048
1046,1.3713,0.3462,4.3628,0.7047949162333911,0.1371324760089931,-0.4606729364606249,0.6397653044634994,-0.1519372372006456,0.5504337067867754,0.5260506742627692,0.5565505415892857,0.4768525713486812,0.378855275781023,0.3805373582544705,0.5443449742129435,0.01613582892201419,0.5260506742627692,0.5565505415892857,0.4120817351280582
123,0.26898,0.1781,5.0611,0.7259966311061201,-0.5702800107505644,-0.7493360805367565,0.7042449184230212,-0.1390653945828495,0.5500092715135884,0.518551084983273,0.5514102807814795,0.2776390872698812,0.197501718596253,0.3045062599039954,0.5399902124261136,0.018580038909403584,0.518551084983273,0.5514102807814795,0.25988235525670983
839,1.8119,0.5288,12.4026,0.3004916792738275,0.2581342249927706,-0.2767085535224161,1.093512737362979,-0.5221675492702043,0.5441766689351731,0.507269685984642,0.5512312841515573,0.2170914293630236,0.3081114315594367,0.4494279842334979,0.5342258796904575,0.023609726455253475,0.507269685984642,0.5512312841515573,0.3248769483853194
785,0.78703,0.2986,7.3567,0.4450770261219022,-0.1040087128936197,-0.5249101966109935,0.8666830462421649,-0.3515648224462746,0.52957848508591,0.4950197819987095,0.5475400361800399,0.3929690021606133,0.4030673022098364,0.3957393228537315,0.5240461010882198,0.026693627129734762,0.4950197819987095,0.5475400361800399,0.3972585424080604
1010,58.718,0.2163,4.1131,1.296347665279704,1.7687712546097138,-0.6649434805609086,0.6141692684491813,0.1127214898555295,0.5285449282766037,0.4944761684692572,0.5442444101125206,0.4426338063047807,0.3507043378409454,0.2630336922260944,0.5224218356194604,0.025442850996528175,0.4944761684692572,0.5442444101125206,0.35212394545727355
136,0.95302,0.3488,13.6926,0.3922018348623853,-0.0208979851974587,-0.4574235237394704,1.1364859213583254,-0.4064903788764321,0.526639092200147,0.4943817692609389,0.5441673627031101,0.4068546082591286,0.4804004719870191,0.3571182427358793,0.521729408054732,0.025253318146396003,0.4943817692609389,0.5441673627031101,0.4147911076606756
868,2.0156,0.4302,16.9531,0.2715016271501627,0.3044043496837311,-0.3663295939485562,1.22924912376593,-0.5662275632750631,0.5201876580988382,0.4900125542908184,0.5427030816893773,0.2668925837726921,0.2380611811042672,0.3185530317087089,0.5176344313596779,0.02643789220930336,0.4900125542908184,0.5427030816893773,0.27450226552855606
193,0.23225,0.3411,6.1164,0.4165933743770155,-0.6340442773343206,-0.4671182805926027,0.7864958796363328,-0.3802876414799274,0.5185525105504559,0.4886045257239428,0.5365503320786728,0.2388255291460109,0.3182752293014827,0.354353476718173,0.5145691227843572,0.02421983939506298,0.4886045257239428,0.5365503320786728,0.30381807838855557
43,0.0090845,0.0633,5.1091,1.7156398104265405,-2.041698970746327,-1.198596289982645,0.7083444031761306,0.234426115235473,0.516230479025538,0.4856190045598637,0.532057766487279,0.3955244256609389,0.3980797470386686,0.3496971866135362,0.5113024166908936,0.02360834600556327,0.4856190045598637,0.532057766487279,0.3811004531043813
335,0.67177,0.409,6.0491,0.419559902200489,-0.1727793948459093,-0.3882766919926582,0.7816907640559065,-0.3772060244946551,0.5126009768311193,0.4834637722036204,0.522718218814408,0.4482821671184403,0.4355907560557506,0.3913760764640192,0.5062609892830493,0.020380737873346405,0.4834637722036204,0.522718218814408,0.4250829998794033
847,22.999,0.0929,7.6952,0.8826695371367063,1.3617089532383162,-1.0319842860063582,0.8862199117266436,-0.054201861609925,0.5071115979897067,0.482875306020776,0.522051973718989,0.3903785770819575,0.4579833087173134,0.4075838818188995,0.5040129592431573,0.019771292181981065,0.482875306020776,0.522051973718989,0.4186485892060568
146,11.498,0.34,9.0474,0.5352941176470588,1.060622304309956,-0.4685210829577448,0.956523791593644,-0.2714075290571803,0.5047280977398977,0.4806793986579903,0.5210757136314602,0.4334749463990492,0.4358198876768501,0.2428880251494151,0.5021610700097828,0.020320132612370707,0.4806793986579903,0.5210757136314602,0.37072761974177143
1023,372.4,0.045,6.4346,1.8822222222222225,2.5710096723093048,-1.3467874862246565,0.8085215546293504,0.2746708965553632,0.5022181859233916,0.4802964267435537,0.5194438430780829,0.2728759009735594,0.3749120493855208,0.3409988551682081,0.500652818581676,0.019620597152052294,0.4802964267435537,0.5194438430780829,0.3295956018424295
741,2.6871,0.8617,7.2308,0.2995241963560404,0.429283828934125,-0.0646439070544268,0.859186349350555,-0.5235680884017042,0.4993320066644519,0.4797742401198077,0.5168960909231346,0.2740585007632648,0.3900809996659803,0.1536962199944271,0.4986674459024647,0.018569846055390322,0.4797742401198077,0.5168960909231346,0.27261190680789077
