Log(E_peak),Log(beta),Log(sigma),Log(beta_Rel)
-0.4125023068520127,-1.3251388592621884,1.3569508561312753,-0.1221929246256183
0.7081403453880487,-0.0001737525455875,0.6231665597600842,-1.601886238782375
0.2247401900605439,-0.5812017094096464,1.0100411689718056,-0.3112491608456672
0.2573185130976385,-0.5619325495465062,0.615413424407249,-0.0389131164952773
0.3261104609708298,-1.1001794975729038,1.6249315044125772,-0.5287526401553599
1.4763968267253302,-0.7883455994468176,1.0220116115235562,-0.1754248564668878
-0.1450081324995955,-1.3458234581220394,1.1156903745803548,0.0351323172456597
0.4828450106634555,-1.1561445773768388,1.7342267908374105,-0.6451983356687384
0.346958998673529,-1.1278437272517072,1.2280357268536295,-0.0983698277670992
0.7424187396205286,-1.08460016478773,1.0610375900634184,-0.0438268996663911
0.12434117077496,-0.4560560575170935,0.7945159298399377,-0.2530193831001521
0.6173358980098377,-0.8674201523402629,1.0076069720938066,-0.1489535605352025
1.5086374375758949,-0.8016178699917057,0.9666391258015344,-0.1897819582463767
0.1953183601130135,-0.69058277422186,0.8728494245843068,-0.002135178744794
1.4438416610711633,-0.8661418747966653,1.0793296046524563,-0.2451171645204421
-0.5927961118879663,-1.728158393463501,1.1994232977485657,0.3832968282748831
0.0729847446279303,-0.8233300673318504,0.9823119462388454,-0.1521842649689826
-0.2278103623540429,-1.4100503986742925,1.32641574737713,-0.0421748959378851
-0.0363302034968354,-0.6074789100680678,0.6760256541763948,0.0162275162523116
0.2005495601407742,-1.4341521813264824,1.3593022435416455,-0.0434035851671977
0.6831551478893029,-1.012780770091995,1.4061738561241175,-0.3928266795325781
-0.8834586669732546,-1.486782399932061,1.6227143652701006,-0.2165524098064077
0.4589851457110128,-0.5723516288130673,0.9255028915743228,-0.1928780760260161
-0.680103141185112,-1.3269790928711038,1.272755681489823,-0.0285823176610576
1.2261099199912735,-0.8371370066780739,1.1351676480567878,-0.3019263726218323
-0.5272581736387951,-1.069050968832477,0.8807793045208433,0.0780767109193871
1.3613878203125969,-1.1778319206319825,1.7929775916537922,-0.669879734984961
1.239549720840473,-1.1999706407558657,1.468292670864357,-0.3497802509247733
1.9688983649604552,-1.2915790998652872,1.7875072312767517,-0.6115108871266562
-0.6459107778477527,-2.2006594505464183,1.117433711309793,0.8441121270326056
0.2363608880129242,-0.6548223834572959,0.8961788634861345,-0.1838096143077292
-0.2203457990242109,-1.3391345219961308,0.7570846221783993,0.3749643472489589
0.7738668624394185,-0.7587026128900068,0.9315544828362508,-0.1337482573653069
1.3343934282837038,-1.1463017882238256,1.6382995236729458,-0.5073452373255357
0.6266380086201986,-2.065501548756432,1.378842870189319,0.4936363427852211
0.1825858254572928,-0.9408153823686288,1.3079493501665325,-0.4050080757534106
0.7231353746559637,-1.6179829574251317,1.3549358845626045,0.0892746684840702
-1.1726436525695303,-1.5346171485515816,0.7796974782323298,0.5031000971055168
-0.8526328922062135,-1.2907300390241692,1.4597768491968373,-0.2468719630768746
0.1467170357439757,-1.1499667423102309,1.8222537525091669,-0.6886652554547942
1.3531465462139791,-0.958607314841775,1.6510317147093725,-0.6522266007936925
1.365525422456709,-1.0381045263321496,1.4285688715081075,-0.4316957754647682
0.6610076909010314,-0.9122185821904576,1.3620053181744325,-0.4676453628357848
0.3417509792651747,-0.8804142250382162,0.7640041745464499,0.1764208943518884
0.0121198358045133,-0.9503943874050268,1.583020710750407,-0.5768491632777608
1.2690457096576229,-0.7934439559009705,0.9465013905695876,-0.1044655185871927
0.6543402140523786,-0.5803746391122568,0.9074866033001328,-0.1300364083451464
0.658059118703411,-0.7931741239681502,1.5542358991529153,-0.6339542738313695
1.2624036232587823,-0.9237237445957824,1.233384515930963,-0.3398797531275752
-0.6337451893136137,-1.494850021680094,1.0172713008774614,0.3380827997781034
-0.5750040903826394,-1.0947439512515489,1.2334910763217437,-0.2054183228812055
0.2403245550904341,-1.1944991418415998,1.2642982471902162,-0.1620481816722127
1.315235409617727,-1.009217308196862,0.9717766688765228,-0.0375063551358334
0.8290720873190468,-2.10790539730952,1.5849189336400376,0.3120253799654444
0.900416291286778,-1.0163737128754655,0.7638695513333746,0.2234692532946835
-0.078932900623998,-1.2448877336049289,2.0469428850154903,-0.8360341740189973
0.7281751569069701,-0.3896592885478432,1.074593387049947,-0.3389638395580822
-0.6355615793600735,-1.863279432843593,1.4584081787031022,0.2343472951153295
0.1929575298846562,-1.058488567365597,1.4714897394006945,-0.354924127962648
1.4055512482823098,-0.8486301497525396,0.8424844244115701,0.0057845896588211
1.065990289233776,-1.2276782932770802,1.104166051776575,-0.0335411482385506
1.1690275060089323,-0.2469534383734708,0.7011792773240335,-0.1209943949207193
1.2667724635130722,-0.9913998282380824,1.0750722627061189,-0.0838041759640054
0.8545125103702715,-1.269217724333611,1.8521907743433133,-0.6135109800106249
2.5499591293827493,-1.350665141287858,1.0641621189487,0.1582001693567113
1.904812885560679,-1.565431095965801,1.2746011577219436,0.1168810939386764
0.1742633809951219,-0.5525318690502442,0.931015214029036,-0.200477431708206
-0.1747362049707151,-1.0395292224657011,1.277120788173334,-0.1758534849014236
-0.220641642421039,-0.998699066979582,1.2950676490970072,-0.3209654196058549
0.7510095113374907,-1.2204035087421754,1.256640787756065,-0.1093506381837004
1.5167864913925986,-1.0535477349869269,1.5102366052633904,-0.5382122997012235
1.485423278931664,-1.0996328713435295,1.9281514928781232,-0.8629406307158467
1.2262905051834163,-1.712198270069774,1.4542821986145968,0.0682241272628967
1.5839917991983163,-1.6516951369518391,1.1061432821024215,0.3497956825752292
1.033262875884479,-0.8016178699917057,0.8408648190642308,-0.0664428347978697
-1.6357304961640842,-1.705533773838407,1.648494670188791,-0.0743581381215377
-0.1784209720879911,-0.975104039892515,0.8218736535093432,0.0331502702877967
1.5328817194073971,-1.3169529617611504,1.5819940066844382,-0.3608277435049303
-0.2149621659802024,-1.095284454721319,1.9445078407601504,-0.8516371017952612
0.3874966069355636,-1.0619809025237896,1.0711452904510828,-0.0448123444163622
1.4799494166994465,-1.1804560644581312,1.2475436667544848,-0.2078206275345269
-1.575641137409671,-1.630784142589857,1.0504609613504436,0.3558786636713262
0.5742975533573714,-1.158015195409886,1.1485347909912975,-0.1218255011841571
0.6877964113812947,-1.08460016478773,1.5558063979878618,-0.5037801292490397
0.1619367052457805,-0.5843590201038457,1.1441630677449302,-0.4565995875750608
1.429962111395364,-1.0136762229492349,1.3380479052758858,-0.3428711005645779
0.2541128395760673,-1.1475200063631437,1.3774683525607396,-0.3059373301587253
0.2600713879850748,-1.4122890349810886,1.327728693646377,-0.0600810641475727
0.2441533725514249,-1.0726296369609765,1.2082397497122066,-0.1684584706410499
1.4915717855009851,-1.191114132640188,0.6608370298353445,0.3268826472080101
0.1615177331386829,-0.8972233851165586,0.8345987088585611,-0.0470161501957066
-0.5705707356182124,-1.337242168318426,1.0397273328164904,0.0776048578126697
-0.3078495671860364,-0.9965394678904936,1.6509735133742554,-0.6379725472186069
0.914120927698542,-1.1249387366083,0.7702922208413832,0.2266858105546662
-0.5332806283184014,-1.1791420105603,0.9132626902787224,0.1462217447047972
1.1838105950981346,-1.1687703061329366,0.9848017547304806,0.0403432416788153
1.0034605321095065,-1.055024091587952,1.0289005084964613,-0.0089651126968382
2.0646077201306263,-1.616184634019569,1.6476372122701142,-0.1050617650276022
0.2986566173911456,-0.4989407377822485,1.160414503565946,-0.448750162570428
-0.3668548606325567,-1.2924298239020635,1.8887533047950595,-0.6701436781573127
0.642731544081733,-1.3124710387853658,1.1235217131013788,0.045668303891935
0.3575727840516776,-0.8458804744841533,1.251005173493635,-0.4177230232392043
0.9381943828231468,-0.846185135655471,1.0315902239016592,-0.1986083268025872
0.5574951714209717,-0.9125735429637144,1.369030221809153,-0.4322880222249034
-0.749384853009367,-1.2941362877160807,1.4956539379778715,-0.3061899908028811
1.3304543597219978,-1.5228787452803376,1.0786706499974297,0.1789769472931694
1.1788906550489069,-0.6256183019491178,0.7828236444760909,-0.0938033276828058
0.6482819285495988,-1.3467874862246565,2.214439819264395,-0.8750612633917001
0.5844443071651761,-1.2612194415156308,1.0694349802489749,-0.0303596583496564
1.0348289156558368,-0.826813731587726,1.0759227007526084,-0.1239682457420924
0.715460135956847,-1.5058454059815571,1.072117493000876,0.3866589982623486
0.674466148003077,-1.3872161432802643,1.2661587592061356,-0.0085578036352654
0.7182691171313622,-1.0371573187987575,0.9004599867310218,0.0697760796494774
1.2360835848950462,-1.575118363368933,0.9651969957514316,0.4616090885414149
-0.1808181274069075,-1.4559319556497243,0.6116277314682873,0.5454838385361784
1.836058139696456,-1.4436974992327127,1.07643289378676,0.2018521212001027
0.658907694893854,-0.9566377219788704,1.1190083104691968,-0.1677223410169611
2.375645327492456,-1.585026652029182,1.5015562928268442,-0.0347621062592119
-0.234935258502356,-1.0204516252959048,2.102356170677682,-1.0064205211043964
0.2724218263715041,-0.8230410194130918,0.9131141808919,-0.0728134300328999
-0.0158959361614591,-1.486782399932061,1.2813084091013114,0.020808505988196
0.2611676705277758,-0.9069286936239366,1.0937052849081583,-0.2492158837529023
2.144200460183879,-1.4023048140744876,1.346550513944711,-0.0438121592816379
1.7574415817691584,-1.24184537803261,1.1370501254867142,-0.0061061741479513
0.4547381780865686,-1.2298847052128985,1.016205721340917,0.0611143990799617
0.5949888812856787,-0.3812199754937852,0.7200682988375084,-0.14209328156057
0.3778342244705486,-0.714892970433188,0.9297253783780044,-0.2676563000562758
2.091737282991661,-0.9325571572236192,0.7334300038415963,0.1220474709229868
1.2379456766092352,-1.575118363368933,1.9933281945757688,-0.5163966177524172
-0.3958171624468759,-1.174573882232177,1.6491137601825356,-0.5535845112313241
1.0943313492770963,-0.2186755443330122,0.9116369331294422,-0.2030291505461615
1.4224420955119377,-2.275724130399211,0.8217951062245755,1.1360621369702046
0.0473917022004434,-0.7044329000375209,0.8192740627127171,-0.0503012605050177
1.4920755912272072,-1.0609802235513337,1.0541187346464105,0.0391607404887474
0.3851771288184295,-1.114638779968488,1.4673283505690955,-0.4366549001264321
0.7975306698796037,-0.9995659225206814,1.0148018570088284,0.067751784266843
1.7385268817938018,-1.208309350979882,1.231933202018463,-0.1195927910844004
0.8869980456710993,-0.6882461389442457,1.1423456589905818,-0.3672711889055857
1.2503956030571162,-1.5421181032660076,1.0518198578752744,0.2224536166805709
1.1114977488080302,-1.0915149811213505,0.9734095915924263,0.0975529361186673
0.1613380498585429,-1.2097148359667584,1.298833434506559,-0.1785618560258999
1.2117077504066864,-0.9427143555817854,1.3166935670760136,-0.4002297915611106
0.9204364065507586,-1.115204636051019,1.5103680393656245,-0.4254028761897501
0.9027098129698772,-0.8007935208383422,1.3024651365490478,-0.4448581434506388
0.5219091871261097,-1.254144804826271,1.2115316710133794,-0.1123867395941423
2.0869290240483647,-1.1944991418415998,1.2189265617368723,-0.2166691325641929
0.2828486028346448,-1.9281179926938743,1.457474649350837,0.2879534750337626
0.8701697211364406,-0.95311480916229,1.3200797861711158,-0.3794322379477561
1.610766594773271,-1.9065783148377649,1.2529112565043343,0.4616727634160841
1.3148569577795712,-1.2448877336049289,1.483144932872129,-0.3157795725648085
1.6279390746213291,-1.6861327796308463,1.2793794481505578,0.2163324778339287
1.3458440431926193,-0.2636831920958911,0.7664128471123994,-0.0649588044606172
0.4652043375806298,-1.1438755557576996,1.3622977095021915,-0.2950230605932443
0.3003128179343698,-1.1220530483708118,1.2421511830323655,-0.2424632048142761
0.3993448481803675,-1.316052869248488,1.2838166474314725,-0.0701053088754429
0.7522559372022308,-1.0570004066339596,1.491435937834695,-0.4717078823071018
0.9382794959003916,-1.1817741063860443,1.3297293219437856,-0.282931773571185
0.2266772207845553,-1.1992829217176149,1.7892605134812811,-0.5780006071348018
-0.4666983219381972,-1.138465589140962,1.9000392354873248,-0.737682769891952
1.0906107078284066,-1.9244530386074687,1.247708192240314,0.473456300633257
1.7770278713152057,-1.2321023839819094,0.7521637319368885,0.3324729290994722
2.777013357095503,-1.563837352959244,0.7967616083378877,0.4739278985533121
1.107955772547713,-0.858236769724212,1.4717125966298243,-0.5939885248879654
0.8155445441129354,-1.39577394691553,1.2464714980959295,-0.0142764517587623
-0.7157272201422747,-1.191114132640188,1.3843892603247994,-0.2279608916841927
