number,prob_DM,anomaly_score,anomaly_score_norm,combined_score
497,0.91,-11.309409079890012,0.00010228576138615608,0.4550511428806931
168,0.91,-11.309409084819409,7.337215356528759e-05,0.45503668607678266
693,0.91,-11.309409085417869,6.98618678143248e-05,0.4550349309339072
1083,0.91,-11.309409086867516,6.135889270808548e-05,0.45503067944635406
284,0.91,-11.30940909014494,4.2135012336075306e-05,0.45502106750616805
65,0.91,-11.309409090212238,4.17402625316754e-05,0.45502087013126585
892,0.91,-11.309409093208783,2.416389179416001e-05,0.4550120819458971
39,0.91,-11.309409095514894,1.0637289960868657e-05,0.45500531864498045
197,0.91,-11.309409095765144,9.169438271783292e-06,0.4550045847191359
645,0.91,-11.309409095929649,8.204529876820743e-06,0.4550041022649384
1110,0.91,-11.309409096463634,5.072404746897519e-06,0.45500253620237346
301,0.91,-11.309409096661051,3.914450644515455e-06,0.4550019572253223
132,0.91,-11.309409096713177,3.608700353652239e-06,0.45500180435017684
527,0.91,-11.30940909672796,3.522000042721629e-06,0.4550017610000214
703,0.91,-11.309409097051258,1.6256672097370028e-06,0.4550008128336049
170,0.91,-11.30940909714584,1.070889993570745e-06,0.4550005354449968
988,0.91,-11.30940909723764,5.324400262907147e-07,0.45500026622001316
281,0.91,-11.309409097241412,5.103211151435971e-07,0.4550002551605576
633,0.91,-11.309409097263122,3.829773049801588e-07,0.4550001914886525
638,0.91,-11.309409097289636,2.2746098693460226e-07,0.4550001137304935
108,0.91,-11.30940909731684,6.789923645555973e-08,0.45500003394961824
909,0.91,-11.309409097321756,3.905734047293663e-08,0.45500001952867025
277,0.91,-11.309409097324464,2.3166649043560028e-08,0.45500001158332454
510,0.91,-11.309409097326128,1.3416865840554237e-08,0.45500000670843294
193,0.91,-11.309409097327205,7.101334631443024e-09,0.45500000355066733
853,0.91,-11.309409097327675,4.336470738053322e-09,0.4550000021682354
175,0.91,-11.309409097328407,4.3655745685100555e-11,0.4550000000218279
844,0.91,-11.30940909732841,1.4551915228366852e-11,0.455000000007276
386,0.91,-11.309409097328414,0.0,0.455
439,0.91,-11.309409097328414,0.0,0.455
451,0.91,-11.309409097328414,0.0,0.455
525,0.91,-11.309409097328414,0.0,0.455
563,0.91,-11.309409097328414,0.0,0.455
623,0.91,-11.309409097328414,0.0,0.455
241,0.91,-11.309409097328414,0.0,0.455
228,0.91,-11.309409097328414,0.0,0.455
143,0.91,-11.309409097328414,0.0,0.455
580,0.91,-11.309409097328414,0.0,0.455
116,0.91,-11.309409097328414,0.0,0.455
221,0.91,-11.309409097328414,0.0,0.455
329,0.91,-11.309409097328414,0.0,0.455
449,0.91,-11.309409097328414,0.0,0.455
322,0.91,-11.309409097328414,0.0,0.455
499,0.91,-11.309409097328414,0.0,0.455
936,0.91,-11.309409097328414,0.0,0.455
354,0.91,-11.309409097328414,0.0,0.455
323,0.91,-11.309409097328414,0.0,0.455
595,0.91,-11.309409097328414,0.0,0.455
567,0.91,-11.309409097328414,0.0,0.455
353,0.91,-11.309409097328414,0.0,0.455
215,0.91,-11.309409097328414,0.0,0.455
704,0.91,-11.309409097328414,0.0,0.455
180,0.91,-11.309409097328414,0.0,0.455
390,0.91,-11.309409097328414,0.0,0.455
1020,0.91,-11.309409097328414,0.0,0.455
226,0.91,-11.309409097328414,0.0,0.455
1086,0.91,-11.309409097328414,0.0,0.455
1096,0.91,-11.309409097328414,0.0,0.455
86,0.91,-11.309409097328414,0.0,0.455
766,0.91,-11.309409097328414,0.0,0.455
920,0.91,-11.309409097328414,0.0,0.455
907,0.91,-11.309409097328414,0.0,0.455
914,0.91,-11.309409097328414,0.0,0.455
949,0.91,-11.309409097328414,0.0,0.455
104,0.91,-11.309409097328414,0.0,0.455
791,0.91,-11.309409097328414,0.0,0.455
854,0.91,-11.309409097328414,0.0,0.455
59,0.91,-11.309409097328414,0.0,0.455
741,0.91,-11.309409097328414,0.0,0.455
839,0.91,-11.309409097328414,0.0,0.455
895,0.91,-11.309409097328414,0.0,0.455
994,0.91,-11.309409097328414,0.0,0.455
969,0.91,-11.309409097328414,0.0,0.455
1025,0.91,-11.309409097328414,0.0,0.455
1004,0.91,-11.309409097328414,0.0,0.455
919,0.91,-11.309409097328414,0.0,0.455
832,0.91,-11.309409097328414,0.0,0.455
815,0.91,-11.309409097328414,0.0,0.455
710,0.91,-11.309409097328414,0.0,0.455
817,0.91,-11.309409097328414,0.0,0.455
992,0.91,-11.309409097328414,0.0,0.455
783,0.91,-11.309409097328414,0.0,0.455
1008,0.87,-11.30940231385934,0.039788754816981964,0.454894377408491
502,0.89,-11.30940613709375,0.01736339474155102,0.4536816973707755
811,0.89,-11.309406400473229,0.015818530111573637,0.4529092650557868
583,0.87,-11.309403636146966,0.032032814968260936,0.45101640748413047
9,0.89,-11.309407092290426,0.011760644003516063,0.45088032200175804
1032,0.9,-11.30940892381748,0.0010177364893024787,0.45050886824465125
1080,0.9,-11.309409062497634,0.00020430157019291073,0.45010215078509647
235,0.9,-11.309409066483092,0.0001809246896300465,0.45009046234481503
761,0.9,-11.30940908137306,9.358687384519726e-05,0.4500467934369226
504,0.9,-11.30940908436291,7.604977872688323e-05,0.45003802488936345
362,0.9,-11.30940909324694,2.3940083337947726e-05,0.450011970041669
142,0.9,-11.309409094021603,1.9396247807890177e-05,0.45000969812390396
18,0.9,-11.309409094860872,1.4473480405285954e-05,0.45000723674020265
1120,0.9,-11.309409096276644,6.169211701489985e-06,0.45000308460585076
182,0.9,-11.309409096785304,3.1856470741331577e-06,0.4500015928235371
73,0.9,-11.309409096819564,2.9846851248294115e-06,0.4500014923425624
769,0.9,-11.309409097082405,1.4429824659600854e-06,0.450000721491233
242,0.9,-11.309409097120106,1.2218370102345943e-06,0.45000061091850513
1123,0.9,-11.309409097152338,1.0327785275876522e-06,0.4500005163892638
68,0.9,-11.309409097159389,9.914219845086336e-07,0.45000049571099227
827,0.9,-11.309409097232663,5.616311682388186e-07,0.45000028081558413
944,0.9,-11.309409097256182,4.236790118739009e-07,0.45000021183950595
482,0.9,-11.309409097256651,4.2092869989573956e-07,0.45000021046434996
877,0.9,-11.309409097275203,3.1210947781801224e-07,0.4500001560547389
43,0.9,-11.309409097290128,2.2456515580415726e-07,0.4500001122825779
985,0.9,-11.309409097299842,1.6759440768510103e-07,0.45000008379720385
576,0.9,-11.3094090973171,6.635673344135284e-08,0.45000003317836673
837,0.9,-11.309409097318149,6.021582521498203e-08,0.4500000301079126
210,0.9,-11.309409097318694,5.7014403864741325e-08,0.45000002850720194
863,0.9,-11.30940909731903,5.50498953089118e-08,0.45000002752494767
248,0.9,-11.309409097319458,5.2532413974404335e-08,0.450000026266207
178,0.9,-11.309409097324544,2.270098775625229e-08,0.4500000113504939
1111,0.9,-11.30940909732483,2.10275175049901e-08,0.45000001051375876
26,0.9,-11.309409097326236,1.2776581570506096e-08,0.4500000063882908
375,0.9,-11.309409097327974,2.5902409106492996e-09,0.45000000129512047
885,0.9,-11.309409097328349,3.92901711165905e-10,0.45000000019645087
161,0.9,-11.309409097328349,3.92901711165905e-10,0.45000000019645087
650,0.9,-11.309409097328391,1.3096723705530167e-10,0.45000000006548363
558,0.9,-11.309409097328412,1.4551915228366852e-11,0.45000000000727597
433,0.9,-11.309409097328412,1.4551915228366852e-11,0.45000000000727597
1044,0.9,-11.309409097328412,1.4551915228366852e-11,0.45000000000727597
275,0.9,-11.309409097328412,1.4551915228366852e-11,0.45000000000727597
562,0.9,-11.309409097328414,0.0,0.45
94,0.9,-11.309409097328414,0.0,0.45
485,0.9,-11.309409097328414,0.0,0.45
1039,0.9,-11.309409097328414,0.0,0.45
101,0.9,-11.309409097328414,0.0,0.45
729,0.9,-11.309409097328414,0.0,0.45
38,0.9,-11.309409097328414,0.0,0.45
981,0.9,-11.309409097328414,0.0,0.45
1077,0.9,-11.309409097328414,0.0,0.45
218,0.9,-11.309409097328414,0.0,0.45
356,0.9,-11.309409097328414,0.0,0.45
483,0.9,-11.309409097328414,0.0,0.45
1109,0.9,-11.309409097328414,0.0,0.45
523,0.9,-11.309409097328414,0.0,0.45
526,0.9,-11.309409097328414,0.0,0.45
513,0.9,-11.309409097328414,0.0,0.45
185,0.9,-11.309409097328414,0.0,0.45
406,0.9,-11.309409097328414,0.0,0.45
377,0.9,-11.309409097328414,0.0,0.45
382,0.9,-11.309409097328414,0.0,0.45
117,0.9,-11.309409097328414,0.0,0.45
140,0.9,-11.309409097328414,0.0,0.45
577,0.9,-11.309409097328414,0.0,0.45
1122,0.9,-11.309409097328414,0.0,0.45
20,0.9,-11.309409097328414,0.0,0.45
319,0.9,-11.309409097328414,0.0,0.45
295,0.9,-11.309409097328414,0.0,0.45
