number,prob_ann,anomaly_score,anomaly_score_norm,combined_score
717.0,0.9980581904004066,-11.30923861023717,1.0,0.9990290952002032
631.0,0.9702578843322804,-11.30925892303923,0.8808543103659758,0.9255560973491281
763.0,0.9662214467112328,-11.309277158932757,0.7738908247847576,0.8700561357479952
554.0,0.9926572672797039,-11.309287797651066,0.711488925429876,0.85207309635479
682.0,0.9939219614102077,-11.309316551304818,0.5428330257855123,0.76837749359786
751.0,0.9924871705946872,-11.309331486479689,0.45523005969880614,0.7238586151467467
533.0,0.8003953397543574,-11.309312102285933,0.5689289539441234,0.6846621468492404
776.0,0.964825193568118,-11.3093690210707,0.23506916225596797,0.599947177912043
665.0,0.9763810692829612,-11.309373404114794,0.20936021232046187,0.5928706408017115
33.0,0.99999993213266,-11.309409097328414,0.0,0.49999996606633
843.0,0.999998898103961,-11.309409097328414,0.0,0.4999994490519805
709.0,0.9999949031204945,-11.309409097328414,0.0,0.4999974515602473
923.0,0.9995524225806529,-11.309409097328414,0.0,0.49977621129032646
1054.0,0.9995223644034645,-11.309409097328414,0.0,0.49976118220173227
1107.0,0.9994144904084529,-11.309409097328414,0.0,0.49970724520422644
477.0,0.9975697782184187,-11.309409097328414,0.0,0.4987848891092094
1103.0,0.9947993735750492,-11.309409097328414,0.0,0.4973996867875246
542.0,0.994276462525535,-11.309409097328414,0.0,0.4971382312627675
864.0,0.9816293451655067,-11.30940765148834,0.008480642514768988,0.49505499384013785
1009.0,0.9840544336275799,-11.309409096042009,7.545473636128008e-06,0.49203098955060803
883.0,0.9775330215707173,-11.309409097328414,0.0,0.48876651078535865
812.0,0.9735136242591051,-11.309408773833836,0.0018974725680891424,0.48770554841359715
732.0,0.9685859309057075,-11.309409097328414,0.0,0.4842929654528538
219.0,0.9684335072297646,-11.309409097328414,0.0,0.4842167536148823
746.0,0.9637695463946448,-11.309408374367209,0.0042405627318657935,0.4840050545632553
967.0,0.962037064253599,-11.309409097328414,0.0,0.4810185321267995
287.0,0.9563151880252276,-11.309409097328414,0.0,0.4781575940126138
893.0,0.9498969466561636,-11.309409096751876,3.3817050280049443e-06,0.4749501641805958
545.0,0.9438352786307238,-11.309409097328412,1.4551915228366852e-11,0.47191763932263786
327.0,0.8271537677236763,-11.309392112789247,0.09962360811186954,0.46338868791777293
70.0,0.9098028608838579,-11.309409097328414,0.0,0.45490143044192893
628.0,0.8975184444425202,-11.309409097261703,3.9130100049078465e-07,0.4487594178717603
1019.0,0.8764148631416001,-11.309408627449663,0.0027560957678360865,0.4395854794547181
740.0,0.8764352803852222,-11.309409097328414,0.0,0.4382176401926111
25.0,0.8736722167528402,-11.309409097328414,0.0,0.4368361083764201
619.0,0.8545144858756559,-11.309409097328396,1.0186340659856796e-10,0.42725724298875967
592.0,0.8401461667558486,-11.309409097328414,0.0,0.4200730833779243
75.0,0.5514918786217546,-11.30936032088495,0.2861005082959309,0.4187961934588428
884.0,0.8334891702126326,-11.30940909732345,2.911838237196207e-08,0.4167445996655075
809.0,0.5630827304133981,-11.309363033791366,0.2701878289663,0.41663527968984904
657.0,0.8221653262650289,-11.309409097328414,0.0,0.41108266313251446
338.0,0.7901314051915118,-11.309409068395585,0.00016970686556305736,0.39515055602853744
1062.0,0.7769868116520141,-11.309409097328414,0.0,0.38849340582600705
708.0,0.7634251121000641,-11.309409082882718,8.473190246149898e-05,0.3817549220012628
771.0,0.7592937806168787,-11.309409097328414,0.0,0.37964689030843934
