Source_ID,E_peak,Beta,log_E_peak,log_Beta,Prob_Run1,Prob_Run2,Prob_Run3,Std_Run1,Std_Run2,Std_Run3,Mean_Prob_Consensus,Std_Prob_Consensus,Min_Prob_Consensus,Max_Prob_Consensus,Mean_Uncertainty_Consensus
371,13.855,0.2306,1.1416065301182503,-0.6371406970413198,0.410061697008749,0.4175872652784645,0.4115056818950139,0.1495942180690433,0.1529283971898188,0.2075024052013456,0.41305154806074246,0.003993847906129561,0.410061697008749,0.4175872652784645,0.17000834015340258
869,0.4843,0.1705,-0.3148855309534606,-0.7682756166714835,0.4100203705887305,0.4174573362666499,0.410802002143079,0.2067729834789106,0.0623197078878209,0.1630766156308606,0.41275990299948645,0.004086825962318264,0.4100203705887305,0.4174573362666499,0.14405643566586404
821,1.5437,0.6922,0.1885629041579057,-0.159768405041891,0.4096185531561845,0.4172690606923573,0.410344849418468,0.1625922594076216,0.3282301332256559,0.1779604241291334,0.41241082108900323,0.004223001965172399,0.4096185531561845,0.4172690606923573,0.2229276055874703
525,2.6115,0.3131,0.4168900301730124,-0.5043169323830847,0.4089970216043795,0.4169731371000267,0.4088134713375174,0.2136205321383506,0.1550392847943328,0.1530632694958005,0.41159454334730783,0.004658902847528146,0.4088134713375174,0.4169731371000267,0.17390769547616128
358,1.3379,0.6362,0.1264236537373385,-0.1964063352286554,0.408704135412359,0.4169660617611652,0.4081213118915642,0.2392914347904802,0.2471560760296472,0.1473351394734953,0.41126383635502944,0.004946862819088751,0.4081213118915642,0.4169660617611652,0.21126088343120755
874,1.2468,0.5199,0.0957967936048022,-0.2840801825664205,0.4081354533686453,0.4155859676288899,0.4070782469188736,0.2198745127341901,0.1992125804804553,0.2626120880014466,0.4102665559721363,0.004636973867714197,0.4070782469188736,0.4155859676288899,0.22723306040536398
889,2.0126,0.6167,0.303757468353811,-0.2099260515736952,0.4081222330236064,0.4147703132763311,0.4066495264752005,0.3583734818650089,0.2402183378699763,0.2342830404311708,0.4098473575917126,0.004326526973100635,0.4066495264752005,0.4147703132763311,0.2776249533887187
82,1.6586,0.0617,0.2197416610463024,-1.2097148359667584,0.4079956586281601,0.4145839542489427,0.4057638521732977,0.2112315832901987,0.1527187236388769,0.2240991472257435,0.4094478216834669,0.0045858623300964385,0.4057638521732977,0.4145839542489427,0.19601648471827304
672,1.4211,0.5775,0.1526246394476191,-0.238448011435818,0.4076493728344164,0.4135461249419082,0.4042708066133326,0.3195190481163354,0.1759999650352102,0.1515130067375848,0.40848876812988566,0.004694285980918141,0.4042708066133326,0.4135461249419082,0.21567733996304347
855,1.8314,0.3289,0.2627832098507637,-0.4829361265173453,0.4072338700626257,0.4111951661189045,0.4041658033666648,0.2316892331415062,0.1809429687926964,0.225293765911238,0.4075316131827316,0.0035241273245757666,0.4041658033666648,0.4111951661189045,0.21264198928181352
