Source_ID,E_peak,Beta,log_E_peak,log_Beta,ANN_Prob_Mean,ANN_Prob_Std,ANN_Prob_Min,ANN_Prob_Max,OCSVM_Score,OCSVM_Prediction,OCSVM_Anomaly_Score,OCSVM_Anomaly_Rank,OCSVM_Log(E_peak),OCSVM_Log(beta)
574,0.39106,0.2225,-0.407756604062422,-0.6526699846830496,0.2895865931859491,0.0090680091863915,0.2793145425227782,0.2964811753077515,0.051178239602889586,1,-0.051178239602889586,29.18594720858939,0.537856858168981,-0.4111682744057927
376,4.994,0.5407,0.6984485380153289,-0.2670436304243754,0.2894493818328981,0.0091816106990083,0.2790530462011317,0.2964473077163817,0.018371028502491837,1,-0.018371028502491837,55.64195826692428,-0.8065136402902572,-1.1237821594083577
609,1.5894,0.9392,0.2012332086808746,-0.0272419160964607,0.2893050054898057,0.0091170961401359,0.2790017321696255,0.2963283689450581,0.0282335493655802,1,-0.0282335493655802,47.6887384635573,-0.6443952490411959,-0.6276404174756762
1005,1.6029,0.8389,0.2049064289025684,-0.0762898056034372,0.2892770970068779,0.0090978319231317,0.2789977035803125,0.2962932528292189,0.03523756192386163,1,-0.03523756192386163,42.040643807551525,-0.2502636844309389,-0.2504955761238577
794,0.42871,0.3236,-0.3678363861087578,-0.4899914870597653,0.2890507128799775,0.0089824932702379,0.2788527783997876,0.2957888215426426,0.025890053296771964,1,-0.025890053296771964,49.5785534106987,-0.2046553633198781,-0.916139199133427
1035,0.9494,0.3085,-0.0225507726176587,-0.5107448316307395,0.2888891837994556,0.009009788404938,0.2786446405475767,0.2955809417337269,0.03340930142386889,1,-0.03340930142386889,43.51496845701063,-0.335593095887721,-0.269783159431306
555,0.04837,0.0534,-1.3154239126115448,-1.2724587429714436,0.2887410941051349,0.0090388352191938,0.2784754692104004,0.2955058536289094,0.04285260279889369,1,-0.04285260279889369,35.89981077596604,-0.0453089513014346,-0.2882771081727653
961,0.71972,0.6,-0.1428364287159352,-0.2218487496163564,0.288591120892605,0.0089369725618705,0.2784467129117143,0.29530275118806,0.02592538810675349,1,-0.02592538810675349,49.55005912263641,-0.0497812333581366,-0.935916564036404
858,0.20681,0.2015,-0.6844284653855471,-0.6957249495228717,0.2881901688395197,0.0089927174273099,0.2779490787941352,0.2947969920122192,0.050132855576167534,1,-0.050132855576167534,30.0289536831882,0.3060388163363484,-0.4333268623938834
6,0.055744,0.2058,-1.2538018710084495,-0.6865546295735858,0.2879995348349734,0.0088728886877368,0.2779212608214557,0.2946353710451858,0.044996413168994165,1,-0.044996413168994165,34.171024056339526,0.0886675525424044,-0.269621531412357
172,0.13411,0.2563,-0.8725388374884626,-0.5912513938157561,0.2878787495425001,0.0088350027468247,0.2778512992920282,0.2945188063196859,0.03533105368241951,1,-0.03533105368241951,41.96525126684755,-0.1035178755590539,-0.7321245806811024
1059,0.97136,0.0905,-0.0126197844711262,-1.0433514207947967,0.2875084112799567,0.00887716412243,0.2775042887782973,0.2944449472877693,0.024939360911735764,1,-0.024939360911735764,50.34519974874381,-0.3034252082035268,-0.9215431819467074
1061,0.28449,0.2231,-0.5459329947210954,-0.6515004297161623,0.2871904933219652,0.0088127342135374,0.2772467800753719,0.2940348374540577,0.04108781895529534,1,-0.04108781895529534,37.32294731564108,-0.2272017112628725,-0.4258529358492772
1084,1.2427,0.5175,0.0943662983361343,-0.2860896458710447,0.2871165550113643,0.0087856844042324,0.2772315605082576,0.2940347580117417,0.03358447292765476,1,-0.03358447292765476,43.37370868253355,-0.2239747495547314,-0.7366006686659977
780,0.12143,0.0417,-0.915674004983173,-1.3798639450262424,0.2869812790483694,0.0088378449301798,0.2770298981995446,0.2939152895209704,0.04559987218856609,1,-0.04559987218856609,33.68438962568982,0.0825699642699229,-0.5359577945611892
550,0.59707,0.1834,-0.2239747495547314,-0.7366006686659977,0.2867645238304797,0.0087797112421249,0.2769498511197695,0.2938712871978825,0.03812034699957001,1,-0.03812034699957001,39.715941667880195,-0.2169258003198306,-0.6216020990518624
1089,6.4558,0.0759,0.8099500675253822,-1.1197582241045196,0.2864899347086946,0.0090979738779529,0.2763110084203998,0.2938300029708069,0.04018585238158601,1,-0.04018585238158601,38.050300749472385,-0.2493681997398804,-0.5048721187570668
71,1.3024,0.6027,0.114744387545126,-0.2198988085320884,0.2863236871428763,0.0089293902503106,0.2762915758114004,0.2934016756195943,0.04561741713475709,1,-0.04561741713475709,33.67024123346512,0.0938067756151746,-0.5401553576117922
616,1.2239,0.2673,0.0877459347847337,-0.5730010412434628,0.2861815293408963,0.0088780699527228,0.2762026693240634,0.2932048941218116,0.02274110312470612,1,-0.02274110312470612,52.117893323481155,-1.3154239126115448,-1.2724587429714436
634,0.4777,0.2765,-0.3208447587166461,-0.558304864359283,0.2860684656881451,0.0088688139637574,0.276083988023617,0.2930326364281188,0.02018327880876991,1,-0.02018327880876991,54.180544372380155,-1.1173047376184029,-1.2269453066357374
995,3.1289,0.4918,0.4953916832669385,-0.3082114755973016,0.2860373744093955,0.0088415873921779,0.2760779080817425,0.2929614430547628,0.04660890128315909,1,-0.04660890128315909,32.870700074235984,0.0934917270109318,-0.5032086842999576
244,5.4087,0.0668,0.7330928934483866,-1.1752235375244544,0.2859593586539462,0.0087662293912638,0.2760698193598503,0.2927734964170051,0.047855586033051734,1,-0.047855586033051734,31.86536300280727,0.2858047638486317,-0.2663213443229121
1024,10.154,0.9646,1.0066371590685863,-0.0156527424141361,0.2858629346848602,0.008791466018787,0.2759514953816374,0.2927192865900608,0.03933053449661439,1,-0.03933053449661439,38.74003628822186,-0.1817477063081115,-0.6039751033914068
275,0.0052706,0.1374,-2.278139942309905,-0.8620132672764684,0.2857918499121323,0.0088231642080018,0.2758413638312119,0.2926615840996874,0.048342076097519615,1,-0.048342076097519615,31.47305332168426,0.1581513253927027,-0.4560560575170935
297,8.4892,0.0662,0.9288667653964005,-1.1791420105603,0.285482601333118,0.0089191585219449,0.2754086686122128,0.2923738326127743,0.024553229705460144,1,-0.024553229705460144,50.65657920224061,-0.1469104701481344,-0.0854981771726859
997,0.39497,0.1796,-0.4034358900172056,-0.7456936676687144,0.2853164104529633,0.0089849115675103,0.2751795175561326,0.2922982799269061,0.060591528046234355,1,-0.060591528046234355,21.594992208168584,-4.890219031986424,-1.785156151952302
