Log(E_peak),Log(beta),Log(sigma_det),Log(beta_Rel),number,svm_score,prediction,Anomaly_Score,Anomaly_Rank(%)
0.4001752063353898,-1.0472075569559078,0.8692082437190836,0.2124518830812188,0,2.2050544762122204,1,-2.2050544762122204,8.898666856338728
0.1697331979425178,-0.3805935891132226,0.7335984609613392,-0.1130366937912733,1,1.6261422302626798,1,-1.6261422302626798,22.073765426523217
0.2031417191119856,-0.1685781829349778,1.03305766792049,-0.4303660912931784,2,1.6158302550826154,1,-1.6158302550826154,22.308449163827483
-0.0310736437310292,-0.5573634742177682,0.8811334809019066,-0.2015883751105874,3,2.0492155310700664,1,-2.0492155310700664,12.445307090134044
-0.351835221425999,-0.4939010400715595,0.6309158007184064,-0.2460275719433657,4,1.7549096273708482,1,-1.7549096273708482,19.143229475010315
-0.2886230620813831,-0.9871627752948278,0.682902850162524,0.047482803983113,5,2.1674466349740733,1,-2.1674466349740733,9.75455998831373
-1.2538018710084495,-0.6865546295735858,0.7395723444500919,-0.0871032832627834,6,1.962411304625821,1,-1.962411304625821,14.420829715045372
-0.4396270280587342,-0.8195873671616762,0.835189417281201,-0.0542812255763393,7,2.2312424661449004,1,-2.2312424661449004,8.302670915447656
-0.2856534724517532,-0.3563499617826708,0.9521868168381482,-0.4106539278251752,8,1.8927141959025366,1,-1.8927141959025366,16.007022240615434
-0.396931446001918,-0.6085355881608968,0.6505503492394106,-0.112253899237708,9,1.864227507990492,1,-1.864227507990492,16.655332798571713
-1.172908712661239,-1.1243600629958317,0.9308930224060254,-0.0081724491451168,10,2.4149935915201812,1,-2.4149935915201812,4.120794981504005
-0.0917187720181673,-1.7619538968712043,0.8658971851683774,0.6317721048505327,11,1.9087864869564068,1,-1.9087864869564068,15.641243108518971
0.5002090217151078,-0.7011469235902933,0.8482938278592816,-0.0863991153694309,12,2.091486457493815,1,-2.091486457493815,11.48328974435752
-1.2188624087595714,-2.1249387366083,0.7321443710297231,1.1143885542749918,13,0.9490263559283783,1,-0.9490263559283783,37.483818418507525
0.1473671077937864,-0.2185318571582016,0.8023289442025816,-0.2730731097087453,14,1.5076019563620182,1,-1.5076019563620182,24.771548733242227
0.8372600682972373,-0.9190129530891128,0.7296911336964809,0.0200723079972283,15,2.074153745336261,1,-2.074153745336261,11.877754005153818
