number,prob_0,prob_ann,prob_ann_std
407.0,6.4090726925853365e-18,6.4090726925853365e-18,8.766031662133508e-18
408.0,0.22626704185645607,0.22626704185645607,0.08547232378716979
409.0,0.002392999219325321,0.002392999219325321,0.002558302127117403
410.0,0.23275596159237075,0.23275596159237075,0.15941510812599638
411.0,0.43847109261058315,0.43847109261058315,0.10301653049872785
412.0,0.3083279675635104,0.3083279675635104,0.06842306797143573
413.0,0.1715507555206719,0.1715507555206719,0.08303231544141017
414.0,0.014552283289685866,0.014552283289685866,0.016784476238281287
415.0,1.7148486667399752e-18,1.7148486667399752e-18,2.802351785640239e-18
416.0,0.39043335886690295,0.39043335886690295,0.0879058867323032
417.0,0.5151337064445259,0.5151337064445259,0.09559687355561167
418.0,0.12441180081103125,0.12441180081103125,0.015286324073718029
419.0,0.0834963088133676,0.0834963088133676,0.032559243793589515
420.0,0.18146799630348787,0.18146799630348787,0.05035104295828681
421.0,0.023852991162010465,0.023852991162010465,0.02818551429222851
422.0,0.3533557081893139,0.3533557081893139,0.1528710512074038
423.0,0.23226181916154937,0.23226181916154937,0.10168545259100097
424.0,0.0036567386396153096,0.0036567386396153096,0.0035290908748253544
425.0,3.598648694177343e-13,3.598648694177343e-13,7.427645497965062e-13
426.0,0.46015405423568795,0.46015405423568795,0.06946515887193006
427.0,0.0009494432729338584,0.0009494432729338584,0.0016660915867418172
428.0,0.2732597290755943,0.2732597290755943,0.0855325965959412
429.0,0.0006159896870977896,0.0006159896870977896,0.000985137548598738
430.0,6.086091591447594e-26,6.086091591447594e-26,1.0887226523536515e-25
431.0,1.658655743027118e-19,1.658655743027118e-19,2.266375693084681e-19
432.0,0.10279831684278125,0.10279831684278125,0.06167240246484201
433.0,3.6670749332361685e-57,3.6670749332361685e-57,7.836239446896462e-57
434.0,3.962974332932569e-15,3.962974332932569e-15,8.111988406153553e-15
435.0,0.2522525660813427,0.2522525660813427,0.07937728663259348
436.0,0.3133089440750713,0.3133089440750713,0.06433149924270491
437.0,0.23170023356727695,0.23170023356727695,0.06806112730779991
438.0,3.232386117109751e-05,3.232386117109751e-05,5.3464078554468975e-05
439.0,0.31286556458639225,0.31286556458639225,0.04782703243341787
440.0,0.1873062087603779,0.1873062087603779,0.03281851995163197
441.0,0.21088811815476252,0.21088811815476252,0.10246244119096361
442.0,0.20775320843467368,0.20775320843467368,0.03967406165924522
443.0,3.451527037496113e-10,3.451527037496113e-10,4.714509758276709e-10
444.0,1.4149348809011996e-09,1.4149348809011996e-09,2.0257481710067626e-09
445.0,3.221817897533363e-36,3.221817897533363e-36,5.015304996088222e-36
446.0,0.00020345550685562226,0.00020345550685562226,0.00019873453460906145
447.0,0.00015844408260932557,0.00015844408260932557,0.0002987465124786755
448.0,4.328375138849863e-28,4.328375138849863e-28,9.206496545303945e-28
449.0,1.5495952416647905e-13,1.5495952416647905e-13,2.8071101122028374e-13
450.0,0.36457400855253075,0.36457400855253075,0.09155180352162091
451.0,0.22121957429586642,0.22121957429586642,0.042481890364828974
452.0,0.42125916821389725,0.42125916821389725,0.16984544467658536
453.0,0.6750187281410314,0.6750187281410314,0.0847529777849489
454.0,0.15709622423332031,0.15709622423332031,0.06066936403116303
455.0,0.18982009793483362,0.18982009793483362,0.09176048042576122
456.0,4.4143618032748456e-08,4.4143618032748456e-08,7.345422238085796e-08
457.0,1.8903389431700203e-19,1.8903389431700203e-19,3.163887292959547e-19
458.0,0.24004555640335914,0.24004555640335914,0.04267421436722578
459.0,0.33005432631094045,0.33005432631094045,0.09796689870074476
460.0,0.01276895890239155,0.01276895890239155,0.01030730633826549
461.0,0.03250482013023241,0.03250482013023241,0.018335620066595604
462.0,0.205413102196183,0.205413102196183,0.15856625809007496
463.0,0.3317369938588455,0.3317369938588455,0.07055849316431237
464.0,0.3695124134833373,0.3695124134833373,0.09767602731587374
465.0,8.15700389146162e-05,8.15700389146162e-05,0.00014727623842056644
466.0,0.3202477653207966,0.3202477653207966,0.07488820342865889
467.0,7.778095358158122e-13,7.778095358158122e-13,1.5762953785568007e-12
468.0,0.29501056403386244,0.29501056403386244,0.07741909054927539
469.0,0.4604929252675566,0.4604929252675566,0.10101560324284987
470.0,0.25810304280581836,0.25810304280581836,0.07177230535514799
471.0,0.46805894500459305,0.46805894500459305,0.15997227515002657
472.0,0.008005229157623823,0.008005229157623823,0.012419270867925618
473.0,0.15796311620668893,0.15796311620668893,0.0692575887040544
474.0,1.1162870699515568e-15,1.1162870699515568e-15,1.5497441760401776e-15
475.0,0.15861477651878758,0.15861477651878758,0.04792263990222595
476.0,0.24040089194477873,0.24040089194477873,0.09180090491915303
477.0,0.9975697782184187,0.9975697782184187,0.0034059439815756014
478.0,0.29886366225454175,0.29886366225454175,0.10352026260349631
479.0,0.39818275427374694,0.39818275427374694,0.10618326802650535
480.0,3.417813712474678e-14,3.417813712474678e-14,4.6447497294729115e-14
481.0,9.342167489613844e-12,9.342167489613844e-12,1.858424221519443e-11
482.0,2.4082785367515174e-38,2.4082785367515174e-38,4.82115451967651e-38
483.0,3.662468082067499e-59,3.662468082067499e-59,8.099063315055282e-59
484.0,1.0654856105838937e-12,1.0654856105838937e-12,1.6356362798064387e-12
485.0,0.1821036109006698,0.1821036109006698,0.07620973381167248
486.0,3.726668101328322e-13,3.726668101328322e-13,7.584710277726435e-13
487.0,2.493574942850645e-15,2.493574942850645e-15,3.76035239641171e-15
488.0,1.6124764359728866e-08,1.6124764359728866e-08,2.4033553859225588e-08
489.0,0.42401314965579545,0.42401314965579545,0.09837433683840173
490.0,0.12517853006569293,0.12517853006569293,0.08858967421377288
491.0,0.4729254618039427,0.4729254618039427,0.11712157275154093
492.0,0.42190440378296595,0.42190440378296595,0.1133674641859272
493.0,0.2789648668110409,0.2789648668110409,0.046565811867497545
494.0,1.0704130345214412e-28,1.0704130345214412e-28,1.6395887504993606e-28
495.0,0.0006508478653275477,0.0006508478653275477,0.0006350052287509582
496.0,0.22294656446711478,0.22294656446711478,0.09253566603939166
497.0,0.32586239361042896,0.32586239361042896,0.08118492589073562
498.0,0.00527481337652404,0.00527481337652404,0.006875474245942958
499.0,0.008692336597041309,0.008692336597041309,0.007077990005318154
500.0,0.3584955813952786,0.3584955813952786,0.0828393329015904
501.0,0.22483203034579974,0.22483203034579974,0.06219661948527843
