Source_ID,Mean_Prob,Std_Dev,Median_Prob,Q25_Prob,Q75_Prob,Min_Prob,Max_Prob,F_peak,Beta,log_F_peak,log_Beta,Very_High_Conf,High_Conf,Moderate_Conf,Low_Uncertainty
776,0.5101041788819887,0.3077952385724926,0.5789877034547573,0.45314802151282546,0.6537819926261731,1.5738619789117812e-06,0.9207022713459149,0.95484,0.3777,-0.020069395891295624,-0.422853015172475,False,False,True,False
439,0.48292962450539195,0.30273830013776015,0.5130354579807419,0.4295083940956449,0.6354828237198316,3.52875111852999e-14,0.9339236006028059,3.5231,0.471,0.5469249704113962,-0.3269790928711038,False,False,False,False
1114,0.4773030237025201,0.2989523921540939,0.4711140347657966,0.4422116236147261,0.6457012585107204,9.010939737590174e-13,0.9256486091620163,1.2945,0.328,0.11210205477089083,-0.4841261562883209,False,False,False,False
771,0.4627985573611519,0.0718024013533955,0.47748731309211256,0.3915868069860697,0.5128639585356707,0.36850069324418616,0.5579556856905569,1.0848,0.2694,0.03534967652298813,-0.5696024086130332,False,False,False,True
785,0.45547235410586595,0.28608658217671584,0.5209620519003328,0.33259754840959865,0.655932545930002,1.3681944428455827e-49,0.8652790775977037,0.78703,0.2986,-0.10400871289361972,-0.5249101966109935,False,False,False,False
761,0.4514008472223067,0.16738217843896389,0.5088897873457711,0.4653946089637817,0.5396019200650004,0.0001119924839469085,0.5594301912985133,0.023134,0.136,-1.6357492687540243,-0.8664610916297825,False,False,False,False
777,0.44126082144197376,0.2565399305266863,0.5094568565470723,0.3891935832292487,0.59636439706527,4.2298253166794397e-08,0.7796161957968586,0.88637,0.1597,-0.052384951459216095,-0.796695083861517,False,False,False,False
525,0.44058965282466966,0.23260775943005488,0.43741775423930385,0.37902757523585556,0.5536109059574921,3.522773950160975e-07,0.8716428849095474,2.6115,0.3131,0.41689003017301246,-0.5043169323830847,False,False,False,False
996,0.43580991049246354,0.11371401217680975,0.46649007482909444,0.4298946400589728,0.4792106405463582,0.13807355258826345,0.5695690726438266,0.59159,0.2197,-0.22797917575277285,-0.6581699430794897,False,False,False,False
734,0.4335629635059431,0.256254900592663,0.4811035844684502,0.3871202217633222,0.5085660415379915,0.0003511426062481061,0.9470498955880882,0.3387,0.3602,-0.4701848033553697,-0.44345629151648547,False,False,False,False
1010,0.43308616768521463,0.3180038993339868,0.4793464373981773,0.1489683091462571,0.6205626894127927,2.6077945009168916e-173,0.839836197725534,58.718,0.2163,1.7687712546097138,-0.6649434805609086,False,False,False,False
546,0.4319865490731485,0.11436153664747058,0.4325843831701284,0.3697658381391751,0.4942039825596768,0.2053835895000276,0.6054978694878618,1.2265,0.5375,0.08866755254240449,-0.26962153141235706,False,False,False,False
110,0.4302557666633834,0.2794675803721953,0.4426069787782646,0.3367433093426021,0.5749976478728348,1.1384984863204117e-91,0.8057438316229151,0.34322,0.3537,-0.46442741302449025,-0.4513649401852484,False,False,False,False
708,0.4276420585942839,0.08620635120382514,0.4313173717155214,0.3978525561594948,0.4729490632344091,0.26401432532209723,0.5568878864457738,1.9661,0.5839,0.29360560319281814,-0.2336615247487127,False,False,False,True
75,0.4274830819607967,0.22804058776740463,0.4185230832873045,0.36225791273113195,0.5115091013595972,5.8407427107824e-06,0.8989356021238382,0.83632,0.4803,-0.07762751724632468,-0.3184874133610378,False,False,False,False
138,0.4239433620934891,0.2529070367778996,0.4764721642577544,0.3289696437962483,0.5606927753589758,8.319696605307291e-42,0.7608118240916056,0.045933,0.0652,-1.3378751887885323,-1.1857524042680798,False,False,False,False
750,0.4239423419788902,0.18200356235689552,0.4814222361753508,0.3498412019229212,0.5162167871525161,0.0005391447536049358,0.6747074020775509,0.41003,0.3088,-0.3871843667977872,-0.5103227083363014,False,False,False,False
96,0.4238416228124522,0.07503440934939151,0.42334503182581473,0.35928516645841385,0.46689789351783556,0.337865424841776,0.5500994334727486,8.2624,0.112,0.9171062162503074,-0.9507819773298184,False,False,False,True
321,0.4201847285222929,0.07768346143846461,0.40803006562579436,0.36936016004112754,0.45709480902129207,0.3018837423520236,0.5584299995481841,0.18697,0.0418,-0.7282280719643703,-1.3788237182249647,False,False,False,True
869,0.41924124616580716,0.19140546531483607,0.4741341889777849,0.39230463746653266,0.5472483516255624,1.367223956420207e-07,0.6007765567959507,0.4843,0.1705,-0.3148855309534606,-0.7682756166714835,False,False,False,False
300,0.4190121224788226,0.22369316887693685,0.4167373255773574,0.3482031837751312,0.5114415541575223,5.387510827240098e-06,0.8638807013528481,3.5431,0.1576,0.5493834099779165,-0.8024437868464636,False,False,False,False
802,0.4176885901793021,0.1936817910944698,0.45058419586966797,0.4173862828584598,0.555403192717209,6.672618015194255e-28,0.6158332667051843,1.1276,0.8911,0.0521550671995647,-0.05007355633208777,False,False,False,False
808,0.4171948092035097,0.26030145410084643,0.43575709876460056,0.33696221375860885,0.5768991144605966,2.350201416726521e-70,0.8097834864542319,0.55588,0.2368,-0.2550189511564228,-0.6256183019491178,False,False,False,False
194,0.4169094764893665,0.18953777537713487,0.44277706538895945,0.3401280944094267,0.5559286696191015,7.251633456545669e-07,0.6229763485921065,11.639,0.9984,1.065915668188592,-0.0006954276616512517,False,False,False,False
716,0.41611517819254973,0.16391999368620327,0.45077770683272916,0.3823646985681351,0.5112599468629274,1.6788911855357812e-08,0.5714804232327959,0.56061,0.1763,-0.2513391596865341,-0.7537476877006779,False,False,False,False
821,0.41595784760242466,0.1596190446959982,0.4272827294050657,0.4002716561099755,0.501968341758784,1.3027586458515663e-50,0.5641040658778625,1.5437,0.6922,0.1885629041579057,-0.15976840504189108,False,False,False,False
560,0.41384373743530584,0.2923916476497937,0.46565256215806444,0.18809852482542844,0.5800315841530367,5.690200725645305e-125,0.8209753074351693,1.4393,0.3499,0.15815132539270274,-0.45605605751709355,False,False,False,False
742,0.4136253499645502,0.18224883292838504,0.4739706528934641,0.3874870152887198,0.5367917002637339,1.0107106659800418e-06,0.561260259425355,0.32501,0.2177,-0.48810327631956907,-0.6621415709589057,False,False,False,False
975,0.4136014475650362,0.24414809251885747,0.44671261280934416,0.30573570137289274,0.48804361437649857,2.0478027936588834e-09,0.9200560884554203,0.50834,0.3575,-0.29384571540886967,-0.4467239538629006,False,False,False,False
813,0.41298386600957554,0.27279298269759716,0.4875054145284753,0.23140361109607543,0.5290838005625801,1.8782481117942164e-46,0.8159620109691097,0.87889,0.6527,-0.05606547689713838,-0.18528638730402336,False,False,False,False
883,0.4125760274744068,0.1762152371320964,0.4673840893143863,0.42358042069186613,0.5002866932732073,7.571346711845733e-21,0.5912563525441152,0.94809,0.2963,-0.02315043413016506,-0.5282683485199489,False,False,False,False
874,0.4118524022212867,0.22014962840924063,0.5151943668492884,0.4493292018476592,0.5215119357845934,9.249156737654746e-30,0.5836299152457912,1.2468,0.5199,0.09579679360480221,-0.28408018256642054,False,False,False,False
335,0.41053881977816625,0.28711265090156357,0.44291751083458436,0.2117309975272749,0.5627118577198493,2.5468192298403328e-99,0.825231967088736,0.67177,0.409,-0.17277939484590937,-0.38827669199265824,False,False,False,False
363,0.410402341297627,0.25501622823531583,0.46617478348380864,0.30127570868686865,0.5522313769665023,3.26303408891223e-35,0.803985218931526,1.2377,0.3505,0.09261539094155469,-0.45531197769732257,False,False,False,False
438,0.4103147359818017,0.23380785910415497,0.4026998349541321,0.3186753008219933,0.4855993018813503,9.603684693242305e-07,0.9294858726343643,0.51122,0.2153,-0.2913921640051126,-0.6669559701765129,False,False,False,False
1038,0.40967024308187394,0.23601262432897208,0.47838133742577793,0.30260824123926333,0.5231865034640575,3.262733014110263e-33,0.7868245686381846,1.8871,0.719,0.27579491463100303,-0.14327110961711742,False,False,False,False
855,0.4086909057179189,0.22548710141475883,0.502660453075882,0.39742794642913293,0.5491718739755169,5.516295945526791e-18,0.6117497347864334,1.8314,0.3289,0.26278320985076375,-0.4829361265173453,False,False,False,False
999,0.40846788456241967,0.22821673214199648,0.44475031417182187,0.4264795933558251,0.5436110165034485,1.5223935646797471e-12,0.6312425078248624,0.81665,0.3048,-0.08796403359826345,-0.5159850373324371,False,False,False,False
762,0.40767487798222407,0.22162674614174677,0.5051328138426975,0.41720560768957793,0.5297684649906547,2.481059464280609e-15,0.6099996693938938,1.2585,0.5237,0.0998532198843815,-0.28091742609851406,False,False,False,False
222,0.4073780623205148,0.3246893225186322,0.5050990464326309,0.062333575476764505,0.5996525774588857,2.48617456318142e-41,0.836897666656912,0.099202,0.1015,-1.0034795719969505,-0.9935339577507682,False,False,False,False
588,0.404749569213083,0.24275005447196552,0.45528891560483165,0.32474457755108926,0.5134664300871634,1.246500530456124e-42,0.7519090593094401,2.372,0.3542,0.375114684692225,-0.45075144314594406,False,False,False,False
127,0.40417044439249583,0.17614264332527665,0.41372051378048474,0.3641882032041954,0.49010919734211783,2.283822781120058e-26,0.642076993003669,0.048244,0.138,-1.3165566912097522,-0.8601209135987634,False,False,False,False
199,0.40325674509053444,0.2193059709080157,0.5019125847262667,0.4077000709536245,0.5153936947418836,9.3818639496746e-28,0.6027447953396334,0.85847,0.3025,-0.06627487704599606,-0.5192746210115123,False,False,False,False
214,0.4030915009210876,0.35826390810388486,0.5571313337557695,0.0020473086503845117,0.6633995290066711,2.0340532958086069e-16,0.8990113712010265,34.987,0.1322,1.5439067050064068,-0.8787685448503785,False,False,False,False
879,0.40295529848822137,0.23291103970365662,0.45110715635870746,0.41355584490914027,0.47455116591553786,1.3780704094968021e-28,0.7310164425554804,10.802,0.2639,1.0335041729451746,-0.5785606097799503,False,False,False,False
517,0.4029260033248504,0.20317260839352005,0.4824099517783668,0.2655783488925482,0.5489582239314595,3.43902084007925e-14,0.6176238507503732,1.1622,0.1021,0.0652808711027544,-0.9909742579130898,False,False,False,False
208,0.4027541939225189,0.16680479452991825,0.4366283163058348,0.3780277195338523,0.4794989927218767,4.730546446533018e-20,0.6137686720489984,0.68164,0.3424,-0.1664449322238082,-0.4654662439948844,False,False,False,False
701,0.40207821509222336,0.17395386584003736,0.4338967988760355,0.3525592775534719,0.5345141115727694,0.09647679135701027,0.6217072507484451,1.2701,0.9465,0.10383791602560984,-0.02387938170018444,False,False,False,False
180,0.40204723052952085,0.22996210377352236,0.502862200502815,0.3437019488218426,0.5554833677021983,7.432559415138823e-17,0.6294256097872252,1.8223,0.3778,0.26061987517237184,-0.42273804641418516,False,False,False,False
133,0.40166636018763474,0.25627795504202433,0.3921584196766439,0.32270414676904374,0.5918038272441167,4.907091244604902e-63,0.7615692844183032,0.090608,0.1285,-1.042833455717546,-0.8910968723326866,False,False,False,False
889,0.401024183672817,0.35421998623400447,0.5551994506312701,0.008445415760679682,0.6540406446015377,1.3029866261009331e-18,0.9050254207322713,2.0126,0.6167,0.303757468353811,-0.20992605157369523,False,False,False,False
774,0.3998704174675739,0.2222557904409777,0.4300382549575831,0.36864296261878576,0.5848670948517026,0.00010439354503142493,0.6062753206337578,1.2842,0.892,0.10863266558047581,-0.04963514562387693,False,False,False,False
644,0.39960895809229585,0.1730768487986293,0.407584015917122,0.339660434235417,0.5126279129719203,6.852060553334549e-07,0.5944405494024457,1.748,0.5247,0.24254142829838424,-0.280088935801661,False,False,False,False
549,0.39754357249874683,0.23695648955886492,0.39095776492251644,0.3722250073266187,0.5777995226366887,1.3658526286938844e-09,0.668145858746132,0.59265,0.3751,-0.2272017112628725,-0.42585293584927725,False,False,False,False
888,0.39717117505066823,0.2833640152073632,0.42553686904481164,0.24008309612078144,0.48764885725749496,9.133536901042403e-08,0.9429477796925881,0.47992,0.0567,-0.3188311510706014,-1.2464169411070933,False,False,False,False
537,0.396086745865426,0.21751187340514255,0.5096929776002375,0.3841240555220793,0.5154000093045088,3.369372606827587e-36,0.5962242083323988,3.4503,0.388,0.537856858168981,-0.41116827440579273,False,False,False,False
33,0.3960278031262173,0.07604177342456724,0.3779078777899344,0.3517842408940793,0.4517202944452252,0.27484189846366,0.5248956759542855,10.804,0.3954,1.0335845755154134,-0.40296333502234655,False,False,False,True
875,0.394978151290898,0.1449879904668067,0.418626188655018,0.3978932532100689,0.46169047422808723,8.031596820372144e-47,0.5136593521396857,0.75605,0.4468,-0.12144948226857215,-0.3498868355564286,False,False,False,False
672,0.3947077865198147,0.31716819585126904,0.48206782024451544,0.062052490656815174,0.5702778867378365,3.8207299392880095e-42,0.8331405257151492,1.4211,0.5775,0.15262463944761911,-0.23844801143581806,False,False,False,False
993,0.3943219756298618,0.1540376570185622,0.441530691879355,0.43349763306858985,0.45097702443481047,7.407935741141775e-19,0.544118786185809,1.1426,0.2963,0.05789421972453023,-0.5282683485199489,False,False,False,False
768,0.39404011462918753,0.14771092671161856,0.4137870745753444,0.398396418562505,0.43063882365671124,1.3538485054207354e-06,0.5309849821262347,0.83061,0.1889,-0.08060284457374983,-0.7237680420781664,False,False,False,False
1113,0.39301740579920363,0.22618443860655835,0.3832916220418466,0.31136943951694135,0.4035633769143804,6.4228986377454195e-06,0.9065356119911554,8.8902,0.0542,0.9489115312648543,-1.2660007134616131,False,False,False,False
720,0.3920186209223661,0.22724300169684195,0.4506873495810211,0.36493116792034114,0.5295682305955864,4.868394813679238e-10,0.6822681056526462,0.98604,0.5629,-0.006105466978751341,-0.24956875133979783,False,False,False,False
