#4FGL LogParabola unIDs
Beta      Beta_err E_peak[GeV]     det_sig   curv_sig     source_name
 0.1168    0.0618   2.1508e+00      16.8691    2.359       J0259.0+0552
 0.1658    0.1246   6.4615e+00       7.0131    1.647       J0301.6-5617
-0.0355    0.0434   1.7438e+02       7.4373    0.711       J0302.5+3354
 0.0609    0.0903   1.5140e-03       5.1240    0.772       J0302.7+5717
 0.5853    0.3853   2.4770e+00       5.3540    2.557       J0304.6+6554
 0.3752    0.5534   2.9856e+01       4.0800    1.553       J0308.9-4702
 0.6027    0.1218   1.3024e+00      19.6370    7.871       J0312.1-0921
 0.1827    0.1401   1.3594e+01       6.0771    1.627       J0312.7+2012
 0.0641    0.1302   3.8000e-04       4.5840    0.529       J0313.6-7508
 0.1182    0.1089   1.0933e-01       4.9814    1.313       J0314.1+2827
 0.4803    0.2624   8.3632e-01       4.0556    2.906       J0314.1+5033
 0.1991    0.1888   9.8150e-01       5.2499    1.330       J0314.4-4805
 0.0724    0.1363   1.2476e+01       4.6890    0.618       J0327.6+2620
 0.0023    0.0572   5.1612e-35       8.6692    0.047       J0328.4-4736
 0.1064    0.0907   4.7584e-02       6.1951    1.400       J0328.5+6114
-0.0228    0.0704   1.3011e+03       5.7231    0.287       J0328.6-1129
 0.4832    0.1601   8.7805e-01      10.1015    4.753       J0330.1+5038
 0.6221    0.1515   4.5868e-01       7.7579    4.791       J0330.7+5845
 0.0743    0.1137   1.3638e+01       4.4748    0.717       J0333.0-3044
 0.0617    0.1235   1.6586e+00       5.6909    0.531       J0333.4-2705
 0.3588    0.0701   1.6143e+00      28.0187    7.203       J0336.0+7502
 0.0785    0.0912   9.9917e-02       5.6633    0.964       J0337.5+2423
 0.5867    0.0684   1.8204e-01      28.8993   14.393       J0340.4+5302
 0.1310    0.1223   2.7256e-01       6.6336    1.506       J0341.9+3153
 0.0521    0.0769   2.8215e+00       8.5078    0.731       J0343.3-6303
 0.1311    0.1121   1.0980e-01       5.0649    1.389       J0346.2+3235
 0.9995       nan   1.7121e+00       6.7326    4.281       J0347.0-6400
 0.9515    0.2901   7.0925e-01       5.0502    3.852       J0358.1+2850
 0.7372    0.2323   6.0093e-01       6.4752    4.326       J0359.3+3626
-0.0061    0.0684   2.1884e+13       4.1443    0.054       J0405.9+3041
-0.0223    0.0662   4.7435e+03       4.5494    0.323       J0406.2+0639
-0.0863    0.0455   1.8789e+01       5.6415    1.489       J0407.7-5702
 0.1064    0.1167   2.9174e+00       5.9987    1.139       J0409.2+2542
 0.6502    0.3607   8.1620e+00       5.6279    2.740       J0409.4-3822
 0.8313    0.2849   5.3482e-01       6.4382    4.557       J0409.7+4006
 0.0771    0.0847   1.0104e-02       8.1483    0.995       J0413.1-0304
 0.0137    0.0896   3.9444e+01       4.5422    0.146       J0414.3+4522
 0.1120    0.1156   8.2624e+00       6.6117    1.256       J0414.6+5711
 0.9819    0.1160   1.0193e+00      13.2041    6.491       J0414.7-4300
 0.3223    0.0608   1.5446e+00      27.6206    7.610       J0418.9+6636
 0.4661    0.2667   1.6268e+00       7.6396    3.162       J0423.0-0943
 0.4241    0.0633   3.8155e-01      25.2220   10.593       J0426.5+5434
 0.1263    0.0965   2.5961e-02      10.6014    1.755       J0427.3+0504
 0.2687    0.1355   1.7789e-01       5.1334    2.486       J0427.4+6433
 0.0108    0.0319   1.7490e-08      21.8495    0.348       J0427.8-6704
 0.4702    0.2103   3.9739e-01       6.8637    3.949       J0427.9+3632
 0.4807    0.2563   3.1757e+00       7.7449    3.208       J0435.5+3232
 0.2241    0.0999   8.4830e-01      10.5626    3.233       J0436.9+2915
 0.1439    0.0879   1.3893e+01      11.8161    1.863       J0438.0-7329
-0.0290    0.0657   1.1106e+03       5.7153    0.396       J0438.2-4243
 0.0447    0.1424   8.6545e-02       4.5811    0.329       J0439.6-8322
-0.0747    0.0431   5.2786e+01       7.5556    1.390       J0442.0-5432
 0.2265    0.1100   1.9796e-01       5.9152    2.615       J0442.8+3609
 0.0873    0.1789   4.0431e-01       4.3322    0.552       J0444.8-3514
 0.3537    0.1964   3.4322e-01       4.2845    2.564       J0445.7+1535
 0.9858       nan   1.1508e+00       6.2618    4.782       J0447.2+2446
 0.2151    0.1358   4.9939e-01       7.4908    1.925       J0448.7-2116
 0.3203    0.1650   3.2826e-01       6.9258    2.930       J0452.9+5117
 0.2299    0.1187   3.6053e-01       6.0472    2.485       J0453.3+2843
 0.2223    0.1720   7.0777e+00       6.8287    1.661       J0455.9+6757
-0.0428    0.1064   3.5946e+01       5.3879    0.335       J0459.7-5413
-0.0095    0.0186   8.9218e+02      16.0278    0.459       0500.9-6945e
 0.5868    0.3854   8.1597e+00       4.0586    2.393       J0502.2+3016
 0.7759    0.3138   3.8405e+00       9.2984    4.538       J0506.1+5028
 0.0212    0.1037   3.3729e-06       4.6257    0.159       J0506.3-0620
 0.4400    0.2279   5.5827e+00       5.5799    2.103       J0512.3+3329
-0.1085    0.0485   1.2663e+01       4.1716    1.604       J0512.5-2201
 0.3995    0.0544   1.6929e+00      41.8525   10.888       J0523.3-2527
 0.5305    0.2951   1.2003e+00       7.6243    3.148       J0524.7-8304
 0.1161    0.1088   5.7105e-02       5.7575    1.282       J0527.1+1152
 0.0821    0.0976   3.6172e+00       8.3018    1.042       J0527.4+6647
-0.0123    0.0910   3.3945e+12       4.2373    0.108       J0529.1-2449
 0.1781    0.1293   2.6898e-01       5.0611    1.862       J0529.9-0224
 0.0323    0.0174   3.2607e-01      25.2160    2.017       0530.0-6900e
 0.5321    0.2818   4.8870e-01       4.8191    2.803       J0531.7+1241
 0.0030    0.0158   7.1170e+01      23.2474    0.190       0531.8-6639e
