Source_ID,Mean_Prob,Std_Dev,Coeff_Var,Median_Prob,Q25_Prob,Q75_Prob,IQR,Min_Prob,Max_Prob,Range,Skewness,E_peak,Beta,Sigma_det,Beta_Rel,log_E_peak,log_Beta,log_Sigma_det,log_Beta_Rel,Very_High_Conf,High_Conf,Moderate_Conf,Low_Uncertainty,Consistent,Premium_Candidate,Stable_Candidate
821,0.786348316799403,0.4092533102741129,0.5204478681093616,0.9701744839280338,0.933754840439643,0.9828867618305992,0.049131921390956235,0.055272317340007246,0.9896531804587317,0.9343808631187245,-1.4897168682220683,1.5437,0.6922,9.8576,0.3111817393816816,0.1885629041579057,-0.15976840504189108,0.9937711914493343,-0.5069858959961462,False,False,True,False,False,False,False
1046,0.7323609017444522,0.37137320758733844,0.5070904271812423,0.9474674330083186,0.6362348326683358,0.9662218241575494,0.3299869914892136,0.12049690433358821,0.9913835145544692,0.870886610220881,-1.0359498042304833,1.3713,0.3462,4.3628,0.7047949162333911,0.13713247600899317,-0.4606729364606249,0.6397653044634994,-0.15193723720064564,False,False,True,False,False,False,False
371,0.6946301934550907,0.414328342903502,0.5964732613736529,0.9779565127227893,0.4402178548604728,0.9846464176419971,0.5444285627815243,0.08421896695037075,0.9861112150998234,0.9018922481494526,-0.675934664433363,13.855,0.2306,5.0215,0.9991326973113617,1.1416065301182505,-0.6371406970413198,0.7008334670285428,-0.00037682820750577727,False,False,True,False,False,False,False
847,0.6520447348021776,0.287633729014961,0.4411257529607504,0.7164244652885333,0.6050325230450978,0.7686692047379333,0.16363668169283552,0.1964618409121634,0.9736356400271602,0.7771737991149967,-0.6994572533028288,22.999,0.0929,7.6952,0.8826695371367063,1.3617089532383162,-1.0319842860063582,0.8862199117266436,-0.05420186160992501,False,False,True,False,False,False,False
146,0.6255282889220635,0.41308167827296555,0.6603724867201134,0.900855284501743,0.2899175675706361,0.9254691887817492,0.6355516212111132,0.07244223975901298,0.9389571639971761,0.8665149242381631,-0.5089473743366906,11.498,0.34,9.0474,0.5352941176470588,1.060622304309956,-0.46852108295774486,0.956523791593644,-0.27140752905718035,False,False,True,False,False,False,False
106,0.6194915865109742,0.2241177019826702,0.3617768235193485,0.7141141101464589,0.41903747081795667,0.714843726630828,0.2958062558128713,0.35768004136445175,0.8917825835951756,0.5341025422307238,-0.10175393944572224,13.893,0.1439,11.8161,0.6108408617095206,1.1427960357135558,-0.8419392060633948,1.0724741577663524,-0.21407191886283325,False,False,True,False,False,False,False
331,0.5757611959538106,0.2535199760593193,0.4403213926845524,0.615893122356685,0.37787256069653885,0.6417170770841952,0.2638445163876564,0.2993611635528712,0.9439620560787624,0.6446008925258913,0.3671550306723828,9.5884,0.2022,6.2851,1.1587537091988132,0.9817461432349174,-0.6942188487450177,0.7983121919826278,0.06399113734198054,False,False,True,False,False,False,False
335,0.5720957329757658,0.478894292236989,0.837087669532397,0.7865114121700599,0.11290675136336474,0.9690020422434799,0.8560952908801152,0.0003360159565998236,0.9917224431453248,0.9913864271887249,-0.34982849859307685,0.67177,0.409,6.0491,0.41955990220048905,-0.17277939484590937,-0.38827669199265824,0.7816907640559065,-0.3772060244946551,False,False,True,False,False,False,False
781,0.566851122506025,0.20803107626548878,0.36699419712860437,0.5472458588330594,0.3836714611780176,0.7188351091092162,0.3351636479311986,0.35269047191924,0.8318127114905917,0.47912223957135164,0.19049131194785512,1.0893,0.5408,6.4758,0.4262204142011835,0.03714750363255473,-0.2669633170664205,0.8112934274442682,-0.3703657532079125,False,False,True,False,False,False,False
172,0.5629721981976094,0.28343117093682185,0.5034549961964275,0.5533754852322067,0.31387511719119077,0.6950495284930505,0.3811744113018597,0.2844243372468264,0.9681365228247726,0.6837121855779462,0.38970486924112346,0.13411,0.2563,5.5749,1.1498244245025362,-0.8725388374884626,-0.5912513938157561,0.7462370816147819,0.060631529665681166,False,False,True,False,False,False,False
1006,0.5622417890584961,0.24887011661623043,0.44263894472623116,0.47811107711580986,0.409229988229365,0.6698466997213016,0.2606167114919366,0.3129358060929211,0.9410853741330829,0.6281495680401619,0.6518083731424276,0.3582,0.364,5.4401,0.4774725274725275,-0.4458744184869873,-0.438898616350944,0.7356068829792511,-0.3210516115364083,False,False,True,False,False,False,False
110,0.5587418048244717,0.44989871797871744,0.8051996575914991,0.7976807260039919,0.1509348382789481,0.854041245812334,0.7031064075333859,2.4902680550765413e-05,0.9910273113465339,0.9910024086659831,-0.3746454592741777,0.34322,0.3537,4.2845,0.5552728300819904,-0.46442741302449025,-0.4513649401852484,0.6319001471668083,-0.25549357636382075,False,False,True,False,False,False,False
397,0.5510544805821264,0.31040616871967996,0.5632948719676908,0.4846110167599375,0.3596253565850989,0.7996727695971708,0.4400474130120719,0.17985305186513467,0.93151020810329,0.7516571562381553,0.11196613730488056,0.41563,0.2016,11.0346,0.4885912698412699,-0.38129311278897504,-0.6955094722265123,1.0427565947753064,-0.3110542972758759,False,False,True,False,False,False,False
785,0.5456803654372651,0.4177149978114548,0.7654938982856605,0.6832025969267621,0.22303842115813222,0.8236057416873962,0.600567320529264,0.002596484705006373,0.9959585827090289,0.9933620980040225,-0.3006601119275674,0.78703,0.2986,7.3567,0.4450770261219022,-0.10400871289361972,-0.5249101966109935,0.8666830462421649,-0.3515648224462746,False,False,True,False,False,False,False
1010,0.5384103326654597,0.4515932871834066,0.8387529945055369,0.5821858250744143,0.1607136634178022,0.952934410090756,0.7922207466729538,6.455911204436726e-05,0.9961532056322815,0.9960886465202371,-0.12953107560933624,58.718,0.2163,4.1131,1.2963476652797041,1.7687712546097138,-0.6649434805609086,0.6141692684491813,0.11272148985552959,False,False,True,False,False,False,False
348,0.529040123882717,0.3000189686921327,0.5671005836367112,0.4221150332930895,0.3039592956979603,0.810742767887014,0.5067834721890537,0.22454833063314433,0.8838351919023771,0.6592868612692329,0.2707606057151102,0.60748,0.5968,4.9726,0.5080428954423593,-0.21646801572573054,-0.22417118553538762,0.6965835256348845,-0.29409961750459646,False,False,True,False,False,False,False
843,0.5276406308758923,0.4724074938928904,0.8953205217639907,0.5403685153120258,0.05695348172732048,0.9935895593593177,0.9366360776319972,0.04729159862559862,0.9999999993551991,0.9527084007296005,-0.022679965757565722,0.77872,0.5259,6.8877,4.6406160867085,-0.10861867110056882,-0.2790968291865426,0.8380742227687773,0.6665756411790826,False,False,True,False,False,False,False
193,0.5151354894527255,0.28210640358999506,0.5476353384492079,0.44605641877361774,0.4278778268667504,0.5326089766786701,0.10473114981191972,0.19985718876745337,0.9692770361771357,0.7694198474096823,0.7636193732994991,0.23225,0.3411,6.1164,0.41659337437701555,-0.6340442773343206,-0.46711828059260274,0.7864958796363328,-0.38028764147992744,False,False,True,False,False,False,False
596,0.5044815162872742,0.4417311988494094,0.8756142213974114,0.6023195649482426,0.045943736637456524,0.8837464475151408,0.8378027108776842,0.03876578435843934,0.9516320479770917,0.9128662636186523,-0.1703274860619646,1.2712,0.4036,19.3727,0.23092170465807732,0.10421388419932318,-0.39404884243512706,1.2871901531602177,-0.6365352452108916,False,False,True,False,False,False,False
162,0.5038540656328,0.37432496385689995,0.742923362060291,0.5054653211501827,0.30677237305811794,0.7457280345566022,0.43895566149848425,1.335316028861552e-09,0.9613045980637817,0.9613045967284656,-0.13690752532951966,0.18913,0.4006,5.0247,0.5274588117823265,-0.7232395774422224,-0.39728905504244255,0.7011101372897544,-0.2778114479052441,False,False,True,False,False,False,False
868,0.5028888823045563,0.29057660153424897,0.577814714106415,0.4388672116822329,0.3523135860600357,0.5070429802448145,0.15472939418477882,0.2281057153367263,0.988114918198972,0.7600092028622457,1.0232565564498122,2.0156,0.4302,16.9531,0.2715016271501627,0.3044043496837311,-0.36632959394855624,1.22924912376593,-0.5662275632750631,False,False,True,False,False,False,False
837,0.4965316071875539,0.37453383877320956,0.754300080415096,0.5755622157006677,0.2588054785784651,0.6866380547331432,0.4278325761546781,0.00035291233569333883,0.9612993745898002,0.9609464622541068,-0.14807211675120907,0.027241,0.0472,5.2444,1.7139830508474576,-1.564776953788971,-1.3260580013659122,0.7196958087174565,0.23400652297818453,False,False,False,False,False,False,False
876,0.49571310894167697,0.3588875134741337,0.7239822787832221,0.5421295491848775,0.37129673503112554,0.5607479288415872,0.18945119381046166,0.005580374879895681,0.9988109567708986,0.9932305818910029,0.0486298596941025,0.78803,0.3345,7.743,0.3961136023916293,-0.10345724877129166,-0.47560387789615804,0.8889092592635314,-0.40218024383101525,False,False,False,False,False,False,False
811,0.49258701101076835,0.3774126735078566,0.7661847702227746,0.5483808683639974,0.2665685586523493,0.6528133698772105,0.3862448112248612,0.002691422736457712,0.9924808354238268,0.9897894126873691,0.0004558026634107779,0.45188,0.1251,4.3968,0.8896882494004796,-0.34497687991653436,-0.90274269030658,0.6431367110434376,-0.05076214535871163,False,False,False,False,False,False,False
1093,0.4783839077845358,0.31371830623256075,0.6557877356860887,0.4438055508452662,0.24384530180014097,0.5092072738473756,0.26536197204723466,0.20501912476281708,0.9900422876670792,0.7850231629042621,0.9107640068963594,9.1064,0.6128,4.3295,0.8908289817232377,0.9593467228420827,-0.21268124337545247,0.6364377439793963,-0.05020566231858624,False,False,False,False,False,False,False
614,0.47558969137580426,0.1944359336766965,0.40883125331399045,0.4773690435842584,0.33645974725613326,0.533714147534762,0.19725440027862873,0.26485881676780026,0.765546701736067,0.5006878849682668,0.47619591727780824,0.90911,0.1127,4.7024,1.150842945874002,-0.04138356506986568,-0.9480760839538935,0.6723195687285374,0.0610160600379736,False,False,False,False,False,False,False
123,0.4740485738123141,0.33553941132494713,0.7078165040100496,0.35543383027915293,0.2317430818803002,0.7471275657006566,0.5153844838203564,0.13122949014110238,0.9047089010603584,0.773479410919256,0.32594218890051274,0.26898,0.1781,5.0611,0.7259966311061201,-0.5702800107505644,-0.7493360805367565,0.7042449184230212,-0.13906539458284953,False,False,False,False,False,False,False
851,0.46933402525746715,0.39385496967007383,0.8391783678207206,0.22322088232973755,0.17940648864381342,0.8095891633334678,0.6301826746896544,0.1543601439001235,0.9800934480801933,0.8257333041800697,0.4671509943052225,0.87647,0.1978,27.4967,0.19464105156723963,-0.05726294443890436,-0.7037737127388394,1.4392805753652638,-0.7107655577526599,False,False,False,False,False,False,False
