Source_ID,E_peak,Beta,log_E_peak,log_Beta,Prob_Run1,Std_Run1,Prob_Run2,Std_Run2,Prob_Run3,Std_Run3,Mean_Consensus,Std_Consensus,Min_Consensus,Max_Consensus,Range_Consensus,CV_Consensus
664,1.4958,0.4329,0.174873528887417,-0.3636124141868433,0.542419056947251,0.3196401153178217,0.4919617172847334,0.3036993324223305,0.5292362429644921,0.3116183822992066,0.5212056723988255,0.026169702504275447,0.4919617172847334,0.542419056947251,0.050457339662517586,0.050209933214524015
1114,1.2945,0.328,0.1121020547708908,-0.4841261562883209,0.518394388020918,0.3015462940184042,0.4698548041160394,0.22936534591657,0.5074201991934476,0.3207092928360983,0.49855646377680163,0.025454806138859396,0.4698548041160394,0.518394388020918,0.04853958390487856,0.051057016562290676
551,1.2094,0.2911,0.0825699642699229,-0.5359577945611892,0.5181279102646542,0.3192838940438561,0.4656190830454708,0.2338850241636871,0.4741853043825994,0.2392541921902078,0.4859774325642415,0.028170639844929367,0.4656190830454708,0.5181279102646542,0.05250882721918343,0.057966970022904886
101,0.025961,0.1263,-1.5856785828224609,-0.8985966494446692,0.513474506550642,0.3117903183091886,0.4591798030769711,0.26075261058608,0.4717895073649211,0.1182298327823963,0.48148127233084476,0.028415250085816433,0.4591798030769711,0.513474506550642,0.05429470347367088,0.05901631305013264
663,0.064547,0.0851,-1.1901239379633672,-1.0700704399154122,0.4952851362900752,0.2332473241724622,0.4517060290070281,0.0684865505243851,0.4678092548841509,0.230830508346387,0.4716001400604181,0.022035488551687788,0.4517060290070281,0.4952851362900752,0.04357910728304709,0.04672493965251019
96,8.2624,0.112,0.9171062162503074,-0.9507819773298184,0.4924252436222357,0.0622634026807848,0.4503975947861421,0.2928072641681796,0.460346677523582,0.2965380864964358,0.46772317197732,0.02196338588405759,0.4503975947861421,0.4924252436222357,0.04202764883609361,0.04695808702747301
138,0.045933,0.0652,-1.3378751887885325,-1.1857524042680798,0.4815234619128148,0.2731456965368819,0.448808620847008,0.2800385006159737,0.4531474443808844,0.214489328527057,0.4611598423802357,0.01776834538625521,0.448808620847008,0.4815234619128148,0.0327148410658068,0.03852968833810114
1113,8.8902,0.0542,0.9489115312648544,-1.2660007134616131,0.4774094994536366,0.2242009946106629,0.4439498554991277,0.115440402056958,0.4492313180760052,0.2791986350854024,0.4568635576762565,0.01798819764115791,0.4439498554991277,0.4774094994536366,0.0334596439545089,0.039373237250348525
560,1.4393,0.3499,0.1581513253927027,-0.4560560575170935,0.4700315204189028,0.299598742032606,0.4435931768456083,0.1684849882902395,0.4488901997198195,0.2915804922843047,0.4541716323281102,0.013988089595145851,0.4435931768456083,0.4700315204189028,0.026438343573294498,0.030799125906324956
127,0.048244,0.138,-1.3165566912097522,-0.8601209135987634,0.4681301886768645,0.194810819925033,0.4403054473588338,0.2831539217926652,0.4449707541016175,0.2498145793741039,0.4511354633791053,0.014901569974696927,0.4403054473588338,0.4681301886768645,0.0278247413180307,0.03303125303599126
648,1.2581,0.3196,0.0997151623510236,-0.4953932293580462,0.4651249572856664,0.1709910380450572,0.4402061269619997,0.2458739547845333,0.4437681764737757,0.2765716496891973,0.4496997535738139,0.013476822004656596,0.4402061269619997,0.4651249572856664,0.024918830323666707,0.029968488080924918
86,0.27256,0.131,-0.564537879440179,-0.8827287043442357,0.464475766472748,0.1716605992794983,0.4383997843671747,0.0954998669615386,0.4393633715385546,0.0483175132628335,0.44741297412615905,0.01478466391421604,0.4383997843671747,0.464475766472748,0.026075982105573325,0.03304478063615414
