E_peak,beta,sigma_det,beta_Rel,number
0.4001752063353898,-1.0472075569559078,0.8692082437190836,0.2124518830812188,0
0.16973319794251787,-0.3805935891132226,0.7335984609613392,-0.1130366937912733,1
0.20314171911198567,-0.16857818293497784,1.0330576679204901,-0.4303660912931784,2
-0.0310736437310292,-0.5573634742177682,0.8811334809019066,-0.2015883751105874,3
-0.351835221425999,-0.49390104007155955,0.6309158007184064,-0.2460275719433657,4
-0.28862306208138316,-0.9871627752948278,0.682902850162524,0.04748280398311302,5
-1.2538018710084495,-0.6865546295735858,0.7395723444500919,-0.08710328326278344,6
-0.43962702805873427,-0.8195873671616762,0.835189417281201,-0.054281225576339374,7
-0.2856534724517532,-0.35634996178267087,0.9521868168381482,-0.41065392782517524,8
-0.396931446001918,-0.6085355881608968,0.6505503492394106,-0.11225389923770802,9
-1.172908712661239,-1.1243600629958317,0.9308930224060254,-0.008172449145116847,10
-0.09171877201816735,-1.7619538968712045,0.8658971851683774,0.6317721048505327,11
0.5002090217151078,-0.7011469235902933,0.8482938278592816,-0.0863991153694309,12
-1.2188624087595714,-2.1249387366083,0.7321443710297231,1.1143885542749918,13
0.14736710779378645,-0.21853185715820167,0.8023289442025816,-0.2730731097087453,14
0.8372600682972373,-0.9190129530891128,0.7296911336964809,0.020072307997228343,15
-0.0578480332252178,-0.679853713888946,0.942097384413391,-0.3010299956639812,16
2.018076063645795,-1.3142582613977363,0.7320880376060064,0.3805841867597741,17
-1.5738792912533845,-1.2211255279972604,0.632285160030591,0.3333952964145311,18
0.23085747689467256,-0.2731098592581784,1.3261985857907943,-0.6862878006277487,19
-3.6581501759152477,-1.7958800173440752,0.6985876569344022,0.7879915051310248,20
0.8430707441941182,-1.3062730510763532,0.838244434208112,0.24278679355524638,21
0.20052219180211292,-0.3998987443086093,1.160795554463833,-0.4414372748774015,22
-0.2322951171260335,-0.6263525277907822,0.8468688281742385,-0.1465323896200926,23
1.0466122090684455,-0.2871819997921499,0.6326597132939135,-0.17701770938295236,24
1.6765930245187535,-0.43132902199010326,0.8678680090143196,-0.3328901076823365,25
-3.382276437260005,-1.4814860601221125,0.6900719781611445,0.3758021228065509,26
-0.5227484764751105,-0.624702261782661,1.1443032727937348,-0.4705821929386581,27
0.5987576873002555,-1.0,0.749450297993681,0.08884456272700428,28
0.788359305564385,-0.11131515334030107,0.7335022077513035,-0.3990075549960003,29
0.8391385239248444,-0.40230481407448765,0.8286663400258267,-0.2099495263166487,30
-0.8513973451939065,-1.1630432629404497,0.6297357072328554,0.45151606354023205,31
0.10676866517680579,-0.4658469258149374,0.7120938531249047,-0.09418913826415774,32
1.0335845755154134,-0.40296333502234655,0.7437370435139938,0.6001059999949092,33
-0.4288387475872744,-0.12130589960389167,0.8800013883217691,-0.5815904502468519,34
0.2897672709527814,-0.30320691491825574,0.6448323288256362,-0.1649311359859349,35
1.327563260187278,-0.6880343396316337,0.6474220939813102,0.007972779611942276,36
-0.5428450575134158,-1.0634862575211066,0.8936730082678418,0.2591092011080434,37
