#4FGL LogParabola frsqs (fsrq+FSRQ)
Beta      Beta_err E_peak[GeV]     det_sig   curv_sig     source_name
 0.0800    0.0526   5.6919e-03      13.8549    1.714       J0231.8+1322
 0.0739    0.0263   1.1625e-01      36.6037    3.192       J0236.8-6136
 0.0898    0.0091   9.7373e-02     113.9479   11.244       J0237.8+2848
 0.0528    0.0438   2.7108e-04      17.3283    1.309       J0239.7+0415
 0.3057    0.0979   3.1782e-01      13.8010    4.346       J0242.3+1102
-0.0006    0.0629  1.5938e+283       7.9733    0.000       J0243.2-0550
 0.0461    0.0494   6.5563e-04      12.3817    1.047       J0245.4+2408
 0.0965    0.0150   8.6377e-02      78.1273    7.490       J0245.9-4650
 0.1051    0.1215   1.0570e+00       9.8726    1.054       J0251.5-5958
 0.0879    0.0117   1.1201e-01      94.3942    8.611       J0252.8-2219
 0.1682    0.1276   1.6410e-01       7.2961    1.561       J0252.9+3834
 0.0632    0.0671   2.4322e-02      12.9884    1.023       J0253.2-5441
 0.0786    0.0569   6.5904e-01      10.9138    1.590       J0253.5+3216
 0.0811    0.0409   6.3451e-02      17.8896    2.304       J0253.9+5103
 0.0033    0.0649   5.8904e-45       8.0850    0.059       J0257.9-1215
 0.0584    0.0226   3.3642e-01      33.4329    2.883       J0259.4+0746
 0.0346    0.1141   6.6245e-02       4.5576    0.333       J0259.5+1924
 0.0574    0.0601   2.7924e-03      12.6051    1.029       J0301.6-7155
 0.0486    0.0682   2.4398e-02       9.3486    0.786       J0303.3-7913
 0.0551    0.0348   2.1479e-02      27.5284    1.769       J0303.6-6211
 0.0877    0.0298   1.4469e-01      29.7971    3.469       J0309.0+1029
 0.1101    0.0187   1.0994e-01      61.8728    7.016       J0309.9-6058
 0.1274    0.0730   3.3056e-01      11.2355    2.065       J0310.9+3815
 0.0174    0.0409   8.6926e-06      15.0765    0.419       J0312.8+0134
-0.0107    0.0663   2.6920e+07       7.6843    0.148       J0314.6-6549
 0.0741    0.0449   4.8276e-02      16.3538    1.855       J0315.9-1033
 0.1734    0.1948   1.0532e+00       4.8718    1.013       J0317.7-2804
-0.0955    0.0510   1.6718e+01       5.2131    1.401       J0325.0-2416
 0.1286    0.0320   4.4462e-02      28.8178    4.738       J0325.7+2225
 0.4869    0.3360   1.4323e+00       4.6396    2.058       J0332.1-1123
 0.4960    0.1240   2.1835e-01      13.3153    6.524       J0336.4+3224
 0.0093    0.0695   7.0743e-19       8.7007    0.124       J0336.8-3612
-0.0761    0.0832   9.0239e+01       4.5492    0.860       J0337.8-1157
 0.0742    0.0115   8.3482e-02      81.0558    7.359       J0339.5-0146
 0.0756    0.0742   4.7561e-01       9.3595    1.133       J0342.2+3858
 0.1617    0.0656   1.9168e-01      17.7225    3.097       J0343.2-2529
 0.1738    0.1099   8.0547e-01       8.7251    2.019       J0343.4+3621
 0.1799    0.1326   2.7849e-01       6.2875    1.674       J0347.0+4844
 0.0384    0.0337   2.9134e-03      20.6581    1.211       J0348.5-2749
 0.1636    0.0340   1.5548e-01      34.2051    5.953       J0349.8-2103
 0.1783    0.0932   1.9671e-01       8.8520    2.467       J0358.9+6004
 0.1421    0.0323   8.6400e-02      25.7554    5.395       J0359.6+5057
 0.0560    0.0471   2.4054e-02      14.0082    1.285       J0401.7+2112
-0.0217    0.0493   7.5759e+04      10.3783    0.414       J0402.1-3147
 0.2169    0.1213   2.1889e-01       6.0375    2.265       J0403.3+2601
 0.1363    0.0101   8.6307e-02     138.6721   15.944       J0403.9-3605
-0.0223    0.0276   1.6495e+05      19.5620    0.780       J0405.6-1308
 0.1086    0.0229   2.0323e-01      41.5664    5.488       J0407.0-3826
 0.0743    0.0501   1.1821e-01      11.6463    1.701       J0413.1-5332
 0.0592    0.0984   8.4945e-03       6.6490    0.651       J0416.2-4353
 0.0425    0.0317   1.0321e-02      24.9465    1.449       J0416.5-1852
 0.0771    0.0326   4.6332e-02      28.5824    2.761       J0422.1-0644
 0.7074    0.3227   2.8438e-01       6.6385    3.896       J0422.8+0225
 0.0758    0.0153   1.1686e-01      65.3828    5.718       J0423.3-0120
 0.0177    0.0956   1.2050e-04       5.1460    0.192       J0429.3-4326
 0.1026    0.0302   1.0355e-01      33.8028    3.989       J0433.6-6030
 0.0087    0.0541   1.9414e-12       8.7620    0.167       J0438.4-1254
 0.9995    0.0414   6.4450e-01       4.1413    2.864       J0440.3-4333
 0.0638    0.0133   2.4962e-02      74.0118    5.296       J0442.6-0017
 0.0498    0.0733   2.9794e+00      10.3708    0.748       J0445.1-6012
 0.1288    0.0229   1.0467e-01      40.5558    6.536       J0449.1+1121
 0.1364    0.0587   3.6902e-01      13.1497    2.901       J0449.2+6329
-0.1157    0.0415   1.1421e+01       4.6990    1.776       J0449.6-8100
 0.1350    0.0722   3.1907e-01      15.1758    2.250       J0451.8-4651
 0.1040    0.0239   2.4244e-02      46.8472    4.972       J0453.1-2806
 0.0688    0.0290   1.8191e-02      31.6806    2.672       J0455.7-4617
 0.1062    0.0664   9.6227e-02      15.6683    1.800       J0456.6-3136
 0.0886    0.0870   6.3582e-02      10.1804    1.165       J0457.0+0646
 0.0755    0.0050   2.4913e-01     219.5741   17.221       J0457.0-2324
 0.0848    0.0144   7.7668e-02      71.5527    6.689       J0501.2-0158
 0.1632    0.1900   1.7525e-01       9.0980    1.054       J0502.4+0609
 0.3067    0.2417   2.0956e-01       4.5871    1.874       J0503.1-6045
 0.0982    0.0134   1.8193e-01      77.7486    9.059       J0505.3+0459
-0.0147    0.0371   1.5383e+06      11.7135    0.373       J0505.8-0419
 0.0943    0.0471   1.2993e-01      22.3638    2.352       J0507.7-6104
 0.3731    0.2020   1.0746e+00       7.3669    2.586       J0508.2-1937
 0.1027    0.0553   1.5189e-01      13.5235    2.194       J0509.4+1012
 0.0882    0.0181   7.1594e-01      54.1762    5.475       J0510.0+1800
 0.0227    0.0375   1.5184e-05      19.2983    0.665       J0515.6-4556
 0.9332    0.5954   4.8696e+00       5.4430    2.791       J0517.5+0858
 0.2747    0.1200   7.2740e-01      10.6691    3.242       J0521.3-1734
 0.1721    0.1635   9.8983e-01       8.6411    1.242       J0525.4-4600
 0.0710    0.0230   1.4447e-01      43.7109    3.584       J0526.2-4830
 0.1202    0.1016   4.2726e-02       6.5696    1.324       J0529.4-0521
 0.2437    0.0506   2.6319e-01      26.9169    7.074       J0530.9+1332
 0.0878    0.0138   1.4499e-01      70.1132    7.340       J0532.6+0732
 0.0065    0.0680   7.4304e-05       8.5583    0.142       J0532.9-8325
 0.1181    0.0205   1.6573e-01      46.3522    6.694       J0533.3+4823
 0.0102    0.1387   2.8860e-07       8.4107    0.046       J0533.8-3749
 0.0809    0.0244   1.3282e-02      20.7642    3.668       J0536.4-3401
 0.1390    0.0740   1.6167e-01      14.3268    2.394       J0539.6+1432
 0.0947    0.0311   1.0871e-02      30.7296    3.512       J0539.9-2839
 0.0425    0.0477   4.5379e-04      12.9030    0.959       J0540.8-5415
 0.5546    0.1810   3.0380e-01       9.9592    5.285       J0541.6-0541
-0.0179    0.0615   2.8393e+03       5.4245    0.262       J0550.3-5733
 0.2029    0.0577   7.9383e-02      17.2522    4.467       J0555.6+3947
 0.1633    0.0784   3.6189e-02       9.6211    2.413       J0600.6-3939
 0.1123    0.0222   1.6887e-01      47.2761    5.947       J0601.1-7035
 0.0867    0.0896   1.5628e-02       6.9400    1.131       J0601.4+2320
 0.1120    0.1013   4.0674e-02       8.2905    1.326       J0601.8-2003
 0.1220    0.0606   1.7864e-01      14.0932    2.429       J0608.0+6721
 0.0747    0.0285   5.5907e-02      26.4694    3.008       J0608.0-0835
 0.1498    0.0899   7.1474e-02       8.5478    2.116       J0608.1-6028
 0.1280    0.0465   8.4560e-02      19.7962    3.196       J0608.1-1521
 0.2139    0.1526   7.8824e-01       6.8773    1.822       J0609.0-2219
 0.0788    0.0869   5.0097e-02       7.6781    1.006       J0610.9-6054
 0.0668    0.0690   2.4396e-02      10.7466    1.081       J0612.5-3138
 0.2243    0.1504   8.9335e-01       6.7484    1.734       J0618.1-2428
-0.0979    0.0574   9.1522e+01       5.2113    1.249       J0622.4-6433
 0.0784    0.0935   4.7590e-03       7.6045    0.975       J0625.8-5441
 0.3484    0.1331   4.6025e-01      11.7839    3.949       J0633.4-2222
 0.0552    0.0566   4.0763e-03      11.1755    1.066       J0634.9-2335
 0.0024    0.0270   3.7740e-61      24.2046    0.087       J0635.6-7518
 0.0050    0.0563   1.2458e-41      10.4754    0.091       J0638.6+7320
 0.1869    0.0427   1.2095e-01      21.1893    5.430       J0641.7-0320
 0.1747    0.0343   1.7964e-01      25.7969    6.359       J0643.3+0857
 0.1345    0.1197   1.6540e-02       6.9293    1.317       J0646.7-3913
 0.1308    0.0378   1.3241e-01      25.0434    4.032       J0648.0-3045
 0.1356    0.0457   1.0975e-01      19.1786    3.527       J0648.4-1743
 0.1008    0.0264   5.4534e-01      36.0570    4.463       J0654.3+5042
 0.0665    0.0235   2.1147e-01      38.6958    3.238       J0654.4+4514
 0.1919    0.0371   1.7883e-01      25.8603    6.701       J0656.3-0322
 0.3603    0.1556   5.0298e-01       7.7316    3.716       J0659.6-2742
 0.0382    0.0748   9.4786e-04       9.0257    0.493       J0659.9+1709
 0.1375    0.0324   1.8288e-01      30.4616    4.592       J0701.5-4634
 0.0559    0.0207   1.0310e-01      36.4281    2.970       J0709.7-0255
 0.1501    0.0677   1.6359e-01      15.0758    2.965       J0710.8-3851
 0.1005    0.0270   1.4970e-01      34.8140    4.208       J0713.8+1935
 0.1833    0.0628   3.1611e-01      18.3845    3.840       J0718.0+4536
 0.1015    0.0142   4.6892e-01      74.1326    8.476       J0719.3+3307
 0.4245    0.2746   8.0571e-02       5.7621    2.496       J0720.0-6237
 0.1258    0.0381   8.0319e-02      22.3578    3.765       J0721.3+0405
 0.1898    0.1458   2.4054e-01       6.8181    1.663       J0723.5+2900
 0.0714    0.0123   1.6198e-01      76.3325    6.554       J0725.2+1425
 0.1728    0.0501   2.9513e-01      23.0661    4.432       J0726.4-4727
 0.1030    0.1427   4.2741e-02       5.4884    0.858       J0729.1+5703
 0.0901    0.0081   2.0508e-01     123.3073   12.923       J0730.3-1141
 0.1430    0.0751   3.3533e-01      12.1040    2.282       J0733.8+0455
 0.1013    0.0705   1.0393e-01      12.6052    1.745       J0734.0+5021
 0.1169    0.0397   3.6621e-01      24.1824    3.492       J0734.4-7711
 0.0920    0.0129   8.5426e-02      80.3413    8.328       J0739.2+0137
 0.0468    0.0738   1.1826e-03       7.5669    0.718       J0741.4-4709
 0.2633    0.2098   1.5651e+00       5.5846    1.738       J0742.1+4902
 0.0954    0.0164   2.3256e-01      65.9608    6.814       J0742.6+5443
 0.1982    0.1322   1.1079e-01       6.2184    1.984       J0743.0-5622
 0.1023    0.1361   4.3806e-02       4.0827    0.800       J0746.0-0039
 0.1783    0.1063   5.0108e-02      12.1837    2.388       J0746.4+2546
 0.0743    0.0437   2.4875e-01      18.4474    1.915       J0748.6+2400
 0.0713    0.0795   2.9113e-02       5.4125    1.057       J0749.9+1823
 0.0498    0.0355   5.4028e-03      19.8558    1.546       J0750.8+1229
 0.1911    0.1127   1.1803e-01       7.3245    2.078       J0752.2+3313
 0.0679    0.0720   4.1877e-01       8.3313    1.053       J0758.1+1134
 0.0236    0.0261   1.8641e+00      24.6320    0.946       J0803.2-0337
 0.1371    0.0489   1.6598e-01      19.8412    3.325       J0805.2-0110
 0.1775    0.0559   6.5465e-02      19.2894    3.781       J0805.4+6147
 0.0785    0.1068   2.8119e-02       7.4801    0.828       J0806.5+4503
 0.0905    0.0107   4.1481e-01      94.7662    9.884       J0808.2-0751
 0.1442    0.0796   3.2855e-02      11.3316    1.937       J0808.5+4950
 0.0795    0.1011   1.1475e-02       7.4869    0.894       J0809.3+4053
 0.1198    0.0464   3.1509e-01      22.4468    3.034       J0809.5+5341
 0.0558    0.1087   2.6604e-01       4.3556    0.570       J0815.6+3641
 0.1100    0.1425   1.0750e+00       4.2784    1.030       J0818.8+3229
-0.0316    0.0464   1.1356e+03      10.8399    0.598       J0823.1+4042
-0.0577    0.0436   1.7151e+02      10.0285    1.093       J0824.4+2440
 0.0422    0.0334   5.3212e-04      21.8358    1.339       J0824.7+5552
 0.0444    0.0390   7.4057e-03      21.8665    1.270       J0824.9+3915
-0.0358    0.0649   2.4875e+02       4.6439    0.501       J0827.8+5221
 0.2613    0.2054   2.8523e+00       6.7761    1.921       J0829.4+0857
 0.1151    0.0263   7.9765e-02      44.6426    5.351       J0830.8+2410
 0.0297    0.0416   6.8883e-04      17.0912    0.747       J0833.9+4223
 1.0000       nan   7.3939e-01       5.3503    4.044       J0835.2-2243
 0.4584    0.1713   1.8640e-01      10.3785    4.296       J0836.5-2026
 0.1721    0.0669   3.2967e-01      16.6829    3.279       J0839.8+0105
 0.2243    0.0166   6.6620e-02      73.2061   16.667       J0841.3+7053
-0.0255    0.0390   1.1643e+03       9.8323    0.579       J0845.7-5556
 0.0738    0.1014   1.3334e-03       6.0460    0.765       J0848.0-0524
 0.0840    0.0210   1.9224e-01      48.1975    4.654       J0850.1-1212
 0.1424    0.1303   2.5556e-01       7.0178    1.383       J0852.2+2834
 0.0307    0.1119   1.3551e-04       9.8648    0.243       J0855.9+7144
 0.0281    0.0370   2.3650e-04      16.2922    0.816       J0857.9-1949
-0.0183    0.0322   6.3197e+04      17.0857    0.539       J0903.1+4652
 0.0881    0.1114   3.4807e-01       8.0173    0.935       J0904.6+4238
 0.0935    0.0185   6.0165e-02      44.9193    5.866       J0909.1+0121
 0.1275    0.0293   3.6218e-01      42.2538    5.523       J0909.7-0230
 0.2307    0.0972   6.9625e-01      12.7984    3.242       J0910.6+2247
 0.0200    0.0361   1.7812e-05      21.4416    0.591       J0912.2+4127
-0.0978    0.0487   1.8339e+01       4.4189    1.518       J0914.4+0249
 0.0983    0.0655   1.7547e-01      17.4892    1.764       J0916.7+3856
-0.0805    0.0583   6.2006e+01       4.1131    1.056       J0917.1-2131
 0.1323    0.0245   3.1622e-01      51.6094    8.287       J0920.9+4441
