#4FGL LogParabola blazars (bll+BLL)
Beta      Beta_err E_peak[GeV]     det_sig   curv_sig     source_name
 0.2802    0.1766   1.4937e+00       8.5313    2.321       J0124.8-0625
 0.0913    0.0609   6.6875e-01      18.9287    1.840       J0125.3-2548
-0.0680    0.0497   1.9534e+01       5.5784    1.055       J0127.1+3310
 0.1003    0.0479   6.0167e-01      19.7273    2.466       J0127.2-0819
 0.0602    0.0468   5.6365e+00      18.0568    1.448       J0127.2+0324
-0.0240    0.0565   2.8328e+04       7.2426    0.379       J0127.9+4857
 0.0884    0.0256   3.2869e+01      32.3770    3.657       J0131.1+6120
-0.0155    0.0426   2.5241e+03      12.8979    0.340       J0132.8-4413
 0.0795    0.0109   3.0579e+01      84.7523    8.421       J0136.5+3906
 0.0194    0.0227   1.6838e+01      28.4631    0.847       J0137.9+5814
 0.0223    0.0499   3.8370e+01      12.7686    0.448       J0138.0+2247
 0.1579    0.1355   1.0796e+01       6.9321    1.465       J0140.6-0758
 0.0197    0.0166   2.3135e-02      44.5138    1.245       J0141.4-0928
 0.1059    0.1143   6.6310e-01       6.6355    1.112       J0142.7-0543
 0.0482    0.0210   3.4110e+01      38.1939    2.531       J0143.7-5846
 0.0803    0.0113   6.0959e-01      88.0051    8.378       J0144.6+2705
 0.0867    0.0782   2.4406e+00      11.7800    1.268       J0146.9-5202
 0.0660    0.0409   3.0196e+01      17.6825    1.769       J0148.2+5201
-0.0462    0.0398   2.5399e+01       9.3684    0.974       J0148.6+0127
 0.0234    0.0531   2.6568e-02      11.2321    0.454       J0151.3+8601
-0.0192    0.0241   1.5097e+00      24.9421    0.735       J0152.6+0147
 0.0695    0.0525   3.7523e+00      14.0778    1.533       J0153.0+7517
 0.0823    0.0258   4.8730e+00      35.9589    3.809       J0153.9+0823
 0.2604    0.0910   1.4519e+00      13.9368    3.712       J0155.0+4433
-0.0635    0.0406   2.7884e+01       9.6421    1.237       J0156.8-4744
 0.0969    0.0440   2.6913e+01      21.7795    2.515       J0156.9-5301
 0.0712    0.0352   1.7952e+00      23.8489    2.329       J0158.5-3932
 0.0387    0.0337   1.8200e+00      21.2681    1.236       J0159.5+1046
 0.0846    0.0574   1.7545e+00      16.1525    1.685       J0159.7-2740
 0.0644    0.1367   3.1015e+01       4.5797    0.527       J0201.1+0036
 0.1267    0.1137   1.4505e+00       6.8328    1.335       J0202.7+4204
 0.0460    0.0550   2.6880e-01      10.9579    0.894       J0203.6+7233
 0.1008    0.0232   4.9221e-01      44.7686    5.196       J0203.7+3042
 0.0750    0.1264   8.2058e+00       5.8924    0.675       J0204.0-3334
 0.0071    0.0462   1.3753e-07      11.2666    0.164       J0208.3-6838
 0.0662    0.0927   2.9290e-01       8.1896    0.813       J0208.5-0046
 0.0678    0.0744   1.5269e+01       9.6561    1.039       J0208.6+3523
 0.0881    0.0863   1.0080e+01      10.6881    1.057       J0209.3+4449
 0.0242    0.0190   1.1604e+02      44.4260    1.342       J0209.3-5228
 0.3170    0.1128   1.9891e+00      14.4682    4.381       J0209.9+7229
 0.0510    0.0109   4.2968e-01      77.4022    5.202       J0211.2+1051
 0.0487    0.0541   4.3927e+00      13.2899    0.953       J0212.4-3502
 0.1426    0.0545   2.2781e+00      17.8240    3.312       J0212.9+2244
-0.0547    0.0305   2.6030e+00      13.6973    1.552       J0214.3+5145
 0.1425    0.0902   8.6735e+00      10.7545    1.945       J0216.5+2313
 0.1223    0.0452   3.6099e+00      23.3900    3.355       J0216.8-6635
 0.0508    0.0251   1.7808e-01      31.3079    2.265       J0217.2+0837
 0.0300    0.0453   2.1402e+01      11.9859    0.721       J0219.0+2443
-0.0164    0.0495   7.4650e+01       9.8348    0.320       J0219.1-1724
 0.2368    0.1908   1.5097e+01       6.0649    1.687       J0220.8-0841
 0.0450    0.0060   4.4492e+00     163.8475    8.297       J0222.6+4302
 0.0548    0.0511   3.8410e+00      11.7337    1.147       J0223.0+6821
 0.1490    0.1120   1.0835e+01      11.9103    1.794       J0223.1-1117
-0.0242    0.0442   2.7461e+02      10.5508    0.504       J0224.0-7941
 0.0312    0.0760   5.1935e+00      11.8064    0.407       J0226.5-4441
 0.0410    0.0402   4.7257e+00      18.4569    1.101       J0227.3+0201
-0.0399    0.0446   4.2968e+00      11.0679    0.776       J0231.2-5754
-0.0244    0.0453   1.0862e-01      11.0642    0.476       J0232.8+2018
 0.0918    0.1078   5.2272e+00       7.9517    1.016       J0232.9+2608
 0.0266    0.0770   1.7222e+01       9.2299    0.375       J0234.3-0628
-0.1138    0.0467   6.0169e+00       5.7388    1.210       J0235.6-2939
 0.0350    0.1229   6.5945e-01       4.0891    0.302       J0237.3+2000
 0.0360    0.0573   6.8558e+01      11.9243    0.635       J0237.6-3602
 0.1105    0.0751   4.5594e+00      13.1525    1.815       J0238.1-3905
 0.0260    0.0240   2.3749e+02      31.7363    1.149       J0238.4-3116
 0.0954    0.0094   5.8219e-01     126.5774   12.814       J0238.6+1637
 0.1503    0.1271   1.8725e+00       8.1868    1.498       J0241.0-0505
 0.0326    0.0342   9.6406e-01      19.1121    1.053       J0241.3+6543
 0.1239    0.0698   1.8246e+00      12.4081    2.225       J0243.4+7119
 0.0396    0.0358   1.3938e+02      22.2101    1.188       J0244.6-5819
 0.0573    0.0565   5.7206e+01      13.7104    1.033       J0250.6+1712
 0.0589    0.0678   2.8493e+00      10.3802    0.955       J0253.2-0124
 0.4157    0.2997   3.9354e+00       5.2489    2.221       J0255.8+0534
-0.0160    0.0406   5.2491e+02      11.2721    0.386       J0256.3+0334
 0.1928    0.1041   2.3869e+00       8.5060    2.410       J0258.1+2030
 0.1168    0.1547   1.2352e+02       5.4129    0.946       J0303.3+0555
 0.0266    0.0081   1.7296e+01      98.4755    3.470       J0303.4-2407
 0.0669    0.0187   4.0196e-01      44.5773    3.855       J0303.6+4716
 0.6044    0.3787   1.2426e+01       8.1590    2.635       J0304.4-2833
 0.0053    0.0725   2.6451e+01       6.6343    0.079       J0304.5-0054
 0.1975    0.1759   1.1153e+00       6.5959    1.404       J0304.9-0606
 0.0869    0.0951   3.1051e+01      11.3271    1.107       J0305.1-1608
 0.0768    0.0281   2.4276e+00      29.3311    3.049       J0307.4+4915
 0.1001    0.1170   6.2738e+00      10.3467    1.110       J0309.7-0745
 0.0619    0.0470   5.4768e+01      17.0582    1.456       J0310.6-5017
 0.2050    0.0880   7.7090e+00      13.8786    2.962       J0312.5-2221
 0.0287    0.0479   1.7799e+01      11.2673    0.618       J0312.9+3614
