Source_ID,Mean_Prob,Std_Dev,Median_Prob,Q25_Prob,Q75_Prob,Min_Prob,Max_Prob,E_peak,Beta,log_E_peak,log_Beta,Very_High_Conf,High_Conf,Moderate_Conf,Low_Uncertainty
889,0.5357353993192618,0.30639369124960936,0.5727041453241071,0.5457729838085824,0.7082043748227593,5.096208644157691e-17,0.8861406652472571,2.0126,0.6167,0.303757468353811,-0.20992605157369523,False,False,True,False
551,0.5151349016944897,0.31629506115830214,0.5598014131107099,0.45735783612460945,0.6634336157568215,3.577568325890735e-10,0.9385310447213173,1.2094,0.2911,0.08256996426992291,-0.5359577945611892,False,False,True,False
1114,0.5076770526509509,0.3052847478601691,0.537101996229107,0.4929586564415971,0.6172423629542975,3.3547549521744737e-12,0.9072879601315497,1.2945,0.328,0.11210205477089083,-0.4841261562883209,False,False,True,False
326,0.48486875664575413,0.30238737830348417,0.4915602541752133,0.43683562913952906,0.6691398762438845,8.516623870229229e-09,0.9332760053541358,34.579,0.097,1.5388124296330574,-1.0132282657337552,False,False,False,False
546,0.4736565668009491,0.07970185217754268,0.5008711468149879,0.3884613364298457,0.5304441601448029,0.3771278160700039,0.5668748408684592,1.2265,0.5375,0.08866755254240449,-0.26962153141235706,False,False,False,True
888,0.4695410230071283,0.23096920394782264,0.4890224344137483,0.3742720380112611,0.5381781722964133,9.393726194560493e-08,0.917534233434685,0.47992,0.0567,-0.3188311510706014,-1.2464169411070933,False,False,False,False
560,0.46827427119930637,0.297439289644052,0.5390400132554374,0.32509085226960255,0.6753978411946653,7.572488391462303e-86,0.8809467021607552,1.4393,0.3499,0.15815132539270274,-0.45605605751709355,False,False,False,False
552,0.45827197608809145,0.2766866930996102,0.5496540216149293,0.3918692439698217,0.5727224754541955,8.628679980319289e-13,0.9001667245015885,0.60684,0.239,-0.21692580031983064,-0.6216020990518624,False,False,False,False
1113,0.45792428158098064,0.22936230465979593,0.4317918881357119,0.4016635938623573,0.5302148311349061,1.0044754942735666e-05,0.9114230855206307,8.8902,0.0542,0.9489115312648543,-1.2660007134616131,False,False,False,False
536,0.45738706738117474,0.170334389553352,0.5257456169155377,0.4830182952611025,0.5396806834923941,5.503060532930604e-07,0.5586221967834425,0.73941,0.3503,-0.1311146801958965,-0.4555598626823076,False,False,False,False
335,0.45538005770280676,0.3001507809110821,0.5306507667896851,0.2718026363869722,0.680600664296639,9.631291085307829e-72,0.8681176884407364,0.67177,0.409,-0.17277939484590937,-0.38827669199265824,False,False,False,False
