Source_ID,E_peak,Beta,log_E_peak,log_Beta,Prob_Run1,Std_Run1,Prob_Run2,Std_Run2,Prob_Run3,Std_Run3,Mean_Consensus,Std_Consensus,Min_Consensus,Max_Consensus,Range_Consensus,CV_Consensus
664,1.4958,0.4329,0.174873528887417,-0.3636124141868433,0.542419056947251,0.3196401153178217,0.4919617172847334,0.3036993324223305,0.5357353993192618,0.3063936912496093,0.5233720578504154,0.02740665869202484,0.4919617172847334,0.542419056947251,0.050457339662517586,0.05236553567825847
1114,1.2945,0.328,0.1121020547708908,-0.4841261562883209,0.518394388020918,0.3015462940184042,0.4698548041160394,0.22936534591657,0.5151349016944897,0.3162950611583021,0.501128031277149,0.02713239973870385,0.4698548041160394,0.518394388020918,0.04853958390487856,0.054142649191124124
551,1.2094,0.2911,0.0825699642699229,-0.5359577945611892,0.5181279102646542,0.3192838940438561,0.4656190830454708,0.2338850241636871,0.5076770526509509,0.3052847478601691,0.497141348653692,0.027794694242281346,0.4656190830454708,0.5181279102646542,0.05250882721918343,0.05590903624987495
101,0.025961,0.1263,-1.5856785828224609,-0.8985966494446692,0.513474506550642,0.3117903183091886,0.4591798030769711,0.26075261058608,0.4848687566457541,0.3023873783034841,0.4858410220911224,0.027160406502768974,0.4591798030769711,0.513474506550642,0.05429470347367088,0.055903895942808875
663,0.064547,0.0851,-1.1901239379633672,-1.0700704399154122,0.4952851362900752,0.2332473241724622,0.4517060290070281,0.0684865505243851,0.4736565668009491,0.0797018521775426,0.4735492440326841,0.02178975186938284,0.4517060290070281,0.4952851362900752,0.04357910728304709,0.04601369695723124
96,8.2624,0.112,0.9171062162503074,-0.9507819773298184,0.4924252436222357,0.0622634026807848,0.4503975947861421,0.2928072641681796,0.4695410230071283,0.2309692039478226,0.4707879538051687,0.021041552794027026,0.4503975947861421,0.4924252436222357,0.04202764883609361,0.04469433038168087
138,0.045933,0.0652,-1.3378751887885325,-1.1857524042680798,0.4815234619128148,0.2731456965368819,0.448808620847008,0.2800385006159737,0.4682742711993063,0.297439289644052,0.4662021179863764,0.016455563517960774,0.448808620847008,0.4815234619128148,0.0327148410658068,0.03529705792857653
1113,8.8902,0.0542,0.9489115312648544,-1.2660007134616131,0.4774094994536366,0.2242009946106629,0.4439498554991277,0.115440402056958,0.4582719760880914,0.2766866930996102,0.4598771103469519,0.016787474062000863,0.4439498554991277,0.4774094994536366,0.0334596439545089,0.03650426020180269
560,1.4393,0.3499,0.1581513253927027,-0.4560560575170935,0.4700315204189028,0.299598742032606,0.4435931768456083,0.1684849882902395,0.4579242815809806,0.2293623046597959,0.4571829929484972,0.013234751012103606,0.4435931768456083,0.4700315204189028,0.026438343573294498,0.028948475614248795
127,0.048244,0.138,-1.3165566912097522,-0.8601209135987634,0.4681301886768645,0.194810819925033,0.4403054473588338,0.2831539217926652,0.4573870673811747,0.170334389553352,0.45527423447229104,0.014032181032522266,0.4403054473588338,0.4681301886768645,0.0278247413180307,0.03082138118484384
