Source_ID,E_peak,Beta,log_E_peak,log_Beta,Prob_Run1,Prob_Run2,Prob_Run3,Std_Run1,Std_Run2,Std_Run3,Mean_Prob_Consensus,Std_Prob_Consensus,Min_Prob_Consensus,Max_Prob_Consensus,Mean_Uncertainty_Consensus
60,0.39142,0.2231,-0.4073569873961394,-0.6515004297161623,0.3949500148186999,0.3771630032648601,0.3801288024726538,0.2205919165459503,0.2153577104847109,0.2026513005532617,0.38408060685207124,0.009529271398905331,0.3771630032648601,0.3949500148186999,0.21286697586130762
549,0.59265,0.3751,-0.2272017112628725,-0.4258529358492772,0.3940808823341926,0.3770803945727349,0.3799112751291199,0.2243332827399172,0.2809684230927074,0.1521369298151199,0.38369085067868247,0.009108679351750536,0.3770803945727349,0.3940808823341926,0.21914621188258146
495,0.73228,0.1989,-0.1353228271334634,-0.7013652168755644,0.393475103753953,0.3767244580787094,0.3797696214062437,0.2313149200602616,0.2819284552432593,0.1807900911609008,0.38332306107963543,0.008922792879402425,0.3767244580787094,0.393475103753953,0.23134448882147393
518,20.413,0.1031,1.3099068355686807,-0.9867413347164836,0.3933551282643338,0.3760273798392989,0.3793852538938159,0.2192351659130495,0.3395607625714045,0.139948677138012,0.38292258733248286,0.009189519152956712,0.3760273798392989,0.3933551282643338,0.232914868540822
874,1.2468,0.5199,0.0957967936048022,-0.2840801825664205,0.3922365450548825,0.3760232217799577,0.3793748902580788,0.2112285299965996,0.357454336954981,0.2621654454280123,0.3825448856976396,0.008558891062481871,0.3760232217799577,0.3922365450548825,0.2769494374598643
750,0.41003,0.3088,-0.3871843667977872,-0.5103227083363014,0.3903912751780217,0.3758957830758779,0.3792386157702429,0.2336257036711961,0.2060797974056694,0.2057456333486506,0.38184189134138086,0.007590296805480721,0.3758957830758779,0.3903912751780217,0.21515037814183868
615,1.9787,0.4458,0.2963799537713857,-0.3508599358557811,0.389956874902222,0.3754111527740061,0.3790483567135445,0.2139480810166609,0.354380941894702,0.1762015887313621,0.3814721281299242,0.0075697099658416,0.3754111527740061,0.389956874902222,0.248176870547575
258,0.049275,0.0815,-1.3073733670485193,-1.0888423912600234,0.3897826967947804,0.3746550905273099,0.3787910615178488,0.0801350438739536,0.0682396417128459,0.2080236387577054,0.3810762829466463,0.0078184266690863,0.3746550905273099,0.3897826967947804,0.1187994414481683
141,0.12958,0.1449,-0.8874620243906921,-0.8389316145288254,0.3895930655728731,0.3745726413098204,0.3781482589848709,0.3736598507200582,0.2100486239090311,0.3481725961748993,0.3807713219558548,0.007846249471743541,0.3745726413098204,0.3895930655728731,0.31062702360132954
1104,2.7037,0.3672,0.4319585010371133,-0.4350973274707951,0.3892107232845251,0.3743066513344472,0.3776155737653784,0.2049918597104219,0.2683932496007599,0.2073176724739467,0.3803776494614502,0.007826534149059716,0.3743066513344472,0.3892107232845251,0.2269009272617095
543,0.90093,0.5149,-0.0453089513014346,-0.2882771081727653,0.389050392524915,0.3742465537206295,0.3775455466870393,0.1469865259049257,0.3518449168292008,0.2175707188440925,0.3802808309775279,0.007771727346488872,0.3742465537206295,0.389050392524915,0.238800720526073
15,6.8748,0.1205,0.8372600682972373,-0.9190129530891128,0.3888828277266097,0.3738524141471889,0.3773763410165179,0.2062697414115107,0.3120576378070088,0.2716247528386118,0.3800371942967722,0.007860562208035077,0.3738524141471889,0.3888828277266097,0.2633173773523771
433,0.0025024,0.0444,-2.601643268620246,-1.35261702988538,0.3885299576821108,0.3737958235984594,0.3768180181870704,0.1790374300024201,0.2183871337470562,0.3255055850689557,0.37971459982254685,0.007782436358685431,0.3737958235984594,0.3885299576821108,0.2409767162728107
1039,0.016044,0.0108,-1.7946873466903908,-1.9665762445130504,0.3883670326765839,0.3734098042158452,0.3752464648185641,0.1859852495526554,0.2760248621522237,0.1464156337389383,0.37900776723699775,0.008157218748989696,0.3734098042158452,0.3883670326765839,0.20280858181460582
97,1.0193,0.9819,0.0083020242120014,-0.0079327399723332,0.3883430084141471,0.3727649742218261,0.3746360865344491,0.2131509493460787,0.2794272908678549,0.287994071863004,0.3785813563901408,0.008505448430268252,0.3727649742218261,0.3883430084141471,0.26019077069231256
453,10.061,0.5084,1.00264114900004,-0.2937944581180294,0.3880475700010123,0.3721496621299825,0.3746252642772584,0.2904154994745558,0.2706698428721554,0.2120228755777772,0.3782741654694178,0.008554047498204822,0.3721496621299825,0.3880475700010123,0.25770273930816284
169,15.261,0.1651,1.183582992351017,-0.7822529267372064,0.3877250646079589,0.3719184576378301,0.3745586628899999,0.2933146856428771,0.1538978936373485,0.2801055620716132,0.37806739504526293,0.008467325845865624,0.3719184576378301,0.3877250646079589,0.24243938045061295
300,3.5431,0.1576,0.5493834099779165,-0.8024437868464636,0.3870590826388133,0.3718398323305982,0.3745294362979759,0.2202411987890732,0.1980524953721059,0.1727601445769287,0.37780945042246245,0.008122515895869313,0.3718398323305982,0.3870590826388133,0.19701794624603594
358,1.3379,0.6362,0.1264236537373385,-0.1964063352286554,0.3869205998905508,0.3714141009555054,0.3743459200879532,0.2495926484768638,0.2937372212364398,0.2128231872685423,0.3775602069780031,0.008237815697398239,0.3714141009555054,0.3869205998905508,0.2520510189939486
813,0.87889,0.6527,-0.0560654768971383,-0.1852863873040233,0.3868283140004376,0.3704825475676324,0.374086969925026,0.2513665931543579,0.19931232743214,0.1780477271024573,0.37713261049769864,0.008587954642543699,0.3704825475676324,0.3868283140004376,0.20957554922965174
589,0.33851,0.2968,-0.470428497198422,-0.5275361033930105,0.3861378920025425,0.3704774669913354,0.374005878833137,0.2061807586132044,0.1811828609602474,0.0706086400134758,0.3768737459423383,0.008214665190982485,0.3704774669913354,0.3861378920025425,0.15265741986230918
363,1.2377,0.3505,0.0926153909415546,-0.4553119776973225,0.3852276401180015,0.3704631769024332,0.3738129175181512,0.2628888528500788,0.2193322196983854,0.2080312889352688,0.3765012448461953,0.007740650578471991,0.3704631769024332,0.3852276401180015,0.2300841204945777
999,0.81665,0.3048,-0.0879640335982634,-0.5159850373324371,0.3851476466055263,0.370340386649112,0.3731575079204411,0.2316760262718082,0.1910256342456783,0.2198871478582172,0.37621518039169316,0.00786293568333717,0.370340386649112,0.3851476466055263,0.21419626945856787
