Beta,Beta_err,E_peak[GeV],det_sig,curv_sig,source_name
0.2045613421880461,0.03415952073299659,1.9355310791034432e-68,0.0722984820345623,0.04175912850514424,J0000.3-7355
0.48995106606081784,0.0751791377892635,1.1385658168374028e-68,0.02939071665005502,0.14464393786564453,J0003.3+2511
0.7188919958056623,0.0589451427228944,1.2296079488561966e-68,0.14561960707158716,0.302400645551745,J0003.6+3059
0.36831527437958755,0.040714201808998,7.170530693984442e-69,0.07675227608334215,0.15621007329702105,J0004.0+5715
0.1025865082139112,0.0159285798191002,3.064006778094431e-65,0.05103053443366548,0.02400645551745007,J0004.4-4001
0.40641384131422575,0.0425466932926113,3.4260186397596853e-69,0.004739182793653124,0.1826373478582476,J0005.6+6746
0.08240125830129325,0.011276870668389522,2.1292459369945312e-66,0.04983492855552216,0.06011700625378253,J0006.6+4618
0.21618315274379585,0.02678256783742512,3.9627975044288687e-69,0.01649201019616152,0.07127967184452962,J0008.4+6926
0.30601188395665846,0.0393515799365676,4.293614726950628e-70,0.031012243609562257,0.10241409454643265,J0008.9+2509
0.2585634393568682,0.03119934218254435,2.798967881075252e-69,0.060245131635558585,0.09340326810570909,J0009.1-5012
0.5108353722474659,0.03996241043110537,3.98998690595394e-69,0.10598084003744643,0.30589738417053325,J0009.2+6847
0.34140160782943024,0.044473158698461177,3.08811522760533e-69,0.009013527858914183,0.11593033420751798,J0009.2+1745
0.19180356518699754,0.017103253847057444,5.1726873603943616e-70,0.09671435397284914,0.07679375966646493,J0009.7-1418
0.07576022369800767,0.014777399271702104,5.719633366710314e-66,0.04466982468050512,0.05090444489274427,J0017.1-4605
0.12111149947570778,0.010760014096088337,9.272125086651776e-49,0.1814445426969669,0.007934906865711787,J0022.0-5921
0.09900384480950715,0.014448490543874076,3.0318878533466844e-68,0.019819383517070355,0.029924013180014794,J0023.6-4209
0.14129674938832573,0.017197227769294023,6.236000924285605e-69,0.0710834178329049,0.01674399838612064,J0024.1+2402
0.300069905627403,0.03810642546693292,2.4368789956096436e-68,0.06477675897839477,0.08869611996503261,J0025.4-4838
0.13273331003145752,0.022718195700693063,4.6533158746052535e-70,0.02899938814382727,0.005177862954744133,J0026.1-0732
0.6544914365606431,0.07553153999765067,1.081414156974505e-68,0.04946522040875451,0.1960863425458947,J0031.0-2327
0.2314750087382034,0.029437331140608484,5.295232226758068e-68,0.028342129216240353,0.08008876336493848,J0031.5-5648
0.3088081090527787,0.024339245859274054,6.741816221212355e-69,0.10153353209650462,0.1785354044785152,J0034.6+6438
0.16855994407549807,0.027158463526371437,8.029731186936763e-67,0.028984253892205214,0.030529217940958912,J0035.2-1739
0.1786962600489339,0.030212615999060263,2.0546868982515597e-70,0.005031057646364426,0.030058503126891265,J0037.2-2653
0.5921006641034603,0.02558440032890873,1.3106369868289302e-68,0.3705232343192938,0.49660412884136906,J0039.1+6257
0.1401607829430269,0.022859156584047927,1.6922899175845336e-72,0.020323137892490586,0.013381749714208862,J0039.7+4203
0.16934638238378188,0.02008692587806884,5.3665562658861586e-68,0.061289394997481206,0.04290229305359424,J0045.9-2021
0.11211114994757077,0.017197227769294023,3.203342832935377e-67,0.010025360681646708,0.013247259767332391,J0046.7-7048
0.4741349178608878,0.03364266416069541,1.2222136640221828e-68,0.22539873347934278,0.2974917624907538,J0048.6-6347
0.33275078643830824,0.039422060378245034,4.5115920819533237e-69,0.06427732867486655,0.16475018492367696,J0052.1+6444
0.5772457182803215,0.08046517091507108,8.575059693445273e-68,0.005111052976366784,0.15473068388137987,J0055.7+4507
0.12644180356518697,0.016515916833078823,0.0,0.005186724234477122,0.0,J0057.5+6814
0.4498427123383432,0.040220838717255965,3.657783255025803e-67,0.07180553783887211,0.1388608701499563,J0057.9+6326
0.15501572876616565,0.01820744743333725,3.19409997689286e-72,0.01822596302486125,0.02952054333938538,J0058.1+6915
0.07436211114994756,0.017103253847057444,1.011938689054918e-67,0.011054489791947286,0.04317127294734718,J0058.3-4603
0.3335372247465921,0.018653823563961003,2.3114072248324735e-69,0.2137323875146748,0.274695716495192,J0059.4-5654
0.21356169171618314,0.028615059321038416,3.0576138026650234e-68,0.033742895009372414,0.0667070136507296,J0102.0-6240
0.8024292205522545,0.07233642664160697,4.7313409843641684e-68,0.029364772218702914,0.1709367224799946,J0102.1+4458
0.4722125131073051,0.05715963820039939,5.318185319263653e-68,0.058039854970628746,0.1555376235626387,J0102.3+1000
0.18621111499475707,0.04543639140138612,1.0844951089886775e-69,0.004488386623916013,0.025754824826844193,J0104.6-0818
0.42511359664452986,0.06448960413485258,9.849033351305554e-69,0.023734830615293814,0.11034900141214443,J0112.0+3442
0.47168822090178253,0.36969341007870316,8.321651390279596e-68,0.032155960625001354,0.10140541994485912,J0115.4-2917
0.787049982523593,0.04635263714319276,2.869367634599091e-69,0.07632419296603224,0.3430166095084392,J0116.8+6914
0.5609052778748689,0.07973687301773759,1.5010398213047833e-68,0.007748736830498537,0.15748772779234751,J0118.3-6008
0.027175812652918546,0.011370844590626102,1.6134175460217208e-67,0.008743273365662982,0.11290431040279739,J0120.1+0505
