Position,Source_ID,E_peak,Beta,Log_E_peak,Log_Beta,ANN_Prob_Mean,ANN_Prob_Std,OCSVM_Anomaly_Rank,OCSVM_Prediction,OCSVM_Anomaly_Score,OCSVM_Log_E_peak,OCSVM_Log_Beta
6,138,0.045933,0.0652,-1.3378751887885325,-1.1857524042680798,0.465984395233687,0.0164187184512134,62.33503961099436,1,-0.010071163035892616,-1.2538018710084495,-0.6865546295735858
17,222,0.099202,0.1015,-1.0034795719969505,-0.9935339577507682,0.4414149945683225,0.0141994817178699,60.51900251973758,1,-0.012323169662577294,2.018076063645795,-1.3142582613977365
21,552,0.60684,0.239,-0.2169258003198306,-0.6216020990518624,0.435939218767346,0.0140446961518853,58.241593013657436,1,-0.015147308731134457,0.8430707441941182,-1.3062730510763532
44,204,1.2309,0.4783,0.0902227716865751,-0.3202996191280358,0.4147363759698554,0.0144676495683514,59.19940574348397,1,-0.013959557321718274,1.371714202642618,-1.2907300390241692
47,583,0.071576,0.16,-1.145232575664756,-0.7958800173440752,0.4129109779087339,0.0142797535776978,62.57140386319677,1,-0.009778055662241547,-0.9347191288972456,-0.3132743789254578
51,1094,6.7305,0.0752,0.8280473285887555,-1.1237821594083577,0.4109980968488118,0.0135642192766955,58.38841133704021,1,-0.014965244257468924,-1.3805310001358266,-1.0352690789463703
