#4FGL LogParabola pulsars (psr+PSR)
Beta      Beta_err E_peak[GeV]     det_sig   curv_sig     source_name
 0.3317    0.0374   3.1182e-01      17.6837    7.690       J1356.9-6432
 0.4167    0.0795   6.5077e-01       6.6368    4.993       J1411.5-6133
 0.3463    0.0172   1.4986e+00      87.7349   23.703       J1413.5-6205
 0.3080    0.0752   1.0369e+00      20.5613    5.336       J1417.6-4403
 0.3467    0.0264   1.0334e+00      38.0905   24.598       J1418.7-6057
 0.3381    0.0295   6.8912e-01      10.9289   11.411       J1420.0-6048
 0.5413    0.0251   3.0640e+00      42.6209   16.140       J1422.5-6137
 0.2894    0.0280   6.2278e-01      66.6298   17.649       J1429.9-5911
 0.2969    0.1499   3.6134e-01       8.0226    2.520       J1431.4-4711
 0.4754    0.0809   1.6349e+00      18.6691    6.280       J1446.6-4701
 0.2596    0.0165   4.8694e-01      76.0722   17.601       J1459.5-6053
 0.3785    0.0206   1.3170e+00      62.2138   18.070       J1509.4-5850
 0.4452    0.0689   1.0475e+00      19.8035    6.727       J1513.4-2549
 0.3788    0.0230   2.1651e+00      67.3306   17.088       J1514.3-4946
 0.4939    0.0316   1.0268e+00      42.3705   16.221       J1521.9-5735
 0.6765    0.1040   1.7339e+00      23.1030    9.421       J1528.4-5838
 0.5296    0.0643   8.9730e-01      10.9686    5.890       J1531.5-5612
 0.2466    0.0144   1.8253e+00      91.2146   18.439       J1536.4-4948
 0.3610    0.0475   6.8419e-01      14.6146    6.053       J1543.6-5148
 0.2028    0.0703   9.7294e-01      14.2326    3.227       J1544.0+4939
 0.4069    0.0915   1.7805e+00      15.7799    4.854       J1553.1+5438
 0.2469    0.1091   4.3471e-01       9.7712    3.136       J1555.7-2908
 0.4415    0.0449   2.4694e+00      24.4759    8.460       J1600.9-3054
 0.2192    0.1225   8.0452e-01       4.9484    2.956       J1614.1-5047
 0.6310    0.0336   1.9877e+00      54.0821   19.147       J1614.5-2230
 0.8306    0.1014   2.7673e+00      20.0179   10.752       J1615.3-5136
 0.5106    0.0250   2.5162e+00      65.2233   20.865       J1620.7-4927
 0.3661    0.0282   2.5375e+00      30.8847    9.537       J1623.0-5004
 0.2038    0.0442   9.1654e-01      19.7103    4.004       J1623.0-0315
 0.4433    0.0329   1.1552e+00      35.7280   12.498       J1624.1-4042
 0.5164    0.0412   1.7476e+00      54.0780   16.097       J1625.1-0020
 0.4733    0.0906   9.6181e-01      20.3525    8.016       J1628.1-3204
 0.6968    0.1360   1.6030e+00      24.9562    7.579       J1630.6+3734
 0.4793    0.1276   1.5898e+00       9.0466    3.990       J1640.1+2222
 0.6016    0.0765   1.4260e+00      11.8330    4.980       J1641.2+8049
 0.4080    0.0724   8.7274e-01      23.4161    7.988       J1641.2-5317
 0.6457    0.0448   2.6110e+00      27.6284   10.677       J1648.4-4611
 0.3926    0.0290   1.1549e+00      25.9430    9.978       J1650.3-4600
 0.3119    0.0329   8.1355e-01      55.7637   13.771       J1653.6-0158
 0.5243    0.0676   7.8984e-01      32.4697   12.191       J1658.6-5323
 0.5359    0.0511   8.8396e-01      12.7496    6.738       J1702.9-4131
 1.0000    0.0012   8.9694e-01       8.5920    5.860       J1705.6-1909
 0.2756    0.0046   1.2107e+00     374.4227   80.089       J1709.7-4429
 0.5016    0.0686   1.7640e+00      22.4300    7.999       J1713.8+0747
 0.2024    0.0234   8.0406e-01      32.8529    9.135       J1714.4-3830
 0.3351    0.0201   6.6762e-01      43.9877   14.643       J1718.2-3825
 0.1015    0.1050   3.0067e-01       5.4718    1.319       J1720.8-1937
 0.2725    0.0746   3.2648e-01      10.7606    5.033       J1730.5-3352
 0.6456    0.2136   7.9942e-01       7.1017    4.624       J1730.8-2303
 0.6291    0.0318   1.8974e+00      91.5022   33.534       J1732.5-3131
 0.3251    0.0621   1.0215e+00      15.5345    4.947       J1732.7-5050
 0.5400    0.1018   1.0256e+00      11.5176    6.475       J1739.4-3015
 0.2927    0.2623   1.5463e-01       5.2428    1.892       J1740.5+1005
 0.6552    0.1064   1.7094e+00      13.4058    5.691       J1741.4+1354
 0.7351    0.0203   7.9428e-01      99.7858   38.644       J1741.9-2054
 0.5803    0.0993   1.5268e+00      14.3923    5.799       J1742.3-3318
 0.6003    0.0407   1.5396e+00      51.9306   17.807       J1744.0-7618
 0.5952    0.0316   9.2015e-01      49.0343   18.574       J1744.4-1135
 0.5512    0.0797   1.7206e+00      21.6761    7.833       J1745.5+1017
 0.5202    0.0321   1.3300e+00      35.7772   15.332       J1746.8-3239
 0.3503    0.0308   6.9144e-01      47.1808   18.538       J1747.2-2957
 0.3852    0.0395   9.2465e-01      21.5303    7.538       J1747.7-4037
 0.1199    0.0946   3.9211e-01       5.8486    1.754       J1756.6-2352
 0.2199    0.0417   6.5350e-01      15.5508    5.157       J1801.2-2450
 0.5317    0.3275   5.0654e-01       7.7406    4.459       J1801.6-1418
 0.2964    0.0214   1.3638e+00      30.0575   10.402       J1803.1-2148
 0.4599    0.0802   1.8288e+00      15.9752    5.158       J1805.6+0615
 0.3977    0.0827   9.6082e-01      12.3450    9.058       J1806.2-2126
 0.3379    0.0128   1.1996e+00     161.4342   42.261       J1809.8-2332
 0.2491    0.0281   5.1861e-01      43.3431    9.673       J1810.5+1744
 0.1519    0.0608   3.7735e-01      10.9535    3.186       J1811.3-2403
 0.3637    0.5088   7.7960e+00       4.7006    2.076       J1811.5-1925
 0.3336    0.0129   6.1989e-01     105.7888   28.313       J1813.4-1246
 0.3410    0.0540   1.4135e+00      36.4585    9.378       J1816.5+4510
 0.3496    0.0628   1.1720e+00      15.2160    5.846       J1817.1-1742
 0.2900    0.0318   1.5374e+00      26.8517    7.392       J1823.5-3020
 0.3787    0.0627   1.6915e+00      16.0632    5.321       J1824.1+1013
 0.3201    0.0288   9.0693e-01      27.9571    8.926       J1824.6-2452
 0.3500    0.0178   9.0215e-01     103.2520   32.594       J1826.1-1256
 1.0000    0.0021   2.0802e+00      18.4790    8.825       J1827.4-1445
 0.1663    0.0344   6.0146e-01      16.9391    3.785       J1827.6-0849
 0.2347    0.0739   2.6462e-01      11.0931    4.548       J1828.4-1059
 0.7242    0.1274   5.4308e-01       7.6750    6.597       J1831.5-0935
 0.7383    0.0706   2.4435e+00      11.2303    5.564       J1832.4-0847
 0.1883    0.0376   4.8349e-01      29.7208    7.058       J1833.5-1033
 0.3884    0.0007   1.1843e+00     466.0803  111.912       J1836.2+5925
 0.2187    0.0435   6.6885e-01      13.2563    4.921       J1837.8-0604
 0.3238    0.0269   1.4051e+00      28.6210   11.277       J1838.9-0537
 0.3741    0.0216   5.3633e-01      17.9735    6.248       J1843.7-1114
 0.6265    0.0879   1.6360e+00      22.1165   10.566       J1844.4-0345
 0.5031    0.0313   1.6899e+00      54.2026   17.361       J1846.3+0919
 0.3433    0.1460   1.8961e+00       8.0345    3.554       J1853.3-0005
 0.1617    0.0794   1.0148e+00      10.3006    2.603       J1855.9-1435
 0.4852    0.3376   4.1097e-01       5.4753    3.924       J1857.2+0941
 0.3889    0.1426   9.1812e-01      10.8787    6.237       J1857.6+0143
 0.6545    0.1021   1.7142e+00      28.2496   11.515       J1858.3-2216
 0.3061    0.0341   9.9343e-01      22.5415    6.501       J1901.4-0126
 0.2872    0.0356   6.5383e-01      41.9880   11.877       J1902.0-5105
 0.5542    0.1342   2.2205e+00      22.5743    6.810       J1903.4-7053
 0.2824    0.0282   7.6320e-01      21.8406   10.442       J1906.4+0723
 0.3064    0.0119   9.6011e-01     109.9722   32.393       J1907.9+0602
 0.4560    0.0945   1.9759e+00       8.1083    3.311       J1908.9+2103
 0.2019    0.1070   1.7583e-01       4.2871    2.271       J1912.2-3636
 0.5354    0.0531   1.3320e+00      15.3858    7.686       J1913.3+0905
 0.1185    0.0757   2.0152e+00       6.2528    2.131       J1913.3+1019
 0.3208    0.0414   1.2808e+00      16.5449    5.553       J1921.4+0136
 0.8284    0.1404   1.2351e+00       7.3505    5.450       J1925.2+1729
 0.5656    0.0867   1.8873e+00       5.5073    3.278       J1932.2+2221
 0.4207    0.0542   7.9877e-01      37.3203   14.198       J1932.3+1916
 0.2451    0.0349   2.2871e-01      15.5098    6.231       J1935.2+2029
 0.3157    0.0475   6.5203e-01      12.4680    5.692       J1939.6+2135
 0.5783    0.0848   1.1814e+00      33.5678   11.486       J1946.5-5402
 0.2749    0.0127   8.6869e-01     106.8576   26.550       J1952.9+3252
 0.3168    0.0250   1.1365e+00      73.5993   19.657       J1954.3+2836
 0.6683    0.0263   7.1939e-01      56.6645   20.446       J1957.6+5033
 0.3791    0.0196   1.0337e+00      75.8352   22.321       J1958.7+2846
 0.5017    0.0519   9.9053e-01      27.6956   10.864       J1959.5+2048
 0.3774    0.0529   1.3185e+00      11.6905    4.702       J2006.2+3102
 0.4416    0.1472   3.0734e+00      11.1439    4.461       J2006.4+0147
 0.4064    0.0342   2.4881e+00      67.7253   19.545       J2017.4+0602
 0.2012    0.0553   1.0962e+00      19.0350    3.719       J2017.7-1612
 0.5376    0.0356   1.0200e+00      43.0620   16.135       J2017.9+3625
 0.3179    0.0096   9.1212e-01     182.3764   49.855       J2021.1+3651
 0.3966    0.0107   8.7224e-01     117.5162   56.401       J2021.5+4026
 0.4448    0.1224   4.4462e-01      10.7174    5.691       J2022.3+3840
 0.6455    0.0317   1.4105e+00      54.9827   22.287       J2028.3+3331
 0.5679    0.0369   1.6206e+00      45.6289   16.229       J2030.0+3641
