Beta,Beta_err,E_peak[GeV],det_sig,curv_sig,source_name
0.4022,0.1438,0.46869,10.4705,4.14,J0235.3+5650
0.5178,0.1148,1.8193,20.9039,7.099,J0237.8+5238
0.2231,0.1381,0.39142,4.4495,2.093,J0239.1+6634
-0.0096,0.0708,3894700000000.0,6.3399,0.12,J0240.2-0248
0.1386,0.1893,0.42538,4.1247,0.818,J0245.0+4755
0.4465,0.3456,1.5818,4.1471,1.208,J0246.0-4838
0.5035,0.2311,13.769,9.6361,3.72,J0251.1-1830
0.8501,0.7248,6.6083,4.2401,2.035,J0252.0-3657
-0.0732,0.0719,354.75,4.6336,0.802,J0252.3-2707
0.1671,0.2354,0.26272,4.7355,1.111,J0257.8+7044
0.1168,0.0618,2.1508,16.8691,2.359,J0259.0+0552
0.1658,0.1246,6.4615,7.0131,1.647,J0301.6-5617
-0.0355,0.0434,174.38,7.4373,0.711,J0302.5+3354
0.0609,0.0903,0.001514,5.124,0.772,J0302.7+5717
0.5853,0.3853,2.477,5.354,2.557,J0304.6+6554
0.3752,0.5534,29.856,4.08,1.553,J0308.9-4702
0.6027,0.1218,1.3024,19.637,7.871,J0312.1-0921
0.1827,0.1401,13.594,6.0771,1.627,J0312.7+2012
0.0641,0.1302,0.00038,4.584,0.529,J0313.6-7508
0.1182,0.1089,0.10933,4.9814,1.313,J0314.1+2827
0.4803,0.2624,0.83632,4.0556,2.906,J0314.1+5033
0.1991,0.1888,0.9815,5.2499,1.33,J0314.4-4805
0.0724,0.1363,12.476,4.689,0.618,J0327.6+2620
0.0023,0.0572,5.1612e-35,8.6692,0.047,J0328.4-4736
0.1064,0.0907,0.047584,6.1951,1.4,J0328.5+6114
-0.0228,0.0704,1301.1,5.7231,0.287,J0328.6-1129
0.4832,0.1601,0.87805,10.1015,4.753,J0330.1+5038
0.6221,0.1515,0.45868,7.7579,4.791,J0330.7+5845
0.0743,0.1137,13.638,4.4748,0.717,J0333.0-3044
0.0617,0.1235,1.6586,5.6909,0.531,J0333.4-2705
0.3588,0.0701,1.6143,28.0187,7.203,J0336.0+7502
0.0785,0.0912,0.099917,5.6633,0.964,J0337.5+2423
0.5867,0.0684,0.18204,28.8993,14.393,J0340.4+5302
0.131,0.1223,0.27256,6.6336,1.506,J0341.9+3153
0.0521,0.0769,2.8215,8.5078,0.731,J0343.3-6303
0.1311,0.1121,0.1098,5.0649,1.389,J0346.2+3235
0.9995,,1.7121,6.7326,4.281,J0347.0-6400
0.9515,0.2901,0.70925,5.0502,3.852,J0358.1+2850
0.7372,0.2323,0.60093,6.4752,4.326,J0359.3+3626
-0.0061,0.0684,21884000000000.0,4.1443,0.054,J0405.9+3041
-0.0223,0.0662,4743.5,4.5494,0.323,J0406.2+0639
-0.0863,0.0455,18.789,5.6415,1.489,J0407.7-5702
0.1064,0.1167,2.9174,5.9987,1.139,J0409.2+2542
0.6502,0.3607,8.162,5.6279,2.74,J0409.4-3822
0.8313,0.2849,0.53482,6.4382,4.557,J0409.7+4006
0.0771,0.0847,0.010104,8.1483,0.995,J0413.1-0304
0.0137,0.0896,39.444,4.5422,0.146,J0414.3+4522
0.112,0.1156,8.2624,6.6117,1.256,J0414.6+5711
0.9819,0.116,1.0193,13.2041,6.491,J0414.7-4300
0.3223,0.0608,1.5446,27.6206,7.61,J0418.9+6636
0.4661,0.2667,1.6268,7.6396,3.162,J0423.0-0943
0.4241,0.0633,0.38155,25.222,10.593,J0426.5+5434
0.1263,0.0965,0.025961,10.6014,1.755,J0427.3+0504
0.2687,0.1355,0.17789,5.1334,2.486,J0427.4+6433
0.0108,0.0319,1.749e-08,21.8495,0.348,J0427.8-6704
0.4702,0.2103,0.39739,6.8637,3.949,J0427.9+3632
0.4807,0.2563,3.1757,7.7449,3.208,J0435.5+3232
0.2241,0.0999,0.8483,10.5626,3.233,J0436.9+2915
0.1439,0.0879,13.893,11.8161,1.863,J0438.0-7329
-0.029,0.0657,1110.6,5.7153,0.396,J0438.2-4243
0.0447,0.1424,0.086545,4.5811,0.329,J0439.6-8322
-0.0747,0.0431,52.786,7.5556,1.39,J0442.0-5432
0.2265,0.11,0.19796,5.9152,2.615,J0442.8+3609
0.0873,0.1789,0.40431,4.3322,0.552,J0444.8-3514
0.3537,0.1964,0.34322,4.2845,2.564,J0445.7+1535
0.9858,,1.1508,6.2618,4.782,J0447.2+2446
0.2151,0.1358,0.49939,7.4908,1.925,J0448.7-2116
0.3203,0.165,0.32826,6.9258,2.93,J0452.9+5117
0.2299,0.1187,0.36053,6.0472,2.485,J0453.3+2843
0.2223,0.172,7.0777,6.8287,1.661,J0455.9+6757
-0.0428,0.1064,35.946,5.3879,0.335,J0459.7-5413
-0.0095,0.0186,892.18,16.0278,0.459,0500.9-6945e
0.5868,0.3854,8.1597,4.0586,2.393,J0502.2+3016
0.7759,0.3138,3.8405,9.2984,4.538,J0506.1+5028
0.0212,0.1037,3.3729e-06,4.6257,0.159,J0506.3-0620
0.44,0.2279,5.5827,5.5799,2.103,J0512.3+3329
-0.1085,0.0485,12.663,4.1716,1.604,J0512.5-2201
0.3995,0.0544,1.6929,41.8525,10.888,J0523.3-2527
0.5305,0.2951,1.2003,7.6243,3.148,J0524.7-8304
0.1161,0.1088,0.057105,5.7575,1.282,J0527.1+1152
0.0821,0.0976,3.6172,8.3018,1.042,J0527.4+6647
-0.0123,0.091,3394500000000.0,4.2373,0.108,J0529.1-2449
0.1781,0.1293,0.26898,5.0611,1.862,J0529.9-0224
0.0323,0.0174,0.32607,25.216,2.017,0530.0-6900e
0.5321,0.2818,0.4887,4.8191,2.803,J0531.7+1241
0.003,0.0158,71.17,23.2474,0.19,0531.8-6639e
0.138,0.1277,0.048244,4.1431,1.3,J0532.6+3358
0.7123,0.1645,0.91082,13.647,7.549,J0533.6+5945
0.2125,0.1297,0.2142,5.1338,2.137,J0534.0+3746
0.2558,0.1585,0.69383,7.4954,2.228,J0535.1-5422
0.3349,0.2464,0.56403,4.6999,2.092,J0535.3+0934
0.9318,0.5947,3.5247,5.0413,3.113,J0536.1-1205
0.1285,0.1184,0.090608,4.9909,1.33,J0537.5+0959
0.3107,0.1484,0.83716,7.2748,3.23,J0538.9+3549
0.0741,0.1175,1.0096,5.078,0.731,J0539.2-6333
0.3488,0.1368,0.95302,13.6926,3.607,J0540.0-7552
0.3698,0.3661,26.289,5.2616,1.345,J0540.2+0655
0.0652,0.1018,0.045933,4.5577,0.724,J0540.6+5540
0.8815,0.2518,0.92971,5.7967,4.138,J0540.7+3611
0.0166,0.0641,0.0054752,12.1572,0.226,J0543.5-8741
0.1449,0.1277,0.12958,4.9232,1.546,J0543.9-0418
-0.1189,0.0374,28.565,4.8005,2.221,J0544.4+2238
0.0606,0.1334,0.01165,4.2092,0.554,J0544.8+5209
0.2847,0.0648,2.5657,23.5802,6.321,J0545.7+6016
0.0229,0.0693,0.038195,6.4121,0.336,J0545.8-0905
0.4238,0.1969,0.3062,4.6307,2.329,J0546.5-1100
0.34,0.182,11.498,9.0474,2.117,J0550.5-4356
0.4088,0.1806,1.0074,5.5943,1.779,J0550.9+2552
0.7749,0.2045,0.40471,8.07,5.273,J0551.7+0446
-0.0313,0.0898,619240.0,4.2724,0.295,J0553.5+4810
0.8637,0.2761,0.52525,5.0144,4.252,J0553.6+0100
0.2133,0.2152,3.4862,6.7741,1.343,J0553.9-5048
0.0848,0.1112,0.50915,6.0535,0.92,J0554.0-0839
-0.0295,0.0574,1451.3,4.3364,0.475,J0554.2-0259
0.4666,0.1641,0.52896,7.459,4.548,J0555.1+0150
0.0276,0.0898,4.3107e-07,6.1501,0.347,J0557.5-4452
0.2918,0.1475,1.3365,8.8998,2.482,J0558.1-2113
0.8136,0.4842,0.68128,5.3141,3.655,J0601.0-1016
0.3412,0.2469,1.0071,5.6148,2.102,J0601.4-6057
0.4857,0.1908,0.79125,7.5484,4.321,J0609.0+2136
0.5247,0.1791,0.53928,6.5808,4.948,J0609.0+2006
-0.0322,0.0707,7.8032,5.1094,0.4,J0610.8-4911
0.2945,0.3072,2.6224,4.2954,1.476,J0611.4-4722
0.1936,0.1785,0.73186,4.1205,1.23,J0611.5-2918
0.6863,0.4023,0.4587,5.2683,4.024,J0612.6+1520
0.0262,0.069,2.1716e-05,5.034,0.383,J0613.1+1749
-0.0337,0.071,75395.0,5.4287,0.438,J0617.6-4028
0.4006,0.2113,0.18913,5.0247,2.975,J0618.7+1211
0.3434,0.131,0.78304,6.8182,4.515,J0618.9+2240
0.0414,0.0564,0.91884,7.9599,0.825,J0620.1+2246
0.1151,0.0907,0.097034,5.7827,1.491,J0620.4+1445
1.0,0.0038,21.34,4.3367,2.237,J0620.7-5034
0.8196,0.3242,0.81171,5.536,3.066,J0622.5+3120
0.2072,0.1852,0.22218,5.0151,1.508,J0624.7-4903
0.1651,0.2165,15.261,5.0235,1.073,J0625.5+7029
0.2723,0.1691,2.686,5.49,2.196,J0631.0+5626
0.0386,0.1094,31.027,4.3604,0.396,J0633.9+5840
0.2563,0.2947,0.13411,5.5749,1.53,J0634.6-3046
0.0557,0.1387,4.0982,4.5631,0.468,J0640.9-5204
0.3848,0.1948,0.5579,4.5972,2.713,J0642.4+1048
0.1354,0.1475,0.24425,6.2319,1.117,J0642.9-6501
0.4969,0.319,0.75374,4.2607,2.543,J0648.6-3623
0.2861,0.2178,21.346,7.7254,1.809,J0650.2-5144
0.0431,0.123,0.0015468,4.4246,0.377,J0651.9-4330
1.0,,1.0417,9.5147,5.581,J0652.9+4707
0.5274,0.3313,5.2069,5.0266,2.434,J0656.5+4218
0.3778,0.1581,1.8223,11.3705,3.194,J0657.4-4658
-0.0441,0.0637,201.99,5.5988,0.58,J0658.7+2318
0.2256,0.1966,2.3843,5.1794,1.631,J0700.2-5118
0.0526,0.1172,0.0099888,4.4104,0.501,J0700.4-4308
0.443,0.1777,1.2927,9.7702,3.489,J0700.6+3558
0.4455,0.2468,4.0431,5.446,2.498,J0700.8+1551
-0.059,0.0695,11.023,4.4563,0.572,J0701.5-2842
0.1373,0.1063,3.0807,7.7015,1.658,J0704.3-4829
0.4276,0.2218,0.78862,5.4133,3.095,J0705.8-0004
0.0527,0.1072,2.8787,5.6878,0.501,J0708.6+1747
0.3278,0.1101,0.366,9.6007,4.665,J0709.1-1034
0.7893,0.3022,1.7257,9.131,4.52,J0712.0-6431
0.4387,0.3818,0.48137,5.5031,2.388,J0712.8-5637
-0.0001,0.0673,inf,4.7899,0.019,J0713.5-2555
0.3227,0.2101,0.26201,5.0675,2.698,J0715.7-1128
0.287,0.1405,0.98004,8.0011,2.796,J0718.8-5004
-0.0064,0.0527,8.2671e+16,9.5781,0.133,J0722.4-2650
0.3411,0.1421,0.23225,6.1164,3.6,J0722.7-2309
-0.0391,0.0553,166.81,5.7762,0.654,J0723.1-3048
-0.0316,0.077,0.016037,4.2747,0.373,J0724.8+3016
0.9984,0.0478,11.639,5.3881,2.652,J0725.6-5008
0.1537,0.0862,10.725,11.8194,2.173,J0725.7-0549
0.2602,0.1992,1.6799,6.4967,1.678,J0731.0+6607
0.4105,0.2013,0.2309,5.4138,2.883,J0731.5-1910
-0.027,0.0585,19.876,4.8791,0.424,J0734.3-4448
0.2783,0.0992,0.3273,13.1557,3.991,J0736.9-3231
-0.0797,0.0414,8.1316,6.6025,1.483,J0737.4+6535
-0.053,0.0539,143.55,5.7109,0.788,J0738.6+1311
-0.068,0.0575,2.4326,4.721,0.908,J0741.0-5226
0.3025,0.0554,0.85847,28.6786,8.147,J0744.0-2525
0.4024,0.3009,0.22122,4.2362,2.078,J0744.4-1403
0.5027,0.2451,1.7029,9.56,3.889,J0744.9-4028
0.1249,0.1315,1.4324,4.9027,1.145,J0746.5-4113
0.0332,0.1049,3.9001,6.1032,0.353,J0747.2-0736
0.4783,0.3235,1.2309,4.6544,2.682,J0749.8-4420
0.4722,0.2011,0.72931,8.1637,4.074,J0752.0-2931
1.0,,2.5709,8.9991,5.995,J0754.9-3953
-0.0096,0.0714,2.0186e+19,6.5064,0.117,J0755.9-0515
0.3683,0.0726,1.1935,23.4414,7.436,J0758.8-1450
0.0026,0.079,7.3536e-46,4.1495,0.051,J0800.1-5531
0.6471,0.4274,1.4888,5.8179,2.376,J0800.5+3715
0.3424,0.1675,0.68164,6.5862,2.877,J0800.7-1059
0.4543,0.2776,5.4752,7.1269,2.91,J0800.9+0733
0.05,0.1141,0.0094408,4.8149,0.483,J0801.3-0617
0.6881,0.1488,1.0661,18.5074,8.508,J0802.1-5612
0.338,0.2603,0.46851,5.1698,2.173,J0803.5+2046
0.9603,,0.29886,6.6418,4.686,J0809.8+0507
0.0879,0.0855,0.042356,6.0871,1.179,J0813.1-5049
0.1322,0.1401,34.987,5.032,0.982,J0815.5+6554
0.5608,0.3428,0.27919,7.3873,4.136,J0817.7-5258
0.9745,0.2025,1.0578,6.0661,3.809,J0821.5-1436
1.0,0.0166,8.2647,4.216,2.421,J0824.1-6004
0.0313,0.0809,0.0026881,7.2298,0.395,J0826.0-0157
0.3945,0.2749,1.5977,10.3229,2.833,J0826.1-5053
-0.0514,0.0706,40.731,4.2614,0.51,J0827.0-4111
0.2617,0.3048,5.7073,4.5729,1.277,J0827.6-0059
0.4055,0.1954,0.21927,7.389,3.022,J0829.3+3729
0.1015,0.1194,0.099202,4.6786,1.013,J0836.0-5458
0.9995,0.0462,2.486,4.9467,2.673,J0836.6-6036
0.2356,0.1435,0.078015,6.5185,2.217,J0838.4-3952
-0.0173,0.0764,0.0017242,4.3546,0.208,J0838.5+4013
0.0384,0.1172,0.007733,5.7203,0.464,J0838.9-2502
0.5295,0.1287,2.8672,18.0942,6.866,J0843.3+6712
0.3515,0.1743,0.41464,6.306,3.198,J0844.1-4330
0.2451,0.0999,0.24175,8.8409,3.355,J0844.9-4117
0.1194,0.088,0.055124,8.5685,1.843,J0848.8-4328
0.1216,0.1542,0.26416,4.4551,0.942,J0849.5+2710
-0.0109,0.0702,3300300000000.0,5.1165,0.149,J0850.4-2558
0.6738,0.1437,0.28615,7.8291,5.301,J0850.8-4239
0.5503,0.1921,0.4082,7.684,5.098,J0853.1-4407
0.7048,0.2456,0.58789,9.5201,5.668,J0853.6-4306
0.4246,0.072,1.7199,29.7908,8.83,J0854.8-4504
0.0831,0.1666,0.027718,4.0858,0.52,J0855.0+0720
0.1921,0.1815,1.2377,4.9548,1.424,J0855.0-6026
0.1607,0.0963,0.080944,6.1195,2.152,J0857.7-4507
0.1912,0.0649,0.33485,13.8406,3.908,J0859.2-4729
0.3193,0.0763,0.37169,16.7294,6.109,J0859.3-4342
0.9991,0.0525,31.186,4.4654,1.937,J0859.8+0053
0.3017,0.1437,0.25809,6.734,3.151,J0900.2-4608
0.0511,0.0815,0.034653,5.0277,0.686,J0902.5-4727
0.0445,0.1545,4.4312,5.393,0.321,J0903.5+4057
0.0668,0.0974,5.4087,5.8482,0.776,J0906.1-1011
0.8663,0.231,0.57241,12.5606,6.592,J0906.8-2122
0.4349,0.2993,5.2515,5.1932,2.172,J0910.1-1816
0.5435,0.3058,3.6375,4.0853,2.625,J0910.9+6055
0.0535,0.0682,0.0061834,5.5388,0.904,J0911.6-4738
0.4192,0.2805,14.088,4.8286,1.478,J0914.5+6845
0.016,0.1372,0.090627,4.1283,0.107,J0916.9+7756
0.4349,0.1631,0.39362,7.8242,4.409,J0917.9-4755
0.0212,0.0975,1.5972,6.7868,0.252,J0919.3+6607
0.7413,0.3243,2.2856,8.1613,4.341,J0919.5-6203
0.4339,1.1829,0.13446,5.4284,1.557,J0924.1-5202
0.9996,,2.4205,7.0472,4.248,J0926.1-5336
0.0007,0.0853,7.4291e+19,5.6756,0.0,J0928.4-5256
0.1196,0.1324,35.056,6.9445,0.953,J0930.9-3030
0.3022,0.2255,6.0924,6.5259,2.01,J0931.4-3559
0.7087,0.0831,2.2083,38.3652,14.81,J0933.8-6232
-0.0582,0.0617,2491.6,7.5027,0.814,J0934.5+7223
0.0815,0.0649,0.049275,14.925,1.473,J0935.3+0901
0.014,0.1052,84316000.0,4.602,0.128,J0935.5+1152
-0.0016,0.0682,1.2983e+68,5.3408,0.0,J0937.6-3358
0.1454,0.1582,7.2301,5.2685,1.074,J0938.8+5155
0.4657,0.1181,1.1079,18.3585,6.048,J0940.3-7610
0.3125,0.3866,4.2004,5.6143,1.628,J0942.5+7620
0.2986,0.1902,9.9357,5.4946,1.841,J0944.7-5124
0.4365,0.1617,0.2892,9.2407,3.926,J0947.0-3548
0.2356,0.1461,0.59247,4.902,2.116,J0947.8-4234
0.4379,0.3072,0.26006,4.1322,1.551,J0948.0-3859
0.2893,0.2227,1.6992,6.096,1.524,J0949.8+7551
0.7108,0.3408,0.28749,6.1987,3.62,J0951.8-3711
0.6879,0.1122,1.6642,25.3196,9.976,J0953.6-1509
0.2642,0.0549,0.42428,25.0504,6.677,J0955.3-3949
0.6718,0.3111,0.38739,5.1281,3.594,J0955.8-4106
0.7508,0.4159,0.52638,5.3771,3.052,J0957.6-3051
0.089,0.1172,0.63166,4.8246,0.848,J0957.6-5208
0.9671,0.2851,0.35837,5.7802,3.771,J1002.3-2810
0.7742,0.3249,2.1614,5.1016,3.183,J1004.6-5215
0.1374,0.1365,0.0052706,6.4036,1.17,J1008.2-1000
0.9468,0.2853,1.6441,5.8185,3.37,J1011.4-5729
0.7831,0.4708,2.9055,5.6903,3.224,J1014.6+6126
0.1992,0.1479,1.3243,6.2107,1.681,J1015.1-6353
0.1515,0.0765,0.052853,11.7071,2.464,J1015.5-6030
0.2192,0.0972,12.408,10.9688,2.859,J1016.1-4247
0.1175,0.1117,0.27174,5.5043,1.34,J1016.2-5729
0.0795,0.1194,7.359,4.589,0.743,J1017.4+5956
0.2175,0.1628,0.35619,4.4286,1.652,J1018.1-4051
0.2176,0.1211,0.26485,5.2747,2.304,J1018.1-2705
0.0568,4.2574,0.17914,4.5683,0.251,J1018.2+0145
0.1973,0.1808,0.33035,4.7674,1.474,J1018.3-0703
0.6285,0.6176,79.855,4.1234,1.3,J1018.4+2210
0.6074,0.3975,8.5314,4.3819,2.295,J1019.3+5625
0.3997,0.1912,1.0517,7.0607,3.154,J1020.4-5314
-0.0859,0.0574,7.5432,4.0746,1.412,J1021.8-6308
0.6778,0.2049,1.4858,12.4115,5.442,J1026.2-5731
-0.0692,0.0523,37.822,4.2221,1.107,J1028.1-3550
-0.0506,0.0515,18.123,4.649,0.826,J1028.4-1539
-0.0789,0.0629,16.007,4.8943,0.997,J1029.4-0828
0.1526,0.2004,4.4535,4.4068,0.976,J1029.9+7335
-0.0193,0.0604,91421000.0,5.2599,0.28,J1030.7+6118
0.0576,0.0094,31.636,37.2569,6.503,1036.3-5833e
0.0149,0.0833,6.5975e-12,5.6215,0.189,J1036.5-1809
0.2736,0.1064,1.165,11.6798,3.541,J1036.6-4349
0.2604,0.0926,0.33215,11.1981,4.306,J1037.8-5810
0.0699,0.0889,0.035156,8.0289,0.906,J1039.2+3258
-0.0209,0.0878,292920000.0,5.6318,0.217,J1043.0+5316
0.3403,0.0806,0.62719,14.48,6.454,J1046.7-6010
0.0662,0.1291,8.4892,4.7438,0.531,J1047.2+6740
0.2468,0.1799,42.58,5.439,1.269,J1048.4-5030
0.5457,0.1393,0.94114,16.3627,7.92,J1048.5-5923
-0.0469,0.0587,4.5887,6.1708,0.655,J1049.8+2741
0.1576,0.1629,3.5431,6.0484,1.568,J1054.7-6008
0.1619,0.1929,0.20601,5.1457,1.148,J1055.6-0719
-0.0852,0.0526,11.901,4.2493,1.132,J1055.7-1807
0.5228,0.3903,13.136,5.517,2.552,J1057.6-4051
0.1455,0.0978,10.312,9.6974,1.788,J1058.4-6625
0.9932,,2.4625,6.8478,3.427,J1058.9-6101
-0.0795,0.0554,40.41,4.5856,1.083,J1059.4+2148
0.2137,0.2196,0.83527,10.401,1.611,J1059.4+0226
0.1481,0.1484,1.1819,6.7876,1.314,J1100.0-2044
1.0,,1.3404,6.4293,3.723,J1102.4+0246
0.175,0.1364,0.92599,7.8468,1.615,J1105.1-2600
1.0,0.0009,32.37,4.1425,2.299,J1105.3-0626
-0.0964,0.0576,79.645,4.6406,1.279,J1106.2+7303
-0.0568,0.0767,973.88,4.2971,0.612,J1106.7+3623
0.4637,0.1595,1.6659,13.0776,4.436,J1106.7-1742
0.4748,0.3098,1.4287,5.3439,1.711,J1109.1-4853
0.0335,0.0166,18.428,17.3994,2.075,1109.4-6115e
0.0725,0.1217,0.00051049,6.5025,0.657,J1109.8+4406
0.0431,0.1501,0.1424,4.2873,0.295,J1111.4+0137
0.2876,0.0952,0.94999,8.3988,4.168,J1112.2-6055
0.9926,0.1403,2.7794,4.5629,2.225,J1114.6+1225
0.0283,0.0303,0.010228,14.5076,1.02,J1115.1-6118
0.2616,0.1922,1.6702,5.2494,1.858,J1119.9-1007
0.4922,0.0528,1.0836,48.1958,14.762,J1120.0-2204
0.0455,0.0616,4.6562,11.4193,0.785,J1120.1-2645
-0.0879,0.0425,18.044,5.1346,1.604,J1122.0-0231
0.0347,0.0709,0.020059,6.2593,0.517,J1122.4-6237
-0.0068,0.0691,6.9778e+17,6.6851,0.089,J1122.5-1440
0.3351,0.2119,1.4258,4.466,2.164,J1123.2-5111
0.0418,0.0552,0.18697,10.0333,0.83,J1123.8-4552
0.4451,0.2471,0.20753,7.3912,3.01,J1125.2+2557
0.9749,0.206,2.6873,8.0804,4.592,J1126.0-5007
0.4033,0.155,0.7119,8.6963,4.818,J1127.9-6158
0.2134,0.0659,1.4579,19.4795,5.254,J1139.2-6247
0.097,0.0764,34.579,11.2391,1.453,J1146.0-0638
0.2976,0.1391,0.73348,4.3644,2.972,J1146.0-6822
0.0721,0.0893,0.093855,4.4826,1.002,J1150.1-6324
0.0592,0.0733,0.22158,6.8415,0.901,J1150.7-4613
0.6529,0.3572,0.6421,6.7646,3.837,J1154.5-5952
0.2022,0.2343,9.5884,6.2851,1.43,J1155.2-1111
0.2772,0.3971,0.42454,5.3346,3.588,J1155.6-6245
0.3384,0.1307,0.33244,7.549,4.201,J1157.7-6327
-0.0057,0.0832,5.372e-06,4.5353,0.069,J1158.8-1430
0.3898,0.1653,0.52722,6.4875,3.291,J1202.9-5717
0.409,0.1716,0.67177,6.0491,3.715,J1203.4-6145
0.2892,0.1835,1.4431,7.6088,2.256,J1203.5-1748
0.3237,0.0473,0.84803,28.8537,9.646,J1203.9-6242
0.5609,0.1502,0.52385,5.1856,3.88,J1204.3-6111
0.656,0.1908,1.1698,10.6921,5.525,J1204.5-5032
0.0516,0.0936,0.11722,5.1359,0.69,J1205.1-5951
0.2666,0.2031,2.0397,4.1526,1.831,J1207.4-1840
0.618,0.1907,1.3623,12.1191,5.44,J1207.4-4536
0.5263,0.2359,1.2431,8.0093,4.18,J1207.9-6443
