Source_ID,Mean_Prob,Std_Dev,Median_Prob,Q25_Prob,Q75_Prob,Min_Prob,Max_Prob,E_peak,Beta,log_E_peak,log_Beta,Very_High_Conf,High_Conf,Moderate_Conf,Low_Uncertainty
371,0.7621290037459725,0.35572289606768537,0.9847749477615658,0.6813731429295465,0.9864042603093425,0.17117106434223325,0.9869216033871742,13.855,0.2306,1.1416065301182505,-0.6371406970413198,False,False,True,False
146,0.7500155588587486,0.39781564513001183,0.9261393008427805,0.8455744438342668,0.9407920270443614,0.04468253687473117,0.992889485697603,11.498,0.34,1.060622304309956,-0.46852108295774486,False,False,True,False
622,0.7357920600880046,0.19795229357016342,0.7909839783576128,0.5388116777206923,0.8500661513536563,0.5243205461257932,0.9747779468822684,0.33105,0.237,-0.4801064077826637,-0.6252516539898961,False,False,True,False
556,0.7050785795747071,0.24708103985507932,0.6888955510050878,0.5657301048740533,0.9083859554626891,0.3794945071323779,0.9828867793993276,0.07633,0.0593,-1.1173047376184029,-1.2269453066357374,False,False,True,False
643,0.6673788614405535,0.20747181693468217,0.5444334875541318,0.5405614310227701,0.7516119192500197,0.5050062863496154,0.9952811830262303,0.75217,0.2658,-0.12368399223012935,-0.5754450233932868,False,False,True,False
1006,0.6642448908324601,0.2379040569059552,0.6531891184143658,0.46827260798960957,0.8110505451026493,0.4075628500314251,0.9811493326242509,0.3582,0.364,-0.4458744184869873,-0.438898616350944,False,False,True,False
847,0.6543493072383019,0.2896896968236761,0.6175053027656251,0.5423856521860435,0.8972008690216896,0.2478915953476424,0.9667631168705089,22.999,0.0929,1.3617089532383162,-1.0319842860063582,False,False,True,False
573,0.6414723324425516,0.3129125895150006,0.6440983235844598,0.3759441096774787,0.9461118375511536,0.2833583890446739,0.9578490023549919,2.0132,0.4445,0.3038869217251018,-0.3521282346937675,False,False,True,False
781,0.6288334171343035,0.26870696979879,0.6958439750869814,0.42162462505805215,0.7600161267051686,0.2985738714554688,0.968108487365847,1.0893,0.5408,0.03714750363255473,-0.2669633170664205,False,False,True,False
821,0.6281492821614085,0.46448446727314296,0.962420910444547,0.18564785330530104,0.9647771731220274,0.05785975004730826,0.9700407238878584,1.5437,0.6922,0.1885629041579057,-0.15976840504189108,False,False,True,False
596,0.6189008679739315,0.48245098902674954,0.9480750609481978,0.09648519059564638,0.9781017332016962,0.08483054457429186,0.987011810549825,1.2712,0.4036,0.10421388419932318,-0.39404884243512706,False,False,True,False
560,0.6141486703441944,0.43943488737840125,0.8002942183324576,0.31044134261114603,0.9615447485566468,1.8221260978872807e-05,0.9984448209597429,1.4393,0.3499,0.15815132539270274,-0.45605605751709355,False,False,True,False
331,0.6028590291848964,0.23302293661535542,0.5693429267557659,0.418420357424022,0.6677848781092149,0.39116045312076153,0.9675865305147173,9.5884,0.2022,0.9817461432349174,-0.6942188487450177,False,False,True,False
1046,0.6015207645130369,0.4344384055006554,0.7757082267220077,0.18076392953124998,0.9742203585188066,0.0908453754204552,0.9860659323726655,1.3713,0.3462,0.13713247600899317,-0.4606729364606249,False,False,True,False
479,0.5984210738076812,0.12331153999356281,0.5554522504167262,0.5400948370647345,0.690409228979823,0.4496640573267246,0.7564849952503975,2.3582,0.3663,0.3725806350309132,-0.43616308133545506,False,False,True,False
785,0.5972083701990722,0.4615786577923522,0.8692920361204859,0.2003692673528951,0.9167426642950517,4.4065302293180233e-07,0.9996374425739053,0.78703,0.2986,-0.10400871289361972,-0.5249101966109935,False,False,True,False
1010,0.5964601139299515,0.44280650483692535,0.75632351626514,0.2655611461450405,0.9626102901560852,0.0008269300871523081,0.9969786869963393,58.718,0.2163,1.7687712546097138,-0.6649434805609086,False,False,True,False
1072,0.585277135324551,0.29293559061547036,0.6648535253745791,0.3566206351441323,0.67233080566689,0.24539490975427683,0.9871858006828763,0.71992,0.5041,-0.14271576119219395,-0.29748330256184946,False,False,True,False
106,0.5816394209650306,0.2388475226822673,0.4983170310397796,0.4518986512165291,0.6448457109507156,0.3490018526667082,0.9641338589514207,13.893,0.1439,1.1427960357135558,-0.8419392060633948,False,False,True,False
335,0.5644028291885791,0.4467614407652917,0.6574190709993584,0.20714425078850987,0.9597874635725687,0.00024905599748247664,0.9974143045849762,0.67177,0.409,-0.17277939484590937,-0.38827669199265824,False,False,True,False
798,0.5583111441495079,0.35958095229240084,0.5807392077381595,0.21481215693622022,0.9007295493981775,0.1726567031579607,0.9226181035170219,0.19689,0.1259,-0.7057763410234144,-0.8999742698921374,False,False,True,False
634,0.5513320725920975,0.29443018163248635,0.49234757628539827,0.29903666135842527,0.6682232712513911,0.29705285427345984,0.9999999997918128,0.4777,0.2765,-0.32084475871664614,-0.558304864359283,False,False,True,False
1093,0.540752956101337,0.2730067687423218,0.40124914038338966,0.3837257870863076,0.6780757857646482,0.2868298542034653,0.9538842130688739,9.1064,0.6128,0.9593467228420827,-0.21268124337545247,False,False,True,False
584,0.5326731292539477,0.36059941656420447,0.5398571587697982,0.3425150594706872,0.8732309372312451,0.0322652396396905,0.8754972511583177,1.6522,0.4032,0.2180626178263746,-0.39447947656253113,False,False,True,False
387,0.5278016895029156,0.3596816677427468,0.5617292753856882,0.42275169376859384,0.6733683376755534,1.1480872338889766e-07,0.9811590258760193,2.5505,0.4436,0.40662532786720573,-0.35300846252287754,False,False,True,False
348,0.5264401377090107,0.281549152388072,0.4924658501266731,0.28219606559565213,0.6951659591911963,0.24816420705614983,0.9142086065753822,0.60748,0.5968,-0.21646801572573054,-0.22417118553538762,False,False,True,False
1036,0.52243474417545,0.4070574309565182,0.5074903059928443,0.2660919103367403,0.8407028605485504,0.0017271511743015533,0.9961614928248135,0.71148,0.0634,-0.14783730360741143,-1.1979107421182673,False,False,True,False
879,0.5217742009688707,0.25710495126902017,0.548500257934135,0.543106050011537,0.5502846624959007,0.12328293086512565,0.8436971035376551,10.802,0.2639,1.0335041729451746,-0.5785606097799503,False,False,True,False
1062,0.5177970759933018,0.3706623655253097,0.5609279547625271,0.34631834846461634,0.6969373696370695,6.356726562616488e-07,0.9848010714296398,31.769,0.347,1.50200354465664,-0.4596705252091263,False,False,True,False
868,0.5171089491989911,0.28537929201247053,0.4677513343089291,0.44421899797873415,0.4741333683645168,0.21079893840895686,0.9886421069338182,2.0156,0.4302,0.3044043496837311,-0.36632959394855624,False,False,True,False
558,0.5145355620117364,0.4800025386174826,0.719902391929417,3.7499723537522674e-08,0.8532569435834513,2.4189197590683696e-10,0.9995184368041987,1.9311,0.5416,0.2858047638486317,-0.2663213443229121,False,False,True,False
1023,0.5142852399722845,0.3316190065931217,0.3893113506138857,0.2524878901249739,0.8014023694516124,0.19782919401476612,0.930395395656184,372.4,0.045,2.5710096723093048,-1.3467874862246563,False,False,True,False
361,0.5135243814652586,0.38145061943873365,0.6260802402754968,0.2853822290521637,0.659838043088403,0.00045553168411066803,0.9958658632261188,22.299,0.0595,1.3482853875226117,-1.2254830342714504,False,False,True,False
172,0.5123041692625666,0.3595837339782208,0.48813290037824864,0.17973797090442115,0.769113988769807,0.15295560042094003,0.9715803858394164,0.13411,0.2563,-0.8725388374884626,-0.5912513938157561,False,False,True,False
517,0.5095909800730546,0.3413081842693536,0.563392726783571,0.34276471151115034,0.6443099191680859,0.04220518691268595,0.9552823559897795,1.1622,0.1021,0.0652808711027544,-0.9909742579130898,False,False,True,False
136,0.5076157641662752,0.3736037905836838,0.528229346917985,0.3295095274708183,0.6863157358689018,1.4186296963820235e-05,0.994010024276707,0.95302,0.3488,-0.020897985197458762,-0.4574235237394704,False,False,True,False
1008,0.5042718549816381,0.47423354316948163,0.6754510477526362,3.120878486367693e-05,0.8481863846973418,2.6565765350502515e-07,0.9976903680156956,0.76062,0.3357,-0.11883225928804116,-0.47404865875198754,False,False,True,False
837,0.5039311974407074,0.36245070809017904,0.5369751416627778,0.3395521558616488,0.6772705348308277,3.122985961630628e-13,0.9658581548479702,0.027241,0.0472,-1.564776953788971,-1.3260580013659122,False,False,True,False
586,0.5033736155164739,0.390024239308157,0.5551402597591112,0.24766694252566757,0.7210924167617246,4.010490849257197e-05,0.9929283536273732,0.32576,0.5315,-0.48710224367935406,-0.27449673114068446,False,False,True,False
614,0.5027752632783067,0.1893408762939449,0.5061696900443109,0.40242154471648484,0.5105731924387162,0.29311020049388375,0.8016016886981377,0.90911,0.1127,-0.04138356506986568,-0.9480760839538935,False,False,True,False
809,0.5027533137609865,0.34895512747608926,0.518600407109305,0.3407828713561985,0.7271590125142531,0.012407535314035207,0.9148167425111405,0.49639,0.2476,-0.30417697614301775,-0.6062493596519196,False,False,True,False
811,0.5019023873935433,0.38200417568598827,0.503236526821455,0.29601404454299457,0.7139365164305517,5.408596486192828e-07,0.9963243083130667,0.45188,0.1251,-0.34497687991653436,-0.90274269030658,False,False,True,False
929,0.5013504855791778,0.2560615403897085,0.5132369759629971,0.28536098263274956,0.6730470461731652,0.21302744188720157,0.8220799812397757,0.58538,0.1682,-0.23256211968496812,-0.7741740085381067,False,False,True,False
1034,0.4999961313808017,0.31815288200064556,0.4909871336085102,0.3829851716706942,0.7599592461475035,0.03643843798091173,0.8296106674963885,0.44289,0.0609,-0.3537041255265943,-1.2153827073671246,False,False,False,False
569,0.49817371037528274,0.27742252218099084,0.3566010564275658,0.3304367765091397,0.5297423313425823,0.30530037112643976,0.9687880164706864,0.54992,0.3611,-0.25970048520684996,-0.4423725115731734,False,False,False,False
575,0.49639683509239035,0.3380027533575838,0.5448232561576213,0.42419782198803574,0.5543489622688734,0.007352059073001187,0.95126207597442,0.59731,0.2726,-0.2238002143531044,-0.5644741485013453,False,False,False,False
594,0.4963305800858814,0.27872089438244935,0.5987054798100502,0.5959704729522863,0.6250807239448157,5.368940532311148e-09,0.6618962183533145,0.45012,0.4002,-0.3466716898016524,-0.3977229156998074,False,False,False,False
401,0.49598167714133545,0.39692216634387806,0.24603596041266276,0.21390214980863229,0.8547372970581673,0.16762834038179336,0.9976046380454213,0.16885,0.1252,-0.7724989350285697,-0.902395671125589,False,False,False,False
654,0.4958960913635265,0.20630443953407268,0.41536682743782105,0.40537533177503293,0.5181062171195784,0.3019905200692946,0.8386415604159059,0.9335,0.3805,-0.02988567771490289,-0.4196453388934084,False,False,False,False
502,0.49274035953396467,0.31916266074868427,0.4622269149744864,0.21226925957163287,0.7227274763052425,0.1646676811933622,0.9018104656250997,0.33783,0.6168,-0.47130178680779783,-0.20985563495709944,False,False,False,False
1101,0.49215533778227327,0.36809124204756033,0.564095622887703,0.3101654910183845,0.5919377115009204,0.00046919016412359874,0.994108673340235,0.052716,0.0817,-1.2780575506870548,-1.0877779434675845,False,False,False,False
995,0.4907865001094711,0.31255158617930046,0.44034707581856475,0.24168843901166798,0.5386742043219328,0.23437915884794017,0.9988436225472501,3.1289,0.4918,0.49539168326693855,-0.3082114755973016,False,False,False,False
1076,0.4904804968130869,0.4065323438127445,0.2776556296180023,0.18976499814390402,0.9118968669031055,0.12210626393091752,0.9509787254695053,4.1049,0.4349,0.6133025816802632,-0.361610592334664,False,False,False,False
626,0.48896107131586053,0.42380716186900036,0.23907779597724732,0.15641490905544286,0.9023924028504896,0.14906891646518775,0.9978513322309353,1.1276,0.324,0.0521550671995647,-0.48945498979338786,False,False,False,False
1025,0.48851134976514865,0.3309198854196383,0.49857690656037496,0.45317500175348124,0.5583953789689828,0.002091080196205386,0.9303183813466988,2.6886,0.7886,0.42952619429668687,-0.10314322726279564,False,False,False,False
636,0.4877378914436562,0.24460923734796808,0.3808693530631169,0.28153953389099673,0.7447574822147576,0.27310298907279296,0.7584200989766168,0.060231,0.0922,-1.2201799262885489,-1.0352690789463705,False,False,False,False
704,0.4863204588708088,0.2025445865199731,0.5832452323803587,0.320889256076567,0.6142293629103539,0.22294174204760595,0.6902967009391582,1.9224,0.3834,0.2838437577958437,-0.4163478914579562,False,False,False,False
168,0.48608883222147303,0.4619517487727882,0.5210887278339478,0.034639074326543166,0.8730827224983182,0.0016336364534629115,0.9999999999950935,0.22218,0.2072,-0.6532950375669138,-0.6836102489268046,False,False,False,False
110,0.4859851260457696,0.4243124728030613,0.5867373711979368,0.10261227277079879,0.74478072583935,1.2321735559418277e-05,0.9957829386852031,0.34322,0.3537,-0.46442741302449025,-0.4513649401852484,False,False,False,False
545,0.4847734924468997,0.30432101872701456,0.4136576138486737,0.39150026928766135,0.43121104402427163,0.1875058722583877,0.999992662815504,2.0232,0.3687,0.3060388163363484,-0.43332686239388346,False,False,False,False
162,0.48402109194510157,0.3954743416638228,0.558492270721009,0.17752966845004817,0.7088448043853542,1.5165378520644293e-09,0.9752387146525585,0.18913,0.4006,-0.7232395774422224,-0.39728905504244255,False,False,False,False
376,0.48318756467879076,0.29580150861507126,0.5419681703151933,0.4382469221103361,0.6954135735392596,6.91032001099134e-05,0.7402400542290554,4.994,0.5407,0.6984485380153289,-0.2670436304243754,False,False,False,False
176,0.4814378911566236,0.40646842590813154,0.25211074369911946,0.16933397636126674,0.8466113092586033,0.14413662085479667,0.994996805609332,0.75374,0.4969,-0.12277843667418462,-0.30373100325446717,False,False,False,False
1074,0.4811096717978579,0.29868801024654695,0.6150730861461869,0.3993143939979792,0.6294007242685028,1.2013467840643624e-11,0.761760154564607,0.10324,0.1263,-0.9861520041281687,-0.8985966494446692,False,False,False,False
320,0.4807544541804387,0.31798339768924977,0.3981648600125723,0.2818170386303136,0.5353943292525689,0.1884072955302271,0.9999887474765117,1.4258,0.3351,0.1540586103769709,-0.4748255721647285,False,False,False,False
839,0.47635235698969103,0.2383767505661255,0.4153037242217284,0.3816473823327204,0.43071150064865915,0.26702138026181915,0.8870777974835283,1.8119,0.5288,0.25813422499277067,-0.27670855352241613,False,False,False,False
851,0.4707447208927267,0.41370438240344454,0.2587765660837936,0.14643228326388488,0.8482105689539587,0.1146037718483719,0.9857004143136245,0.87647,0.1978,-0.05726294443890436,-0.7037737127388394,False,False,False,False
1050,0.4701949621310916,0.34053788042784,0.40117412406147346,0.3903858097013481,0.508227639439686,0.05381702526440472,0.997370212188545,0.13557,0.1104,-0.8678364039491359,-0.9570309266068199,False,False,False,False
612,0.4684848601123871,0.3565151536908386,0.42727534409913764,0.34734563074530034,0.5920870397935817,8.411810334283962e-11,0.9757162858397979,1.2335,0.1456,0.09113915382575485,-0.8368386250229816,False,False,False,False
201,0.4682259563467464,0.3570696557183796,0.43097424919646726,0.397737576423761,0.5126326415598712,6.211541168333594e-05,0.9997231991419491,1.7029,0.5027,0.23118914548266753,-0.2986911147719247,False,False,False,False
356,0.4673662130676135,0.25430784498229925,0.4144653620345449,0.37538840412061325,0.467803966360178,0.19534857779452522,0.8838247550282062,0.012626,0.0615,-1.898734215008665,-1.2111248842245832,False,False,False,False
141,0.46532203865110605,0.45047772120031115,0.5764026431475847,0.00047194301604187167,0.749735612721902,8.906509879675855e-12,0.9999999943610949,0.12958,0.1449,-0.8874620243906921,-0.8389316145288254,False,False,False,False
741,0.4640866738749203,0.2186215411091183,0.491814570587661,0.39438182946341377,0.5239664528936989,0.15363229990672042,0.7566382165231077,2.6871,0.8617,0.42928382893412503,-0.06464390705442685,False,False,False,False
1041,0.46339431668825243,0.44900273271819846,0.558754083459823,0.004653755044760655,0.7535653779382645,8.198651273633589e-09,0.9999983587997626,0.74391,0.2767,-0.1284796032547463,-0.557990840859048,False,False,False,False
770,0.46337206058106606,0.3251070420867741,0.42278188621406837,0.25457394072483513,0.4759871411157705,0.16382074109540465,0.9996965937552514,0.67394,0.9316,-0.1713787664154516,-0.03077052013735692,False,False,False,False
895,0.46242876825507284,0.3548979235447303,0.47076137552081665,0.3731848716559531,0.47493990339388725,1.4655085914933814e-30,0.9932576907047072,3.1365,0.5388,0.49644529187335307,-0.26857241294905204,False,False,False,False
