Source_ID,Mean_Prob,Std_Dev,Median_Prob,Q25_Prob,Q75_Prob,Min_Prob,Max_Prob,E_peak,Beta,Sigma_det,Beta_Rel,log_E_peak,log_Beta,log_Sigma_det,log_Beta_Rel,Very_High_Conf,High_Conf,Moderate_Conf,Low_Uncertainty
1046,0.8007359753443268,0.3757182264656083,0.9780079352287033,0.9032940978311478,0.9945767441415247,0.13206901705704244,0.9957320824632152,1.3713,0.3462,4.3628,0.7047949162333911,0.13713247600899317,-0.4606729364606249,0.6397653044634994,-0.15193723720064564,False,False,True,False
146,0.7098386017600765,0.3584236948024959,0.8235331773694384,0.7157968663269143,0.9395715891787277,0.09520492560169289,0.9750864503236089,11.498,0.34,9.0474,0.5352941176470588,1.060622304309956,-0.46852108295774486,0.956523791593644,-0.27140752905718035,False,False,True,False
1006,0.6942916941782336,0.24704617038458104,0.7887224039157676,0.4560632344584494,0.8349776090269628,0.414191868994219,0.9775033544957691,0.3582,0.364,5.4401,0.4774725274725275,-0.4458744184869873,-0.438898616350944,0.7356068829792511,-0.3210516115364083,False,False,True,False
172,0.6684961129116647,0.24208158004039082,0.7295979339759083,0.646794812933059,0.7553326546305343,0.27773364090403924,0.9330215221147827,0.13411,0.2563,5.5749,1.1498244245025362,-0.8725388374884626,-0.5912513938157561,0.7462370816147819,0.060631529665681166,False,False,True,False
1072,0.6424470237272268,0.30613133853815605,0.740465323958316,0.5672827009794494,0.7580816479782579,0.16293000233413246,0.9834754433859789,0.71992,0.5041,4.6202,0.6407458837532236,-0.14271576119219395,-0.29748330256184946,0.6646607757761195,-0.19331417510704765,False,False,True,False
781,0.6314188477818903,0.257588526840825,0.6741862412905936,0.42122050306765607,0.7834319171230714,0.32594399780140065,0.9523115796267296,1.0893,0.5408,6.4758,0.4262204142011835,0.03714750363255473,-0.2669633170664205,0.8112934274442682,-0.3703657532079125,False,False,True,False
847,0.6170152411171971,0.26471230868274526,0.6513171532610754,0.49103610969176026,0.7078762958603207,0.2603610050091792,0.9744856417636499,22.999,0.0929,7.6952,0.8826695371367063,1.3617089532383162,-1.0319842860063582,0.8862199117266436,-0.05420186160992501,False,False,True,False
821,0.608670760134293,0.4137427416613611,0.8548556386453001,0.19778299851084202,0.8888288575553065,0.12074380079293842,0.9811425051670781,1.5437,0.6922,9.8576,0.3111817393816816,0.1885629041579057,-0.15976840504189108,0.9937711914493343,-0.5069858959961462,False,False,True,False
1010,0.5942057578762945,0.47510839104938796,0.8755236939685266,0.1591877799442083,0.9381069529528023,1.8395533525014372e-05,0.9981919669824104,58.718,0.2163,4.1131,1.2963476652797041,1.7687712546097138,-0.6649434805609086,0.6141692684491813,0.11272148985552959,False,False,True,False
785,0.5932110752381574,0.4524633461902793,0.847149081810341,0.2164907734946509,0.9047800002509192,2.2095331166775685e-05,0.9976134253037091,0.78703,0.2986,7.3567,0.4450770261219022,-0.10400871289361972,-0.5249101966109935,0.8666830462421649,-0.3515648224462746,False,False,True,False
596,0.5922301907536962,0.4690881820544978,0.9060133847543346,0.10216938492057882,0.93904284324006,0.05599965201410754,0.9579256888394004,1.2712,0.4036,19.3727,0.23092170465807732,0.10421388419932318,-0.39404884243512706,1.2871901531602177,-0.6365352452108916,False,False,True,False
809,0.5773568310462501,0.26192515840045244,0.6637371746752502,0.4592646112207034,0.7901460030664683,0.17751405044042454,0.7961223158284038,0.49639,0.2476,4.357,0.30654281098546043,-0.30417697614301775,-0.6062493596519196,0.6391875599357539,-0.5135088644526,False,False,True,False
106,0.5623241747994938,0.2762057662213748,0.5903307011925104,0.33798086290984614,0.6816774259169617,0.2566969340641532,0.9449349499139976,13.893,0.1439,11.8161,0.6108408617095206,1.1427960357135558,-0.8419392060633948,1.0724741577663524,-0.21407191886283325,False,False,True,False
556,0.5600737389099523,0.231127693568146,0.49087227706035796,0.433991550592939,0.5758429409680805,0.35264996077007515,0.947011965158309,0.07633,0.0593,4.2719,1.4873524451939293,-1.1173047376184029,-1.2269453066357374,0.6306210778321802,0.17241389176755717,False,False,True,False
966,0.5583693530248837,0.23190455870041607,0.49726030660033926,0.4478014448256168,0.6100124790650995,0.31074341672834355,0.9260291179050192,0.59614,0.3508,5.174,0.5054161915621437,-0.22465173675724548,-0.4549404153059971,0.7138264243805247,-0.2963508490930851,False,False,True,False
371,0.5576588688209752,0.4522180565331534,0.755852565827968,0.08385241002417751,0.9417398911780761,0.055747138484842466,0.9511023385898117,13.855,0.2306,5.0215,0.9991326973113617,1.1416065301182505,-0.6371406970413198,0.7008334670285428,-0.00037682820750577727,False,False,True,False
1068,0.552788965729747,0.46445454680558745,0.6637499547607407,0.13408454907269837,0.9655088176960592,0.0006015072434208457,0.9999999998758156,31.346,0.237,4.0873,0.9164556962025318,1.4961821292572683,-0.6252516539898961,0.6114365152655441,-0.037888525093294476,False,False,True,False
1023,0.5481447141102433,0.3575194376865846,0.3883961999367984,0.292502082460429,0.9004872552085961,0.1960839406088554,0.9632540923365377,372.4,0.045,6.4346,1.8822222222222222,2.5710096723093048,-1.3467874862246563,0.8085215546293504,0.27467089655536325,False,False,True,False
837,0.5453561125375572,0.36642648197126915,0.5872553262155915,0.41898689878652273,0.751652897043579,3.912157391354968e-11,0.9688854406029709,0.027241,0.0472,5.2444,1.7139830508474576,-1.564776953788971,-1.3260580013659122,0.7196958087174565,0.23400652297818453,False,False,True,False
798,0.543084002601216,0.3470618440446121,0.5232412203722346,0.2107686862756809,0.8499520897008693,0.1943889529572482,0.9370690637000472,0.19689,0.1259,4.1117,1.0738681493248607,-0.7057763410234144,-0.8999742698921374,0.6140214199226428,0.030950961497754424,False,False,True,False
331,0.5359523918496105,0.20888050437392885,0.4627252439202515,0.4194938763081718,0.6365315415095503,0.3145044188274645,0.8465068786826142,9.5884,0.2022,6.2851,1.1587537091988132,0.9817461432349174,-0.6942188487450177,0.7983121919826278,0.06399113734198054,False,False,True,False
868,0.5352302665246323,0.2822678778463315,0.5417985825689288,0.4230396405500292,0.5757020092866357,0.17901866763981159,0.9565924325777567,2.0156,0.4302,16.9531,0.2715016271501627,0.3044043496837311,-0.36632959394855624,1.22924912376593,-0.5662275632750631,False,False,True,False
929,0.5348883254953347,0.1777141668833513,0.5878006736535891,0.358832406990334,0.6113010518112798,0.3513683845908764,0.7651391104305947,0.58538,0.1682,8.5699,0.5083234244946493,-0.23256211968496812,-0.7741740085381067,0.9329757542800742,-0.29385987673372066,False,False,True,False
335,0.5343793901941536,0.4678645526111514,0.6794862619947889,0.07670633487715588,0.9359141260310517,5.816013057094042e-05,0.9797320679372005,0.67177,0.409,6.0491,0.41955990220048905,-0.17277939484590937,-0.38827669199265824,0.7816907640559065,-0.3772060244946551,False,False,True,False
